clip_id,condition,corrector,band,tp,fp,fn,precision,recall,iou,n_pred_occupied
scene-0003_CAM_FRONT_fd842039_f56a5440,M0,raw,0-10m,16,0,1529,1.0,0.010355987055016181,0.010355987055016181,16
scene-0003_CAM_FRONT_fd842039_f56a5440,M0,raw,10-20m,102,74,2714,0.5795454545454546,0.03622159090909091,0.03529411764705882,176
scene-0003_CAM_FRONT_fd842039_f56a5440,M0,raw,20-30m,42,239,2960,0.1494661921708185,0.013990672884743505,0.012958963282937365,281
scene-0003_CAM_FRONT_fd842039_f56a5440,M0,raw,30-40m,7,34,3653,0.17073170731707318,0.001912568306010929,0.0018949648077964266,41
scene-0003_CAM_FRONT_fd842039_f56a5440,M0,dilate_r2,0-10m,37,6,1508,0.8604651162790697,0.02394822006472492,0.02385557704706641,43
scene-0003_CAM_FRONT_fd842039_f56a5440,M0,dilate_r2,10-20m,271,438,2545,0.382228490832158,0.09623579545454546,0.08328211432083589,709
scene-0003_CAM_FRONT_fd842039_f56a5440,M0,dilate_r2,20-30m,139,1047,2863,0.11720067453625632,0.046302465023317786,0.034329464065201286,1186
scene-0003_CAM_FRONT_fd842039_f56a5440,M0,dilate_r2,30-40m,45,193,3615,0.18907563025210083,0.012295081967213115,0.011679211004412146,238
scene-0003_CAM_FRONT_fd842039_f56a5440,M1,raw,0-10m,61,33,1484,0.648936170212766,0.039482200647249194,0.038656527249683145,94
scene-0003_CAM_FRONT_fd842039_f56a5440,M1,raw,10-20m,30,170,2786,0.15,0.01065340909090909,0.010046885465505693,200
scene-0003_CAM_FRONT_fd842039_f56a5440,M1,raw,20-30m,28,67,2974,0.29473684210526313,0.009327115256495669,0.009123492994460736,95
scene-0003_CAM_FRONT_fd842039_f56a5440,M1,raw,30-40m,0,0,3660,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_fd842039_f56a5440,M1,dilate_r2,0-10m,155,172,1390,0.4740061162079511,0.10032362459546926,0.09027373325567851,327
scene-0003_CAM_FRONT_fd842039_f56a5440,M1,dilate_r2,10-20m,297,843,2519,0.26052631578947366,0.10546875,0.08116971850232303,1140
scene-0003_CAM_FRONT_fd842039_f56a5440,M1,dilate_r2,20-30m,241,378,2761,0.3893376413570275,0.08027981345769487,0.071301775147929,619
scene-0003_CAM_FRONT_fd842039_f56a5440,M1,dilate_r2,30-40m,12,0,3648,1.0,0.003278688524590164,0.003278688524590164,12
scene-0003_CAM_FRONT_fd842039_f56a5440,M2,raw,0-10m,125,31,1420,0.8012820512820513,0.08090614886731391,0.07931472081218274,156
scene-0003_CAM_FRONT_fd842039_f56a5440,M2,raw,10-20m,103,137,2713,0.42916666666666664,0.036576704545454544,0.034879783271249576,240
scene-0003_CAM_FRONT_fd842039_f56a5440,M2,raw,20-30m,22,1,2980,0.9565217391304348,0.0073284477015323115,0.007326007326007326,23
scene-0003_CAM_FRONT_fd842039_f56a5440,M2,raw,30-40m,0,0,3660,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_fd842039_f56a5440,M2,dilate_r2,0-10m,293,242,1252,0.5476635514018692,0.18964401294498381,0.16396194739787354,535
scene-0003_CAM_FRONT_fd842039_f56a5440,M2,dilate_r2,10-20m,703,810,2113,0.4646397884996695,0.24964488636363635,0.19387755102040816,1513
scene-0003_CAM_FRONT_fd842039_f56a5440,M2,dilate_r2,20-30m,213,15,2789,0.9342105263157895,0.0709526982011992,0.07059993370898243,228
scene-0003_CAM_FRONT_fd842039_f56a5440,M2,dilate_r2,30-40m,0,0,3660,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_fd842039_f56a5440,OR,raw,0-10m,166,33,1379,0.8341708542713567,0.10744336569579288,0.10519645120405577,199
scene-0003_CAM_FRONT_fd842039_f56a5440,OR,raw,10-20m,234,123,2582,0.6554621848739496,0.08309659090909091,0.0796189179993195,357
scene-0003_CAM_FRONT_fd842039_f56a5440,OR,raw,20-30m,18,0,2984,1.0,0.005996002664890073,0.005996002664890073,18
scene-0003_CAM_FRONT_fd842039_f56a5440,OR,raw,30-40m,0,0,3660,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_fd842039_f56a5440,OR,dilate_r2,0-10m,339,240,1206,0.5854922279792746,0.21941747572815534,0.1899159663865546,579
scene-0003_CAM_FRONT_fd842039_f56a5440,OR,dilate_r2,10-20m,846,704,1970,0.5458064516129032,0.30042613636363635,0.24034090909090908,1550
scene-0003_CAM_FRONT_fd842039_f56a5440,OR,dilate_r2,20-30m,163,20,2839,0.8907103825136612,0.05429713524317122,0.053937789543348776,183
scene-0003_CAM_FRONT_fd842039_f56a5440,OR,dilate_r2,30-40m,0,0,3660,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,raw,0-10m,43,66,1491,0.3944954128440367,0.02803129074315515,0.026875,109
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,raw,10-20m,188,401,2725,0.31918505942275044,0.06453827669069688,0.056729028364514184,589
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,raw,20-30m,80,331,3093,0.19464720194647203,0.025212732429877087,0.0228310502283105,411
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,raw,30-40m,22,0,3477,1.0,0.006287510717347814,0.006287510717347814,22
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,dilate_r2,0-10m,102,275,1432,0.27055702917771884,0.06649282920469361,0.05638474295190713,377
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,dilate_r2,10-20m,621,1666,2292,0.27153476169654567,0.21318228630278063,0.13561913081458835,2287
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,dilate_r2,20-30m,332,1184,2841,0.21899736147757257,0.10463283958398992,0.07619921964654579,1516
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,dilate_r2,30-40m,72,0,3427,1.0,0.02057730780222921,0.02057730780222921,72
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,raw,0-10m,58,90,1476,0.3918918918918919,0.03780964797913951,0.03571428571428571,148
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,raw,10-20m,201,427,2712,0.3200636942675159,0.0690010298661174,0.060179640718562875,628
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,raw,20-30m,32,2,3141,0.9411764705882353,0.010085092971950834,0.010078740157480314,34
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,raw,30-40m,0,0,3499,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,dilate_r2,0-10m,217,424,1317,0.33853354134165364,0.14146023468057367,0.1108273748723187,641
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,dilate_r2,10-20m,852,1839,2061,0.3166109253065775,0.2924819773429454,0.17929292929292928,2691
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,dilate_r2,20-30m,264,25,2909,0.9134948096885813,0.08320201701859439,0.0825515947467167,289
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,dilate_r2,30-40m,0,0,3499,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,raw,0-10m,68,124,1466,0.3541666666666667,0.04432855280312908,0.04101326899879373,192
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,raw,10-20m,234,351,2679,0.4,0.08032955715756952,0.07169117647058823,585
