clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction
08_000000_000020_s5,G51-C,0,35589,23.191742698211122,0.020993420062090706,0.928550345758138,0.7558610220947883
08_000000_000020_s5,G51-C,1,34552,23.475165473090275,0.029308545455860147,0.9262523191094619,0.7357269354022601
08_000000_000020_s5,G51-C,2,35118,24.500618898675942,0.02130275683802063,0.929562320796087,0.7448768763703829
08_000000_000020_s5,G51-C,3,34218,23.63956269598061,0.033424122161068937,0.9226049924101872,0.7265769944341373
08_000000_000020_s5,G51-C,4,33765,22.597876460132053,0.027805400143896097,0.9198853094956991,0.7162464159217405
08_000025_000045_s5,G51-C,0,32058,17.186086713897513,0.02835592937909004,0.9179035250463822,0.6758728284702311
08_000025_000045_s5,G51-C,1,31615,16.89373475915286,0.024452283639273542,0.9140032045876202,0.6665331421824928
08_000025_000045_s5,G51-C,2,31114,17.41831560247379,0.028916891651256327,0.9089433293978748,0.6559706527238994
08_000025_000045_s5,G51-C,3,28480,17.984207887700535,0.027644667985594396,0.9047478495530443,0.6004385225164446
08_000025_000045_s5,G51-C,4,27746,16.983915874450027,0.03365636818620521,0.9006788665879575,0.5849637375611402
08_000050_000070_s5,G51-C,0,32034,20.13894756188553,0.048129369260022425,0.8986338336987688,0.6760625737898465
08_000050_000070_s5,G51-C,1,29708,20.405431982391033,0.03924978928790002,0.9068982965086861,0.6271926125822229
08_000050_000070_s5,G51-C,2,30286,20.19969592673814,0.0331755853264013,0.9920728622027324,0.638788159892056
08_000050_000070_s5,G51-C,3,36178,20.048249110499466,0.031913316898798616,0.9992621015348289,0.7627551020408163
08_000050_000070_s5,G51-C,4,31135,20.371932077625576,0.024916247240593048,0.9641592174059707,0.6604191263282172
08_000075_000095_s5,G51-C,0,34489,22.298786772190557,0.04624311336607434,0.9352125147579693,0.7399856636869624
08_000075_000095_s5,G51-C,1,32584,24.079059709821433,0.05465101540251416,0.9062658121099679,0.7105540563332771
08_000075_000095_s5,G51-C,2,31528,26.519349290946664,0.06431808217790302,0.9102293810086017,0.6808062067802327
08_000075_000095_s5,G51-C,3,31432,25.15482341840403,0.04955275924600411,0.9083319278124473,0.6792460785967279
08_000075_000095_s5,G51-C,4,31258,24.077084155207395,0.0284284659707712,0.9234483049418114,0.6775805363467701
08_000100_000120_s5,G51-C,0,35288,26.580807146587745,0.025980059136582634,0.9422541743970315,0.7539424860853432
08_000100_000120_s5,G51-C,1,34612,28.753684205987863,0.02593177372779909,0.9538075560802833,0.7353896103896104
08_000100_000120_s5,G51-C,2,35772,30.03596510771854,0.02667913432151625,0.9682492831843481,0.7593607691010288
08_000100_000120_s5,G51-C,3,33772,28.323992678770175,0.022001295302013446,0.969324506662169,0.715635014336313
08_000100_000120_s5,G51-C,4,35913,27.616548601147777,0.017209526432509836,0.980920053972002,0.7573368190251307
08_000125_000145_s5,G51-C,0,37247,24.980111213757823,0.03171755917550945,0.980013493000506,0.7933462641254849
08_000125_000145_s5,G51-C,1,37378,24.770346618245735,0.03271967357350469,0.9776943835385394,0.7940419969640748
08_000125_000145_s5,G51-C,2,36944,23.37053681930693,0.04705408486962659,0.9699359082475966,0.7837535840782595
08_000125_000145_s5,G51-C,3,35860,22.5753272804054,0.037615947875551115,0.9517203575645135,0.7722423680215889
08_000125_000145_s5,G51-C,4,35891,23.089223860539068,0.03198961815389678,0.9580873671782763,0.7728326867937257
08_000150_000170_s5,G51-C,0,34111,23.357442314680235,0.018157628381795465,0.95195226851071,0.7265137459942654
08_000150_000170_s5,G51-C,1,34681,22.7631495512487,0.017513225943396993,0.9512987012987013,0.7449612076235453
08_000150_000170_s5,G51-C,2,36164,22.202970610119056,0.03540170405041021,0.95334373418789,0.7656223646483387
08_000150_000170_s5,G51-C,3,37090,23.55742917640186,0.03446825850806001,0.9569910608871648,0.7860937763535166
08_000150_000170_s5,G51-C,4,37359,23.047965463671126,0.03115849882110977,0.9621563501433631,0.8026016191600607
08_000175_000195_s5,G51-C,0,37285,25.108996704626968,0.03532489463816324,0.9647706189913983,0.8023486254005735
08_000175_000195_s5,G51-C,1,38958,25.36317208142785,0.03450422504412409,0.957033226513746,0.8304941811435318
08_000175_000195_s5,G51-C,2,38642,25.776871491796207,0.026642464095145257,0.9670897284533648,0.8249704840613932
08_000175_000195_s5,G51-C,3,38280,25.237340856481474,0.03237983132757005,0.9716857817507168,0.8255186372069488
08_000175_000195_s5,G51-C,4,37996,25.37557639581255,0.02792273121545863,0.9805616461460618,0.8109714960364311
08_000200_000220_s5,G51-C,0,36715,24.605359464670013,0.03940592540971988,0.9776943835385394,0.7923975375274076
08_000200_000220_s5,G51-C,1,36097,24.1789196812321,0.043495626029325773,0.9705473098330241,0.7819404621352674
08_000200_000220_s5,G51-C,2,33481,25.16216674648786,0.027115738911337672,0.9604697250801147,0.7194088379153314
08_000200_000220_s5,G51-C,3,32046,25.803135016025635,0.051707528374224765,0.9397031539888683,0.703934052960027
08_000200_000220_s5,G51-C,4,32279,25.814233852230476,0.033181572675383464,0.9561899139821217,0.6872997132737393
08_000225_000245_s5,G51-C,0,35268,25.889087433510635,0.031796066544763635,0.9648127846179794,0.7458677685950413
08_000225_000245_s5,G51-C,1,37643,26.214714600271,0.04337382109901666,0.9903019058863215,0.7942106594703997
08_000225_000245_s5,G51-C,2,37457,26.80463853061716,0.04108185492004601,0.9949190419969641,0.7899097655591162
08_000225_000245_s5,G51-C,3,36535,26.688369116748166,0.03244012524825335,0.9998102546803845,0.7704292460785968
08_000225_000245_s5,G51-C,4,34772,25.549793584190578,0.03200041175586943,0.9994518468544442,0.7333867431270029
08_000250_000270_s5,G51-C,0,36960,21.7653243981668,0.028405506510171152,0.9972381514589307,0.7805489964580874
08_000250_000270_s5,G51-C,1,34556,21.584948254870135,0.028599831968321165,0.9902386574464497,0.7297815820543093
08_000250_000270_s5,G51-C,2,35009,20.883627286124543,0.03589456530733859,0.9789382695226851,0.7383622870635858
08_000250_000270_s5,G51-C,3,29796,20.46788103185451,0.030826695895916245,0.9666048237476809,0.631092933040985
08_000250_000270_s5,G51-C,4,29295,19.115199774740375,0.028545625567304,0.9539129701467364,0.6176631809748693
08_000275_000295_s5,G51-C,0,35029,22.66839237862547,0.04377713064539934,0.9502656434474617,0.748988024962051
08_000275_000295_s5,G51-C,1,36106,23.290812841530055,0.02819948940462269,0.9516149434980604,0.7708087367178277
08_000275_000295_s5,G51-C,2,35722,23.229360678214597,0.03160033033185794,0.943561308821049,0.7627129364142351
08_000275_000295_s5,G51-C,3,33598,23.93720337800112,0.023996785803341858,0.943350480688143,0.7132104908078934
08_000275_000295_s5,G51-C,4,31036,25.629527427370025,0.027731280179732254,0.9420433462641254,0.6565398886827458
08_000300_000320_s5,G51-C,0,35318,26.280664437860345,0.020779569381865315,0.9480097824253668,0.756092933040985
08_000300_000320_s5,G51-C,1,36335,26.506628865346862,0.022239905970230733,0.9477567886658795,0.7770070838252656
08_000300_000320_s5,G51-C,2,35446,26.58565472853939,0.030378994440727558,0.946449654241862,0.7570205768257716
08_000300_000320_s5,G51-C,3,36339,26.534825578520568,0.024703082604595306,0.9488952605835723,0.7745614774835554
08_000300_000320_s5,G51-C,4,36163,24.222946068548396,0.030255795614642977,0.9690504300893912,0.7735073368190252
08_000325_000345_s5,G51-C,0,36442,25.648125000000004,0.0292815574201708,0.9782636194973857,0.7700497554393658
08_000325_000345_s5,G51-C,1,37241,26.49161315975494,0.025500434961933216,0.981995277449823,0.7860094451003542
08_000325_000345_s5,G51-C,2,36815,25.70391919889503,0.0265853062329362,0.9866334963737561,0.7768384213189408
08_000325_000345_s5,G51-C,3,37546,25.898608615674195,0.03374644618967593,0.9941178950919211,0.7920391297014674
08_000325_000345_s5,G51-C,4,37909,24.848066354986873,0.03843650234711893,0.9972170686456401,0.7992283690335639
08_000350_000370_s5,G51-C,0,36408,26.6932113386308,0.024870894854346126,0.9993885984145724,0.7679625569235958
08_000350_000370_s5,G51-C,1,34146,25.084068380376355,0.030246525729183515,0.9996626749873503,0.7201678191937932
08_000350_000370_s5,G51-C,2,33545,23.4536578989704,0.02678596739313477,0.9997048406139315,0.7072229718333615
08_000350_000370_s5,G51-C,3,34910,21.97144939056704,0.027696277047432938,1.0,0.736001011975038
08_000350_000370_s5,G51-C,4,31742,22.168039588730565,0.025043529467999814,0.9999789171867094,0.6692106594703997
08_000375_000395_s5,G51-C,0,34980,23.066895084229895,0.03636173330501413,0.9998313374936751,0.7376243885984146
08_000375_000395_s5,G51-C,1,36322,22.92709918147517,0.047322188194929726,0.9998102546803845,0.7659596896609884
08_000375_000395_s5,G51-C,2,33067,25.956166752049185,0.041026546064871106,0.9991777702816664,0.6980097824253668
08_000375_000395_s5,G51-C,3,31751,25.465958539177397,0.02013391235075801,0.9977652217911959,0.6700961376286052
08_000375_000395_s5,G51-C,4,27768,23.57217813146106,0.02703538585753784,0.9959731826614944,0.5854275594535335
08_000400_000420_s5,G51-C,0,31101,25.769552027925528,0.057960090204302706,0.9992199359082476,0.6558652386574465
08_000400_000420_s5,G51-C,1,29999,23.51229505158918,0.039171513662594304,0.9999789171867094,0.6324633159048744
08_000400_000420_s5,G51-C,2,31650,24.6987383697411,0.03709069458301473,1.0,0.6672710406476641
08_000400_000420_s5,G51-C,3,33993,24.528384064354608,0.05377197845165993,1.0,0.7166680721875527
08_000400_000420_s5,G51-C,4,30300,22.632398659560717,0.03160255738571438,0.9588885140833193,0.652091415078428
08_000425_000445_s5,G51-C,0,33845,22.99150157493369,0.04236636268894234,0.9117262607522347,0.7349468713105076
08_000425_000445_s5,G51-C,1,31663,22.849865381075105,0.05395736139391971,0.8781624219935908,0.7002234778208805
08_000425_000445_s5,G51-C,2,30831,23.318713144292374,0.04082097179532029,0.8523570585258897,0.6854022600775848
08_000425_000445_s5,G51-C,3,29581,23.92700304792601,0.03340011162297962,0.8237476808905381,0.6314513408669253
08_000425_000445_s5,G51-C,4,26972,22.898575964178725,0.018632117964639816,0.8326024624725924,0.5686456400742115
08_000450_000470_s5,G51-C,0,32218,24.04971287393162,0.038335551192006934,0.8370087704503288,0.6928234103558779
08_000450_000470_s5,G51-C,1,31566,24.906874532185626,0.0432637866464165,0.8433125316242199,0.6829988193624558
08_000450_000470_s5,G51-C,2,31572,23.946735606846477,0.028216707762826365,0.8468755270703323,0.6680300219261258
08_000450_000470_s5,G51-C,3,32276,24.663124922991628,0.026901958152967254,0.8445985832349469,0.6867726429414741
08_000450_000470_s5,G51-C,4,32679,24.08199692991214,0.022519061678146546,0.8447883285545623,0.6992536684095125
08_000475_000495_s5,G51-C,0,33535,21.01104379891632,0.017437971730265733,0.8381683251813122,0.7194510035419126
08_000475_000495_s5,G51-C,1,33247,22.29949560072815,0.01820055608403859,0.8423216393995615,0.7211797942317423
08_000475_000495_s5,G51-C,2,34261,21.973805998544208,0.04182911924445598,0.862603305785124,0.7400699949401248
08_000475_000495_s5,G51-C,3,40650,22.01241855053192,0.03215859527216636,0.9403145555742959,0.8780359251138472
08_000475_000495_s5,G51-C,4,43300,23.73138315987358,0.0703974717640623,0.9392182492831843,0.9432872322482712
08_000500_000520_s5,G51-C,0,40301,19.29546423884515,0.025713004153797847,0.9090909090909091,0.8548659133074717
08_000500_000520_s5,G51-C,1,37484,18.244033037605934,0.04861287504858769,0.8829903862371394,0.7961502782931354
08_000500_000520_s5,G51-C,2,35419,18.922996115819217,0.0366408759077137,0.8588927306459774,0.7528672626075223
08_000500_000520_s5,G51-C,3,35821,19.335338432247898,0.04347373648980968,0.8659554730983302,0.7579693034238488
08_000500_000520_s5,G51-C,4,35359,19.024199955576822,0.03329177937109673,0.8799122954967111,0.7475754764715804
08_000525_000545_s5,G51-C,0,37118,18.47351403177349,0.02540704783268155,0.8891254849047057,0.7902049249451847
08_000525_000545_s5,G51-C,1,37354,18.634733780570652,0.0461046552322526,0.8968207117557767,0.7987645471411705
08_000525_000545_s5,G51-C,2,36712,19.68950104044976,0.04907855125054805,0.8886194973857312,0.7896989374262101
08_000525_000545_s5,G51-C,3,35998,19.529511820298964,0.04957840466046437,0.9032298869961207,0.7633875864395345
