clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction
08_000000_000020_s5,G51-D,0,35584,30.411833620509608,0.07323772933599071,0.928550345758138,0.7558610220947883
08_000000_000020_s5,G51-D,1,34548,32.239975175233646,0.08076017987006057,0.9262523191094619,0.7357269354022601
08_000000_000020_s5,G51-D,2,35118,32.423468806921676,0.06716932941300557,0.929562320796087,0.7448768763703829
08_000000_000020_s5,G51-D,3,34218,31.782930938088516,0.06544834118385823,0.9226049924101872,0.7265769944341373
08_000000_000020_s5,G51-D,4,33765,32.81456335427689,0.07805602757136265,0.9198853094956991,0.7162464159217405
08_000025_000045_s5,G51-D,0,32058,25.345725414586312,0.08762296507448353,0.9179035250463822,0.6758728284702311
08_000025_000045_s5,G51-D,1,31615,24.42669323549257,0.0795216755995547,0.9140032045876202,0.6665331421824928
08_000025_000045_s5,G51-D,2,31114,25.094075520833325,0.06662177343540954,0.9089433293978748,0.6559706527238994
08_000025_000045_s5,G51-D,3,28480,24.432783269557817,0.0722818787527264,0.9047478495530443,0.6004385225164446
08_000025_000045_s5,G51-D,4,27746,25.99847617118444,0.08014546410338363,0.9006788665879575,0.5849637375611402
08_000050_000070_s5,G51-D,0,32034,29.389550501432666,0.07455276670344646,0.8986338336987688,0.6760625737898465
08_000050_000070_s5,G51-D,1,29708,29.204403592139187,0.07043792838958107,0.9068982965086861,0.6271926125822229
08_000050_000070_s5,G51-D,2,30286,29.359103355354648,0.06320807521955607,0.9920728622027324,0.638788159892056
08_000050_000070_s5,G51-D,3,36178,29.442259557038838,0.06787611508294367,0.9992621015348289,0.7627551020408163
08_000050_000070_s5,G51-D,4,31135,26.25773704234052,0.04317366541314627,0.9641592174059707,0.6604191263282172
08_000075_000095_s5,G51-D,0,34439,35.33851267545981,0.09874711360698551,0.9352125147579693,0.7399856636869624
08_000075_000095_s5,G51-D,1,32582,34.18923310225304,0.06086596470008998,0.9062658121099679,0.7105540563332771
08_000075_000095_s5,G51-D,2,31525,36.82468831663762,0.05271764019380054,0.9102293810086017,0.6808062067802327
08_000075_000095_s5,G51-D,3,31358,36.23433656641325,0.053653473755208125,0.9083319278124473,0.6792460785967279
08_000075_000095_s5,G51-D,4,31228,36.36960510524372,0.08863774165673122,0.9234483049418114,0.6775805363467701
08_000100_000120_s5,G51-D,0,35219,40.4862921274355,0.10494150443724903,0.9422541743970315,0.7539424860853432
08_000100_000120_s5,G51-D,1,34611,41.45708414713542,0.09086058343629233,0.9538075560802833,0.7353896103896104
08_000100_000120_s5,G51-D,2,35760,42.25030595008275,0.10710877169370381,0.9682492831843481,0.7593607691010288
08_000100_000120_s5,G51-D,3,33772,42.72607850191887,0.13165653096205832,0.969324506662169,0.715635014336313
08_000100_000120_s5,G51-D,4,35913,42.1020265296979,0.12678502362509692,0.980920053972002,0.7573368190251307
08_000125_000145_s5,G51-D,0,37247,38.521252349624056,0.12050210802137817,0.980013493000506,0.7933462641254849
08_000125_000145_s5,G51-D,1,37376,39.71527910915132,0.11715224059055163,0.9776943835385394,0.7940419969640748
08_000125_000145_s5,G51-D,2,36943,39.740545949179584,0.10534070071184498,0.9699359082475966,0.7837535840782595
08_000125_000145_s5,G51-D,3,35855,36.98993114151398,0.11511928054649623,0.9517203575645135,0.7722423680215889
08_000125_000145_s5,G51-D,4,35891,37.45215312800191,0.11774890349169453,0.9580873671782763,0.7728326867937257
08_000150_000170_s5,G51-D,0,34104,37.85651146991911,0.10779284138280332,0.95195226851071,0.7265137459942654
08_000150_000170_s5,G51-D,1,34679,37.71752121274834,0.15057252140319788,0.9512987012987013,0.7449612076235453
08_000150_000170_s5,G51-D,2,36160,38.44526367187499,0.14464656690932376,0.95334373418789,0.7656223646483387
08_000150_000170_s5,G51-D,3,37090,37.220673329826404,0.11754945363016689,0.9569910608871648,0.7860937763535166
08_000150_000170_s5,G51-D,4,37321,37.108424554273725,0.13829799822864564,0.9621563501433631,0.8026016191600607
08_000175_000195_s5,G51-D,0,37282,42.2842101722282,0.12156922668546377,0.9647706189913983,0.8023486254005735
08_000175_000195_s5,G51-D,1,38952,42.01176682049224,0.15027125581532363,0.957033226513746,0.8304941811435318
08_000175_000195_s5,G51-D,2,38640,42.83754485645933,0.14862231493423916,0.9670897284533648,0.8249704840613932
08_000175_000195_s5,G51-D,3,38272,45.90858505564387,0.15153617754618431,0.9716857817507168,0.8255186372069488
08_000175_000195_s5,G51-D,4,37995,44.884750669984676,0.12298870901652093,0.9805616461460618,0.8109714960364311
08_000200_000220_s5,G51-D,0,36712,42.082919237944886,0.1608890875197495,0.9776943835385394,0.7923975375274076
08_000200_000220_s5,G51-D,1,36090,41.746303575425245,0.1386458452840842,0.9705473098330241,0.7819404621352674
08_000200_000220_s5,G51-D,2,33463,38.38554437633262,0.09125365553682352,0.9604697250801147,0.7194088379153314
