clip_id,group,variant,s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,fov_supplied_deg,fov_calibrated_deg,fov_moge_out_deg,teacher_w,teacher_h,crop_x0,crop_x1
08_000000_000020_s5,08,G51-B,27.310438992376294,1,312031,0.03884293520864812,0.025035832019558415,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000025_000045_s5,08,G51-B,20.430790122038403,1,272001,0.03816242962961347,0.021079766995897534,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000050_000070_s5,08,G51-B,23.11218525179856,1,268029,0.035735097846886,0.022613504635772354,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000075_000095_s5,08,G51-B,30.616593595488254,1,268548,0.05574603598169903,0.05049819214198343,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000100_000120_s5,08,G51-B,34.78308244010089,1,295523,0.059335667668626524,0.039333616987836724,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000125_000145_s5,08,G51-B,32.34173233695651,1,333510,0.07594650246514112,0.0335074084927639,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000150_000170_s5,08,G51-B,30.599478420487102,1,314050,0.07883603116732973,0.02349729179187774,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000175_000195_s5,08,G51-B,34.533301999266335,1,328415,0.11038721152897946,0.03502367192725175,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000200_000220_s5,08,G51-B,32.957928856382985,1,301754,0.07806986617784695,0.032677250563568086,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000225_000245_s5,08,G51-B,32.601192650496785,1,301142,0.05221730106656208,0.030620569641975667,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000250_000270_s5,08,G51-B,26.24367156124498,1,304640,0.06951373120876458,0.03473207490577399,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000275_000295_s5,08,G51-B,31.679200504828803,1,307744,0.0645816150590568,0.04200530087099801,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000300_000320_s5,08,G51-B,34.01225809552291,1,311272,0.08512186253931597,0.01413934312750697,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000325_000345_s5,08,G51-B,32.748576895352784,1,322081,0.07780290218620323,0.03445395336902851,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000350_000370_s5,08,G51-B,31.336696068548402,1,304997,0.07572291158317901,0.037332335342713144,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000375_000395_s5,08,G51-B,30.531010005619382,1,275693,0.062409207794658084,0.01678392640267512,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000400_000420_s5,08,G51-B,28.857585447864665,1,260673,0.08592504633324793,0.06058061648121428,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000425_000445_s5,08,G51-B,27.818004348358652,1,279330,0.07570507882252575,0.02769556691633975,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000450_000470_s5,08,G51-B,28.924703512105854,1,296030,0.0519191523672935,0.01489801990979484,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000475_000495_s5,08,G51-B,25.631060243435446,1,324826,0.03829702669960211,0.01437353341165216,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000500_000520_s5,08,G51-B,22.281975302851635,1,326343,0.04154731120124344,0.03686888492339939,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000525_000545_s5,08,G51-B,22.728505721830988,1,339185,0.04294665735692016,0.01734303851692551,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000550_000570_s5,08,G51-B,23.809552389223914,1,343176,0.04886413372177656,0.037091836065642314,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000575_000595_s5,08,G51-B,21.50504018660072,1,338415,0.05761639651105099,0.01936758809447778,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000600_000620_s5,08,G51-B,24.37002383364506,1,331627,0.0355181086263916,0.025243042833156818,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000625_000645_s5,08,G51-B,23.750335200722176,1,338229,0.04336320283234674,0.015199022403251248,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000650_000670_s5,08,G51-B,22.704262462172156,1,341674,0.040284443479619014,0.022292622336392263,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000675_000695_s5,08,G51-B,24.858381153207958,1,354426,0.047836046610571836,0.042750971377468486,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000700_000720_s5,08,G51-B,21.538489060539515,1,317565,0.02620533602195474,0.012532245143075056,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000725_000745_s5,08,G51-B,26.89738292528874,1,328998,0.04490972041973751,0.028609215573079383,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000750_000770_s5,08,G51-B,27.465019985465123,1,345986,0.03558676747488376,0.022169212746712786,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000775_000795_s5,08,G51-B,23.164181495313414,1,345637,0.05535443577088195,0.021879294532689726,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000800_000820_s5,08,G51-B,21.626004509914146,1,321702,0.032429304395930725,0.023791919842862448,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000825_000845_s5,08,G51-B,25.614180883090814,1,347073,0.03912830593723937,0.021431793457266892,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000850_000870_s5,08,G51-B,22.01177651340111,1,345436,0.04721182071479402,0.031096650198579524,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000875_000895_s5,08,G51-B,21.718402701364436,1,327821,0.03676914056287384,0.01655815462399072,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000900_000920_s5,08,G51-B,25.071467282550696,1,338237,0.03330420780774013,0.021142216191434672,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000925_000945_s5,08,G51-B,25.4234813389866,1,334809,0.03858745979151079,0.019226483231172167,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000950_000970_s5,08,G51-B,25.026675988162125,1,325164,0.04331443541514113,0.027271175325840207,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_000975_000995_s5,08,G51-B,27.32982823021886,1,311697,0.043840136008813424,0.03293411312727927,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001000_001020_s5,08,G51-B,25.570636967367857,1,293547,0.04128575529392009,0.029622401900277307,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001025_001045_s5,08,G51-B,28.07845000000001,1,323885,0.05322590748007272,0.04554325716703163,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001050_001070_s5,08,G51-B,26.359639557567725,1,314490,0.0700702899498562,0.05284298690606349,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001075_001095_s5,08,G51-B,24.688657688878074,1,325156,0.045177386370714556,0.03634231827556355,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001100_001120_s5,08,G51-B,25.671538194444448,1,324531,0.02945440584072978,0.010200938388330265,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001125_001145_s5,08,G51-B,26.361572000542882,1,327830,0.04175263329518408,0.02353529001396616,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001150_001170_s5,08,G51-B,27.718296834867292,1,341355,0.048915170835246435,0.04262903878050744,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001175_001195_s5,08,G51-B,23.849876693532433,1,331927,0.054924519863842836,0.0475084744838767,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001200_001220_s5,08,G51-B,21.092922453703704,1,327432,0.057954140464372195,0.029644824365465314,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001225_001245_s5,08,G51-B,18.529547614020274,1,345345,0.04252282512549055,0.015824228043127574,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001250_001270_s5,08,G51-B,21.540361845563492,1,309886,0.0425361874313932,0.022246579945783197,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001275_001295_s5,08,G51-B,26.222077235499462,1,336617,0.02896610991925197,0.01877276432930744,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001300_001320_s5,08,G51-B,21.89308785973199,1,309384,0.04473017781059152,0.013244553773872179,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001325_001345_s5,08,G51-B,21.3964058849299,1,331850,0.038847213325934105,0.024594158939028762,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001350_001370_s5,08,G51-B,24.330205157520318,1,328433,0.058375612144481615,0.04892356364631869,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001375_001395_s5,08,G51-B,24.039185496490887,1,328794,0.03937006023420553,0.015211073500341036,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001400_001420_s5,08,G51-B,22.252197265624996,1,320520,0.035338638906314834,0.012669013142019193,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001425_001445_s5,08,G51-B,24.90979521369007,1,329816,0.04206338174644464,0.03359339560072295,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001450_001470_s5,08,G51-B,24.928250170836836,1,335705,0.052471792058447875,0.035817949258321956,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001475_001495_s5,08,G51-B,20.767135876999156,1,345651,0.04465716073272308,0.020090934052845986,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001500_001520_s5,08,G51-B,18.902288334177765,1,308365,0.051311629012046556,0.01759155100728462,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001525_001545_s5,08,G51-B,25.753903369284654,1,332917,0.04709659233142949,0.0418866348525525,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001550_001570_s5,08,G51-B,26.693665957738745,1,326587,0.05919470634369617,0.04258082275717586,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001575_001595_s5,08,G51-B,27.487890905823154,1,262624,0.06739137447586852,0.05397680000062894,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001600_001620_s5,08,G51-B,30.54601720861486,1,233272,0.06204584711664762,0.03762116991864354,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001625_001645_s5,08,G51-B,26.6931554702889,1,285465,0.06085405811221145,0.04023207351189719,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001650_001670_s5,08,G51-B,26.97492362081006,1,313878,0.06499550107894203,0.01822265389502092,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001675_001695_s5,08,G51-B,28.76829679915049,1,316316,0.08589810362976014,0.03325950951647121,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
08_001700_001720_s5,08,G51-B,30.15470443766938,1,313105,0.09448371248644793,0.08083031289246453,81.8461284907647,81.8461284907647,81.84611511230469,518,154,0,518
