block,K360-A-D,K360-A-R,K360-B-D,K360-B-R,K360-C0-D,K360-C0-R,K360-C3-D,K360-C3-R,K360-OR-D,K360-OR-R
0,0.10884112107222399,0.028766251293414764,0.10968613265065477,0.0300912597080051,0.07870864689342383,0.017951032738631217,0.08469904557310551,0.018709550429589942,0.10407574728231324,0.026835155847853696
1,0.09957161365211924,0.027872285173420795,0.08745085419484218,0.023455376537852804,0.0887065213756431,0.0205042437349073,0.09424885467759588,0.023378106422538313,0.09042362173835714,0.024762001435765495
2,0.15026711968143866,0.042528862998833794,0.13261654645651605,0.03761253574944965,0.12531813726314708,0.029982668402563983,0.12533685716649953,0.02962594430250807,0.15614558836421297,0.0458326120512028
3,0.1390066464766216,0.0372295804405843,0.14037878779559404,0.0382695273365656,0.08469816234853098,0.017524746765007045,0.11700801522488843,0.027905519967814835,0.14566967524478283,0.03756754974464291
4,0.14309583807775875,0.03892287204093159,0.14803573887503077,0.042206869907893116,0.14871465039210924,0.04127101687319179,0.1193235274043968,0.02680814509444903,0.15840335169389494,0.0456221702842982
5,0.126160204403849,0.03661086698838091,0.11765692396448864,0.033479984371290475,0.08062301682690921,0.01864087755875853,0.08480510076580212,0.021053226630615617,0.11764744122739401,0.030039161340139092
6,0.12873175988530167,0.03971100248700336,0.12001717071798082,0.0369166767486115,0.10496706698090655,0.022514623565614143,0.11736077413763468,0.024819137547659822,0.1293211997047355,0.04049866385460543
7,0.13545891049459247,0.038439770936085256,0.12706443926529182,0.03640265916479036,0.10526914299553289,0.020936124382133457,0.11353245711636606,0.02246558567631268,0.13552089766338657,0.03799600072322192
8,0.11251460726733353,0.029722550905654354,0.10745621386770994,0.02851906018114444,0.10831763232421694,0.023511713109440772,0.11030030253902874,0.02453028462301766,0.11198863207597416,0.028531744097571067
9,0.12644881847946357,0.03545596068109876,0.12648523424362482,0.03588972265115643,0.09939259962400457,0.021699107515619848,0.09610279746778276,0.020730151884678406,0.12938795062667324,0.03734056981869408
10,0.13649731405710594,0.03890131291315753,0.1358755647030934,0.03900257433920965,0.13580896744751708,0.0333646710923077,0.12546264274384064,0.028627520745117385,0.13719596071683704,0.039462569460444935
11,0.1659958862114396,0.051347111436596024,0.1674045352823234,0.05171415386380297,0.1193630332384729,0.026255934069295373,0.1086641537853809,0.022433224862368446,0.16941763501571286,0.053328161136359256
12,0.12712184668152374,0.033673336322095404,0.1251969221679234,0.03253709483268145,0.07255357048238785,0.012009752660326254,0.07548143007829293,0.012636903397846322,0.12279347687536848,0.03205164148738679
13,0.13702378595084636,0.043735226447461355,0.13782509177253846,0.043475521960209006,0.07798599662833837,0.01768640480242958,0.08493069703920578,0.02177646713902933,0.1346508661935936,0.040611944505414214
14,0.12313529912354995,0.03310966500246272,0.12152577744353896,0.03335981774465663,0.1025205284955912,0.023825183286733522,0.11413801262630778,0.027591904736830625,0.12783533687399196,0.03613465346656404
15,0.13613181510408132,0.03704188288059955,0.13646511222776733,0.03857888549268735,0.12349005087481821,0.03135480399331893,0.12228143321955236,0.02957218243592218,0.13762839770818533,0.040058766220901904
16,0.1554424389184274,0.042367415506479655,0.15663050985153754,0.04336553819344209,0.13055095544417847,0.02967578757913263,0.0978429591768712,0.017321882327913315,0.15495614973568023,0.04191807831184312
17,0.1560414631498159,0.05287313731081197,0.1452384844430999,0.051015681025782356,0.11244300363937547,0.024761797225584078,0.09516140988255199,0.015320120040035065,0.1557324250547037,0.045739158592985954
18,0.1536476388417333,0.0467917969397828,0.1522629561356353,0.046078875239136535,0.10035243844103928,0.01601541007097757,0.12161895263818383,0.023629332673010768,0.15481864012585517,0.0481900333530026
19,0.13858698059845967,0.03828335454166925,0.1354276731106642,0.03919352995345651,0.13351505682682333,0.03461141080590465,0.10945618078100124,0.02322938856523369,0.1384948604843254,0.039628225883177715
20,0.15403207243201816,0.04312692039546203,0.1532917734198026,0.04288533794809565,0.15590097961403462,0.034252113663045286,0.13356548741512334,0.024173394288509946,0.16250589826216796,0.04497343583965151
21,0.13741186466784067,0.04035046831944723,0.14461488733876768,0.03932339307691435,0.10325066757798418,0.018072124223491758,0.11579181860142373,0.023204203273514263,0.1394378855707085,0.03861049398641228
22,0.14625207079979258,0.042002821238715723,0.15193811103632096,0.04625199888662412,0.08687768076920076,0.014975108817033072,0.11498105935272014,0.023846315302754908,0.1519983004695607,0.0447332106277352
23,0.13422339258157592,0.0368412437795664,0.125741110338483,0.03184771900732686,0.11295701184624629,0.022079657644028108,0.12128559605185545,0.024066972380932458,0.13611052800168433,0.03504929209970357
24,0.12014029850265547,0.03589468936937032,0.11092853499064723,0.033111072181208304,0.140915441712937,0.04265419608437581,0.14158818512646257,0.04048859342399437,0.1277691942604794,0.03961823080495254
25,0.11135244123496683,0.030198198870009085,0.10546273987728678,0.026821505451939637,0.10665312714553002,0.027175102640365673,0.11217384941193372,0.031686119142684606,0.10897442206486656,0.029085636940964516
26,0.11646904680456269,0.032763121842462085,0.11615977187736375,0.03317604080207859,0.11310796822178312,0.025275277990983003,0.11253058910803657,0.025369216807337752,0.11897830817393204,0.03423789072206863
27,0.13364305284226438,0.03892650829916617,0.12973924749589422,0.03907570832623184,0.09331625194459715,0.019029172169533645,0.09424418185659403,0.01904701571955522,0.13241632433150743,0.03725260468929548
28,0.123860715424484,0.03747642683059283,0.11856300084348174,0.035900450711150625,0.1039864168003524,0.025513948570290396,0.10461646560185996,0.026148424851247753,0.11435288571872775,0.031416619066935804
29,0.11969661951630957,0.030452474749757163,0.12394567623802244,0.03286343434084847,0.09720832615361258,0.02160128046338759,0.07632068130757143,0.014893806230930598,0.12097856612221473,0.030819413416639206
30,0.19075065333690638,0.053569997411120285,0.20213808388824867,0.06370076694130186,0.10751591994733176,0.022683884085847057,0.12000683789659872,0.025667223010830666,0.19782160559113707,0.05592166350367581
31,0.15580839854671352,0.0431330932039662,0.15522841696496842,0.0421391980767937,0.10275730010095796,0.022995470214758805,0.10628642412508846,0.023930318421396875,0.1546529699501811,0.0417694261601538
32,0.13871996937607017,0.03894843523500577,0.1308029759790723,0.036102836987042475,0.07400614559322288,0.017937685717265527,0.07988981266177239,0.020564618469817924,0.13828385757745457,0.03851163049358254
33,0.13923408872551307,0.04228669856526169,0.14079649363655217,0.04157960699486026,0.07913822629450099,0.016844062688266482,0.08369463980792455,0.01889567165506513,0.14526029740546215,0.0423581556377423
34,0.15033725983541674,0.04689472251747338,0.16279134314091176,0.051656380809475835,0.0948432018848706,0.01809070323849584,0.07513702672997018,0.012555151420938401,0.16543294422585134,0.048701201699055875
35,0.14214086260280506,0.03865046291456728,0.14848201613424417,0.039824880082823214,0.1307625481245755,0.026868800822379486,0.1110693355760352,0.019028891585870646,0.14573871102770214,0.03801101729856189
36,0.1370476093008834,0.039365143653342885,0.1404025230041689,0.04155795586357972,0.09973613429952757,0.024997840358349812,0.08100726102929927,0.016828882226056066,0.12760307399153467,0.036307346476021476
37,0.1183450612365327,0.030475964921209058,0.1190125122693693,0.031180059685202332,0.07885130022154149,0.016219305353270406,0.07377655822958958,0.01531463124308682,0.10621490594537311,0.024223326454984106
38,0.10791085414919957,0.028383444165149974,0.10519487065627045,0.028261392308616295,0.0712625897862177,0.015128423649111145,0.07997328490769687,0.016774924854617082,0.1103750989768831,0.028502585141078486
39,0.1510122131251384,0.04148683461951744,0.1483580311057991,0.041439154299453454,0.08172094976864079,0.01782814869446804,0.10571587576161408,0.022978103536539347,0.15041422321953318,0.04081486490190059
40,0.12143879265416717,0.03318853998239578,0.11952417330614154,0.031421905297250245,0.07881963278727705,0.01612451305610115,0.07011847815747724,0.012680980427679867,0.1179041373211033,0.03127704222373594
41,0.11453555989720346,0.03082275525943882,0.10804832741235024,0.028573174725735402,0.06677601975519276,0.01417142088890803,0.07978122038356533,0.017617226566503833,0.10559498255266733,0.027318799243345116
