clip_id,block,anchor,condition,corrector,is_oracle,scale_used,tp,fp,fn,precision,recall,iou,n_pred_occupied,n_occupied_pred,n_valid_eval_voxels,n_gt_occupied,frac_pred_in_eval_mask,n_fused_points,n_points_in_grid,n_points_out_grid
2013_05_28_drive_0006_sync_000040,0,40,C0,raw,0,27.3665,387,1257,57054,0.2354014598540146,0.006737347887397504,0.006593069610548912,1644,28563,201795,57441,0.057556979308896125,303082,117529,185553
2013_05_28_drive_0006_sync_000040,0,40,C0,dilate_r2,0,27.3665,2433,8359,55008,0.22544477390659748,0.042356504935499036,0.03697568389057751,10792,142852,201795,57441,0.07554671968190854,303082,117529,185553
2013_05_28_drive_0006_sync_000040,0,40,C3,raw,0,24.776110464318858,464,1494,56977,0.236976506639428,0.008077853797809927,0.007873080512428948,1958,27681,201795,57441,0.07073443878472599,303082,129388,173694
2013_05_28_drive_0006_sync_000040,0,40,C3,dilate_r2,0,24.776110464318858,2719,9273,54722,0.2267344896597732,0.04733552688845946,0.040756063195131455,11992,136685,201795,57441,0.08773457219153528,303082,129388,173694
2013_05_28_drive_0006_sync_000040,0,40,A,raw,0,16.932772090517247,2778,4964,54663,0.35882200981658485,0.0483626677808534,0.044515663808989664,7742,20732,201795,57441,0.37343237507235194,303082,200270,102812
2013_05_28_drive_0006_sync_000040,0,40,A,dilate_r2,0,16.932772090517247,11401,20485,46040,0.3575550398293922,0.1984819205793771,0.146305469291379,31886,99080,201795,57441,0.3218207509083569,303082,200270,102812
2013_05_28_drive_0006_sync_000040,0,40,B,raw,0,15.612675452633502,3425,4884,54016,0.4122036346130702,0.059626399261851294,0.05495387083834737,8309,19167,201795,57441,0.43350550425209994,303082,217752,85330
2013_05_28_drive_0006_sync_000040,0,40,B,dilate_r2,0,15.612675452633502,13128,21546,44313,0.37861221664647865,0.2285475531414843,0.16620456530821529,34674,91062,201795,57441,0.3807735389075575,303082,217752,85330
2013_05_28_drive_0006_sync_000040,0,40,OR,raw,1,18.597475703791048,2237,4266,55204,0.34399507919421807,0.03894430807263105,0.0362519649310451,6503,22584,201795,57441,0.28794721927027983,303082,179601,123481
2013_05_28_drive_0006_sync_000040,0,40,OR,dilate_r2,1,18.597475703791048,10374,17692,47067,0.36962873227392573,0.18060270538465556,0.13807514673978147,28066,108930,201795,57441,0.25765170292848616,303082,179601,123481
2013_05_28_drive_0006_sync_000045,0,45,C0,raw,0,27.3665,315,932,63832,0.2526062550120289,0.00491059597487022,0.00484027105517909,1247,23891,233392,64147,0.052195387384370684,296840,100408,196432
2013_05_28_drive_0006_sync_000045,0,45,C0,dilate_r2,0,27.3665,2082,5997,62065,0.2577051615298923,0.0324567010148565,0.029681797445255474,8079,111260,233392,64147,0.07261369764515549,296840,100408,196432
2013_05_28_drive_0006_sync_000045,0,45,C3,raw,0,27.071426724546516,357,939,63790,0.27546296296296297,0.005565342104852916,0.005485050548505055,1296,23690,233392,64147,0.05470662726888983,296840,101535,195305
2013_05_28_drive_0006_sync_000045,0,45,C3,dilate_r2,0,27.071426724546516,2172,6156,61975,0.260806916426513,0.033859728436247995,0.030894840902948664,8328,110520,233392,64147,0.0753528773072747,296840,101535,195305
2013_05_28_drive_0006_sync_000045,0,45,A,raw,0,18.730807333467094,1668,3891,62479,0.30005396654074473,0.02600277487645564,0.024515711808107233,5559,20731,233392,64147,0.26814914861801165,296840,175505,121335
2013_05_28_drive_0006_sync_000045,0,45,A,dilate_r2,0,18.730807333467094,9045,15474,55102,0.3688975896243729,0.14100425584984488,0.1136006832368345,24519,95895,233392,64147,0.25568590646019085,296840,175505,121335
2013_05_28_drive_0006_sync_000045,0,45,B,raw,0,17.18358816964286,2286,4433,61861,0.3402292007739247,0.03563689650334388,0.03333333333333333,6719,19538,233392,64147,0.34389395025079333,296840,195443,101397
2013_05_28_drive_0006_sync_000045,0,45,B,dilate_r2,0,17.18358816964286,11083,17225,53064,0.3915147661438463,0.17277503234757666,0.1362016418424028,28308,91810,233392,64147,0.3083324256616926,296840,195443,101397
2013_05_28_drive_0006_sync_000045,0,45,OR,raw,1,20.516478488594384,1252,2990,62895,0.29514380009429514,0.019517670350912748,0.018648435289035852,4242,21792,233392,64147,0.19465859030837004,296840,155120,141720
2013_05_28_drive_0006_sync_000045,0,45,OR,dilate_r2,1,20.516478488594384,7240,13214,56907,0.3539649946220788,0.11286576145415998,0.09358720802471529,20454,99735,233392,64147,0.20508347119867648,296840,155120,141720
2013_05_28_drive_0006_sync_000050,0,50,C0,raw,0,27.3665,253,1514,77699,0.14318053197509903,0.003245587027914614,0.003183751541539778,1767,22637,283320,77952,0.07805804656094005,300859,110195,190664
2013_05_28_drive_0006_sync_000050,0,50,C0,dilate_r2,0,27.3665,2247,9767,75705,0.18703179623772265,0.02882543103448276,0.025615887094016118,12014,116803,283320,77952,0.10285694716745289,300859,110195,190664
2013_05_28_drive_0006_sync_000050,0,50,C3,raw,0,25.76635279991703,368,1639,77584,0.1833582461385152,0.004720853858784894,0.004623638351069844,2007,22119,283320,77952,0.09073647090736471,300859,118011,182848
2013_05_28_drive_0006_sync_000050,0,50,C3,dilate_r2,0,25.76635279991703,2444,10742,75508,0.18534809646594874,0.03135262725779967,0.02755541524793109,13186,114639,283320,77952,0.11502193843281955,300859,118011,182848
2013_05_28_drive_0006_sync_000050,0,50,A,raw,0,18.105691279579315,1722,4035,76230,0.2991141219385096,0.02209051724137931,0.0210033297961872,5757,19468,283320,77952,0.2957160468461064,300859,185666,115193
2013_05_28_drive_0006_sync_000050,0,50,A,dilate_r2,0,18.105691279579315,11594,16637,66358,0.41068329141723636,0.14873255336617405,0.12257239213862077,28231,102909,283320,77952,0.27432974764111984,300859,185666,115193
2013_05_28_drive_0006_sync_000050,0,50,B,raw,0,16.80579253802281,2702,3942,75250,0.4066827212522577,0.03466235632183908,0.03299387012479547,6644,18421,283320,77952,0.36067531621518917,300859,197083,103776
2013_05_28_drive_0006_sync_000050,0,50,B,dilate_r2,0,16.80579253802281,13435,17828,64517,0.4297412276492979,0.17234965106732347,0.14026936730006265,31263,98705,283320,77952,0.31673167519375917,300859,197083,103776
2013_05_28_drive_0006_sync_000050,0,50,OR,raw,1,19.667561246673856,1156,3568,76796,0.2447078746824725,0.014829638752052544,0.014180569185475956,4724,20760,283320,77952,0.2275529865125241,300859,170647,130212
2013_05_28_drive_0006_sync_000050,0,50,OR,dilate_r2,1,19.667561246673856,9144,15742,68808,0.36743550590693563,0.11730295566502463,0.09759429632633894,24886,107375,283320,77952,0.23176717112922002,300859,170647,130212
2013_05_28_drive_0006_sync_000055,0,55,C0,raw,0,27.3665,1326,3122,75960,0.2981115107913669,0.01715705302383355,0.0164908964282161,4448,30064,291983,77286,0.14795103778605642,320891,147732,173159
2013_05_28_drive_0006_sync_000055,0,55,C0,dilate_r2,0,27.3665,8151,18698,69135,0.3035867257625982,0.10546541417591802,0.08492040340056677,26849,161427,291983,77286,0.16632285801012223,320891,147732,173159
2013_05_28_drive_0006_sync_000055,0,55,C3,raw,0,24.75407309114301,1335,3169,75951,0.2964031971580817,0.01727350360996817,0.016593126592505128,4504,28116,291983,77286,0.1601934841371461,320891,158976,161915
2013_05_28_drive_0006_sync_000055,0,55,C3,dilate_r2,0,24.75407309114301,7872,17982,69414,0.3044789974472035,0.10185544600574489,0.08263005416299282,25854,146049,291983,77286,0.17702278002588173,320891,158976,161915
2013_05_28_drive_0006_sync_000055,0,55,A,raw,0,17.961395711143695,2568,4479,74718,0.36441038739889314,0.03322723391041068,0.031407081269491835,7047,21472,291983,77286,0.32819485842026824,320891,203602,117289
2013_05_28_drive_0006_sync_000055,0,55,A,dilate_r2,0,17.961395711143695,11876,20524,65410,0.3665432098765432,0.15366301788163444,0.12141907780390553,32400,104340,291983,77286,0.3105232892466935,320891,203602,117289
2013_05_28_drive_0006_sync_000055,0,55,B,raw,0,16.511685420221845,3183,4640,74103,0.4068771571008564,0.0411846906296095,0.038852134853404295,7823,19784,291983,77286,0.3954205418520016,320891,217734,103157
2013_05_28_drive_0006_sync_000055,0,55,B,dilate_r2,0,16.511685420221845,12731,21027,64555,0.37712542212216366,0.16472582356442306,0.12949457345417187,33758,96260,291983,77286,0.35069603158113444,320891,217734,103157
2013_05_28_drive_0006_sync_000055,0,55,OR,raw,1,18.88037664836924,1908,4236,75378,0.310546875,0.024687524260538777,0.023404725104879665,6144,22700,291983,77286,0.27066079295154183,320891,195499,125392
2013_05_28_drive_0006_sync_000055,0,55,OR,dilate_r2,1,18.88037664836924,10776,19549,66510,0.3553503709810387,0.13943016846518128,0.11128207776114009,30325,109958,291983,77286,0.275787118718056,320891,195499,125392
2013_05_28_drive_0006_sync_000060,0,60,C0,raw,0,27.3665,1668,2846,72500,0.3695170580416482,0.022489483335131052,0.021658399771470122,4514,25612,285357,74168,0.1762455099172263,322949,113502,209447
2013_05_28_drive_0006_sync_000060,0,60,C0,dilate_r2,0,27.3665,11489,19647,62679,0.36899409044193215,0.15490508035810593,0.1224644246655652,31136,143030,285357,74168,0.21768859679787458,322949,113502,209447
2013_05_28_drive_0006_sync_000060,0,60,C3,raw,0,25.408077152570037,1654,3218,72514,0.33949096880131363,0.02230072268363715,0.021373375029075027,4872,24073,285357,74168,0.20238441407385868,322949,119975,202974
2013_05_28_drive_0006_sync_000060,0,60,C3,dilate_r2,0,25.408077152570037,10581,21298,63587,0.3319112895636626,0.14266260381835832,0.1108352711960279,31879,130445,285357,74168,0.24438652305569397,322949,119975,202974
2013_05_28_drive_0006_sync_000060,0,60,A,raw,0,18.833738760689133,2802,5191,71366,0.35055673714500185,0.037779096106137416,0.03530790458549125,7993,18352,285357,74168,0.43553836094158677,322949,157682,165267
2013_05_28_drive_0006_sync_000060,0,60,A,dilate_r2,0,18.833738760689133,12216,24001,61952,0.33730016290692216,0.1647071513321109,0.12443846835559087,36217,91021,285357,74168,0.3978971885608816,322949,157682,165267
2013_05_28_drive_0006_sync_000060,0,60,B,raw,0,17.415892568659125,2566,5561,71602,0.3157376645748739,0.03459713083809729,0.03218402337919703,8127,17197,285357,74168,0.47258242716752924,322949,173986,148963
2013_05_28_drive_0006_sync_000060,0,60,B,dilate_r2,0,17.415892568659125,11125,24379,63043,0.3133449752140604,0.14999730341926437,0.11289029600089298,35504,84479,285357,74168,0.4202701263035784,322949,173986,148963
2013_05_28_drive_0006_sync_000060,0,60,OR,raw,1,18.88077792642876,2806,5176,71362,0.3515409671761463,0.03783302772084996,0.03536499294212543,7982,18443,285357,74168,0.4327929295667733,322949,157228,165721
2013_05_28_drive_0006_sync_000060,0,60,OR,dilate_r2,1,18.88077792642876,12284,23994,61884,0.33860742047521913,0.16562398878222415,0.12514007457060777,36278,91425,285357,74168,0.39680612523926717,322949,157228,165721
2013_05_28_drive_0006_sync_000065,0,65,C0,raw,0,27.3665,1399,3401,70967,0.2914583333333333,0.01933228311638062,0.01846450301582483,4800,24355,274140,72366,0.19708478751796346,319833,100599,219234
2013_05_28_drive_0006_sync_000065,0,65,C0,dilate_r2,0,27.3665,9485,20844,62881,0.3127369844043655,0.1310698394273554,0.10175946786825447,30329,142243,274140,72366,0.21321963119450518,319833,100599,219234
2013_05_28_drive_0006_sync_000065,0,65,C3,raw,0,25.838659819800494,1715,3529,70651,0.3270404271548436,0.023698974656606694,0.022597009025627512,5244,23076,274140,72366,0.22724908996359855,319833,104996,214837
2013_05_28_drive_0006_sync_000065,0,65,C3,dilate_r2,0,25.838659819800494,10653,21709,61713,0.3291823743897163,0.1472100157532543,0.1132394366197183,32362,132543,274140,72366,0.24416227186648862,319833,104996,214837
2013_05_28_drive_0006_sync_000065,0,65,A,raw,0,18.84000636312217,3211,6106,69155,0.34463883224213804,0.044371666252107346,0.040919053930064224,9317,17351,274140,72366,0.5369719324534609,319833,144016,175817
2013_05_28_drive_0006_sync_000065,0,65,A,dilate_r2,0,18.84000636312217,14744,25783,57622,0.36380684481950304,0.20374208882624437,0.1502205829911665,40527,88913,274140,72366,0.45580511286313585,319833,144016,175817
2013_05_28_drive_0006_sync_000065,0,65,B,raw,0,18.370774933257053,3089,6076,69277,0.3370430987452264,0.04268579167012133,0.039379414089390885,9165,17011,274140,72366,0.538769031802951,319833,148603,171230
2013_05_28_drive_0006_sync_000065,0,65,B,dilate_r2,0,18.370774933257053,14137,25861,58229,0.3534426721336067,0.19535417184865822,0.1439217323139259,39998,86082,274140,72366,0.46464998489812037,319833,148603,171230
2013_05_28_drive_0006_sync_000065,0,65,OR,raw,1,18.814731644224928,3215,6091,69151,0.3454760369653987,0.0444269408285659,0.040977860484086824,9306,17315,274140,72366,0.5374530753681779,319833,144232,175601
2013_05_28_drive_0006_sync_000065,0,65,OR,dilate_r2,1,18.814731644224928,14724,25710,57642,0.36414898352871344,0.20346571594395158,0.15012847179738162,40434,88563,274140,72366,0.4565563497171505,319833,144232,175601
2013_05_28_drive_0006_sync_000070,0,70,C0,raw,0,27.3665,1841,2961,69889,0.38338192419825073,0.025665690784887774,0.024648217322033445,4802,25847,256980,71730,0.18578558440051068,326839,108622,218217
