clip_id,block,variant,s_c0,s_c3,a_clip,n_support_px,ok
2013_05_28_drive_0006_sync_000040,0,C0C3,27.3665,24.776110464318858,-0.09943973645567894,303082,1
2013_05_28_drive_0006_sync_000045,0,C0C3,27.3665,27.071426724546516,-0.010840830393135548,296840,1
2013_05_28_drive_0006_sync_000050,0,C0C3,27.3665,25.76635279991703,-0.06025015190243721,300859,1
2013_05_28_drive_0006_sync_000055,0,C0C3,27.3665,24.75407309114301,-0.10032959282398224,320891,1
2013_05_28_drive_0006_sync_000060,0,C0C3,27.3665,25.408077152570037,-0.07425251603126526,322949,1
2013_05_28_drive_0006_sync_000065,0,C0C3,27.3665,25.838659819800494,-0.057447824627161026,319833,1
2013_05_28_drive_0006_sync_000070,0,C0C3,27.3665,25.773703967938925,-0.05996489152312279,326839,1
2013_05_28_drive_0006_sync_000075,0,C0C3,27.3665,25.856323340993338,-0.056764449924230576,325169,1
2013_05_28_drive_0006_sync_000080,0,C0C3,27.3665,25.803545455388846,-0.05880773440003395,324195,1
2013_05_28_drive_0006_sync_000085,0,C0C3,27.3665,27.18407761248852,-0.006688217632472515,321153,1
2013_05_28_drive_0006_sync_000090,0,C0C3,27.3665,26.957730263877515,-0.015049544163048267,326977,1
2013_05_28_drive_0006_sync_000095,0,C0C3,27.3665,26.402246578475825,-0.03587053343653679,333251,1
2013_05_28_drive_0006_sync_000100,0,C0C3,27.3665,25.694918258507858,-0.06302639842033386,339333,1
2013_05_28_drive_0006_sync_000105,0,C0C3,27.3665,26.17954768574997,-0.044341154396533966,339682,1
2013_05_28_drive_0006_sync_000110,0,C0C3,27.3665,24.90557318049713,-0.09422803670167923,334573,1
2013_05_28_drive_0006_sync_000115,0,C0C3,27.3665,23.289988332193087,-0.1612960547208786,339721,1
2013_05_28_drive_0006_sync_000120,0,C0C3,27.3665,23.20934022962248,-0.16476484388113022,339530,1
2013_05_28_drive_0006_sync_000125,0,C0C3,27.3665,22.420601039850663,-0.19933941215276718,335240,1
2013_05_28_drive_0006_sync_000130,0,C0C3,27.3665,20.25879201226812,-0.30073076486587524,328495,1
2013_05_28_drive_0006_sync_000135,0,C0C3,27.3665,18.80966060099145,-0.37494903802871704,324457,1
2013_05_28_drive_0006_sync_000140,1,C0C3,27.3665,17.5593021127028,-0.4437357932329178,322792,1
