clip_id,group,scale,n_points,n_raw,n_dil,n_dilation_only
2013_05_28_drive_0006_sync_000040,0,15.612675452633502,303082,19167,91062,71895
2013_05_28_drive_0006_sync_000045,0,17.18358816964286,296840,19538,91810,72272
2013_05_28_drive_0006_sync_000050,0,16.80579253802281,300859,18421,98705,80284
2013_05_28_drive_0006_sync_000055,0,16.511685420221845,320891,19784,96260,76476
2013_05_28_drive_0006_sync_000060,0,17.415892568659125,322949,17197,84479,67282
2013_05_28_drive_0006_sync_000065,0,18.370774933257053,319833,17011,86082,69071
2013_05_28_drive_0006_sync_000070,0,18.770526274875625,326854,18790,99370,80580
2013_05_28_drive_0006_sync_000075,0,19.661502111767643,325326,20136,100890,80754
2013_05_28_drive_0006_sync_000080,0,20.08503703327922,324199,14848,77203,62355
2013_05_28_drive_0006_sync_000085,0,21.26623658459597,321153,16733,97331,80598
2013_05_28_drive_0006_sync_000090,0,21.199685754189954,327108,17556,96967,79411
2013_05_28_drive_0006_sync_000095,0,19.921113418471894,333613,18170,85979,67809
2013_05_28_drive_0006_sync_000100,0,19.61798759594298,339333,14929,76209,61280
2013_05_28_drive_0006_sync_000105,0,19.459945605802048,339682,11887,58481,46594
2013_05_28_drive_0006_sync_000110,0,16.72083786367726,334573,8578,44843,36265
2013_05_28_drive_0006_sync_000115,0,15.920258430437858,339721,9231,46714,37483
2013_05_28_drive_0006_sync_000120,0,15.356773911544522,339530,8567,40272,31705
2013_05_28_drive_0006_sync_000125,0,14.843899698489631,335240,7538,32929,25391
2013_05_28_drive_0006_sync_000130,0,13.741323521562773,328495,7107,28389,21282
2013_05_28_drive_0006_sync_000135,0,12.962129913221029,324457,6709,27639,20930
2013_05_28_drive_0006_sync_000140,1,12.108552239441417,322792,6347,26616,20269
2013_05_28_drive_0006_sync_000145,1,10.709807049882881,318198,4954,21850,16896
2013_05_28_drive_0006_sync_000150,1,10.5454942147943,316031,4595,21007,16412
2013_05_28_drive_0006_sync_000155,1,10.632553504257606,315909,4186,19707,15521
2013_05_28_drive_0006_sync_000160,1,11.690142609653781,315358,4736,24132,19396
2013_05_28_drive_0006_sync_000165,1,13.316080729166666,317129,6610,34833,28223
2013_05_28_drive_0006_sync_000170,1,14.72629526499155,316729,8883,44420,35537
2013_05_28_drive_0006_sync_000175,1,15.889475879854368,311116,10786,48876,38090
2013_05_28_drive_0006_sync_000180,1,16.90705971262563,309931,13074,60603,47529
2013_05_28_drive_0006_sync_000185,1,17.324850931406683,310500,14379,68622,54243
2013_05_28_drive_0006_sync_000190,1,17.83451536643026,312216,14981,75753,60772
2013_05_28_drive_0006_sync_000195,1,18.012498897318274,314584,14921,79173,64252
2013_05_28_drive_0006_sync_000200,1,18.672617722602734,304930,13551,72810,59259
2013_05_28_drive_0006_sync_000205,1,18.914809091477657,297700,12887,68229,55342
2013_05_28_drive_0006_sync_000210,1,18.305063602240224,295414,11319,57113,45794
2013_05_28_drive_0006_sync_000215,1,19.299531202333743,291581,12420,60442,48022
2013_05_28_drive_0006_sync_000220,1,21.128332438331483,284924,11973,61874,49901
2013_05_28_drive_0006_sync_000225,1,21.938235007788162,277629,12092,59252,47160
2013_05_28_drive_0006_sync_000230,1,21.683550004117258,277869,14498,75442,60944
2013_05_28_drive_0006_sync_000235,1,22.376585307874187,279706,18107,89787,71680
2013_05_28_drive_0006_sync_000240,2,21.612506437610367,296794,20729,98910,78181
2013_05_28_drive_0006_sync_000245,2,21.245041058982963,308205,23831,122238,98407
2013_05_28_drive_0006_sync_000250,2,20.649839901074426,323358,20955,101084,80129
2013_05_28_drive_0006_sync_000255,2,20.820794295540793,308578,16813,80982,64169
2013_05_28_drive_0006_sync_000260,2,20.483007432268003,291097,13107,64722,51615
2013_05_28_drive_0006_sync_000265,2,20.07333196905496,275133,11715,59253,47538
2013_05_28_drive_0006_sync_000270,2,20.443061543698136,260175,13623,70393,56770
2013_05_28_drive_0006_sync_000275,2,20.591637312564625,250534,12184,59967,47783
2013_05_28_drive_0006_sync_000280,2,20.12594602461743,263817,17864,80611,62747
2013_05_28_drive_0006_sync_000285,2,19.907062910733845,267626,17575,70592,53017
2013_05_28_drive_0006_sync_000290,2,18.686433581900914,270384,17161,68858,51697
2013_05_28_drive_0006_sync_000295,2,19.00640468576196,263741,17669,74291,56622
2013_05_28_drive_0006_sync_000300,2,19.502971208014458,269232,16996,78688,61692
2013_05_28_drive_0006_sync_000305,2,18.453045966110263,277459,15356,68013,52657
2013_05_28_drive_0006_sync_000310,2,18.09164194797237,278831,14255,63623,49368
2013_05_28_drive_0006_sync_000315,2,18.037941395888588,288606,15899,68426,52527
2013_05_28_drive_0006_sync_000320,2,17.08893422425789,279746,14346,64034,49688
2013_05_28_drive_0006_sync_000325,2,16.67260669018481,272511,15026,60740,45714
2013_05_28_drive_0006_sync_000330,2,15.580494983325671,263096,12020,54769,42749
2013_05_28_drive_0006_sync_000335,2,15.433617842824836,265644,14942,67817,52875
2013_05_28_drive_0006_sync_000340,3,16.226028483689767,275277,15461,67269,51808
2013_05_28_drive_0006_sync_000345,3,17.049226753349092,263008,15520,66986,51466
2013_05_28_drive_0006_sync_000350,3,17.8870800332141,253866,15784,70494,54710
