clip_id,group,scale,n_points,n_raw,n_dil,n_dilation_only
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,15.72453043336237,319986,1747,5951,4204
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,19.18797059547244,334040,3198,9441,6243
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,18.364490039213788,343623,3497,10464,6967
scene-0003_CAM_FRONT_1ac0914c_e617edf7,scene-0003,17.509628099610698,306797,2004,6323,4319
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,scene-0003,18.568461736580726,316197,2186,6386,4200
scene-0003_CAM_FRONT_c1ab33c3_57a79294,scene-0003,20.581309420192817,333190,2447,6632,4185
scene-0003_CAM_FRONT_3be45164_1b5a6659,scene-0003,25.127786433365284,355583,4007,13809,9802
scene-0003_CAM_FRONT_b214d0d4_20684b77,scene-0003,23.320215065192745,528047,9842,27585,17743
scene-0012_CAM_FRONT_88a090c5_20a871df,scene-0012,22.775196344080104,577349,9352,26941,17589
scene-0012_CAM_FRONT_c51b9abd_745713b3,scene-0012,25.123433278782212,547998,13809,39862,26053
scene-0012_CAM_FRONT_d34f2eec_5254163f,scene-0012,22.61898884500427,511705,10158,28234,18076
scene-0012_CAM_FRONT_62697033_a2d86049,scene-0012,26.34782436230657,460051,9380,27337,17957
scene-0012_CAM_FRONT_114d8a1f_b76ef036,scene-0012,28.6211290806953,497407,10453,30290,19837
scene-0012_CAM_FRONT_5e8e7172_56a8812e,scene-0012,26.416319118107765,363909,7182,22167,14985
scene-0012_CAM_FRONT_2e8bed7f_45a4f3c2,scene-0012,24.44400969046291,495972,7770,21114,13344
scene-0012_CAM_FRONT_ba3778e1_feedde26,scene-0012,23.333000501336905,392120,6251,19071,12820
scene-0013_CAM_FRONT_b9c60cfa_31815eed,scene-0013,22.9956828515987,380479,6800,20069,13269
scene-0013_CAM_FRONT_b2329c1f_e30a3a96,scene-0013,24.467605001178143,356120,6266,19579,13313
scene-0013_CAM_FRONT_61361625_a32eb5c0,scene-0013,21.561069051946525,398472,5349,16242,10893
scene-0013_CAM_FRONT_4635c393_6b506fcb,scene-0013,20.74913443006608,413702,6131,17006,10875
scene-0013_CAM_FRONT_da5566fe_9a7dc9c8,scene-0013,23.051480227953764,451095,8305,25849,17544
scene-0013_CAM_FRONT_7184209f_867689f9,scene-0013,23.881480424859546,397691,6315,19095,12780
scene-0013_CAM_FRONT_2c1f8867_d82980cf,scene-0013,27.630284802667024,391617,10491,33573,23082
scene-0013_CAM_FRONT_1f0a495a_51f7ea7d,scene-0013,23.907339205115342,372194,6366,21366,15000
scene-0014_CAM_FRONT_43cfc03b_3fa89fab,scene-0014,10.113733219195016,330362,687,2340,1653
scene-0014_CAM_FRONT_96237b21_2da9ed79,scene-0014,11.618914789408306,302895,1375,3743,2368
scene-0014_CAM_FRONT_d703cae6_6a53a53e,scene-0014,17.296853631017502,329260,2991,8805,5814
scene-0014_CAM_FRONT_65e61ba2_907c55da,scene-0014,22.249719511693023,388374,5477,17495,12018
scene-0014_CAM_FRONT_23e22334_ce60545b,scene-0014,26.350239836626137,414398,7532,26556,19024
scene-0014_CAM_FRONT_e8953eb6_303119a4,scene-0014,25.34103125,614341,13522,44246,30724
scene-0014_CAM_FRONT_2c0c09db_1c6d9929,scene-0014,23.882669468118685,631236,10961,30407,19446
scene-0014_CAM_FRONT_5a42a9de_d0501e05,scene-0014,22.11249119442705,518592,10619,30294,19675
scene-0015_CAM_FRONT_234b0f37_f405bf53,scene-0015,25.600273644545055,444917,9205,25602,16397
scene-0015_CAM_FRONT_061805d6_dca60e24,scene-0015,28.181416548006496,522094,14155,38891,24736
scene-0015_CAM_FRONT_e18b1aef_c99f5e4f,scene-0015,24.584455298493037,512548,13090,38254,25164
scene-0015_CAM_FRONT_54f30ff0_07ccc904,scene-0015,19.00378233879355,507146,8894,27238,18344
scene-0015_CAM_FRONT_985f2f38_2c63d07c,scene-0015,19.5052371493824,522130,9440,27470,18030
scene-0015_CAM_FRONT_d6b547f2_c9b7e76f,scene-0015,19.822327742737,483695,9630,29576,19946
scene-0015_CAM_FRONT_9a59cb6d_948b555d,scene-0015,19.239115831813443,514337,6125,18659,12534
scene-0015_CAM_FRONT_42605be9_8a96bc21,scene-0015,17.549524533371038,410529,4793,14416,9623
scene-0016_CAM_FRONT_fbd3aa20_581b3ac0,scene-0016,23.136577718303947,495542,7748,20514,12766
scene-0016_CAM_FRONT_9234bbf8_30b94629,scene-0016,18.520569132719253,580510,9210,27131,17921
scene-0016_CAM_FRONT_7ac3bb7f_1fe2834e,scene-0016,21.60743273776418,547868,9263,26480,17217
scene-0016_CAM_FRONT_4d53a5c4_48de6a86,scene-0016,28.22326807228915,477682,9439,27419,17980
scene-0016_CAM_FRONT_381fe530_49ae81f8,scene-0016,27.70832181646722,549572,12742,37235,24493
scene-0016_CAM_FRONT_52c853ea_856952a1,scene-0016,25.291250288817004,575974,12747,36854,24107
scene-0016_CAM_FRONT_921505c4_a78c3609,scene-0016,20.847841561558727,554446,10270,31537,21267
scene-0016_CAM_FRONT_ebbbaf52_9cdae13a,scene-0016,21.328071061954937,557483,9342,28319,18977
scene-0017_CAM_FRONT_134c7f63_4b4c3bc5,scene-0017,30.543568384180016,587946,12296,38344,26048
scene-0017_CAM_FRONT_0966ed2d_3adeaa8b,scene-0017,22.141451842235412,586275,8665,25967,17302
scene-0017_CAM_FRONT_6413a3e2_ef661945,scene-0017,26.345187014248697,460341,9436,26076,16640
scene-0017_CAM_FRONT_f274b48b_b4bff2b0,scene-0017,23.29269214527027,508075,10250,28778,18528
scene-0017_CAM_FRONT_3425c661_2a271f85,scene-0017,19.767960528938133,468357,8335,24299,15964
scene-0017_CAM_FRONT_9a476217_ce130b56,scene-0017,17.838536360163012,391628,5589,17563,11974
scene-0017_CAM_FRONT_789b705c_65afa213,scene-0017,15.220178166517629,386302,3767,11821,8054
scene-0017_CAM_FRONT_fe04ede8_d995c004,scene-0017,12.754567231234098,361464,2453,7632,5179
scene-0018_CAM_FRONT_f0e47975_248f5231,scene-0018,14.808185024289985,481854,4854,16766,11912
scene-0018_CAM_FRONT_06cc9133_1cc4743f,scene-0018,15.356703593859036,399195,3563,12562,8999
scene-0018_CAM_FRONT_72f030bd_b66b4277,scene-0018,16.65898149215867,448062,4795,14585,9790
scene-0018_CAM_FRONT_6611e3ee_81f15cce,scene-0018,15.833161131253323,548137,5817,16324,10507
scene-0018_CAM_FRONT_dbffcc96_b1736070,scene-0018,16.31338148316652,520034,5680,16691,11011
scene-0018_CAM_FRONT_3c23cd7c_bb99cbc0,scene-0018,13.669857476569556,648489,5074,15068,9994
