clip_id,group,scale,n_points,n_raw,n_dil,n_dilation_only
08_000000_000020_s5,08,27.310438992376294,313346,44640,290865,246225
08_000025_000045_s5,08,20.430790122038403,272024,24742,125616,100874
08_000050_000070_s5,08,23.11218525179856,268474,26000,177971,151971
08_000075_000095_s5,08,30.616593595488254,273500,34741,225061,190320
08_000100_000120_s5,08,34.78308244010089,295997,40687,279088,238401
08_000125_000145_s5,08,32.34173233695651,336874,48153,298795,250642
08_000150_000170_s5,08,30.599478420487102,315562,39186,312208,273022
08_000175_000195_s5,08,34.533301999266335,331794,43348,309156,265808
08_000200_000220_s5,08,32.957928856382985,308072,35927,254546,218619
08_000225_000245_s5,08,32.601192650496785,302801,39227,240996,201769
08_000250_000270_s5,08,26.24367156124498,304974,32936,191346,158410
08_000275_000295_s5,08,31.679200504828803,309471,37487,272939,235452
08_000300_000320_s5,08,34.01225809552291,313801,39286,297943,258657
08_000325_000345_s5,08,32.748576895352784,322273,43891,288457,244566
08_000350_000370_s5,08,31.336696068548402,305075,32346,251332,218986
08_000375_000395_s5,08,30.531010005619382,275830,31927,187733,155806
08_000400_000420_s5,08,28.857585447864665,261609,33541,198172,164631
08_000425_000445_s5,08,27.818004348358652,285200,28685,179472,150787
08_000450_000470_s5,08,28.924703512105854,300193,35633,263020,227387
08_000475_000495_s5,08,25.631060243435446,330417,38668,214664,175996
08_000500_000520_s5,08,22.281975302851635,327668,29268,150805,121537
08_000525_000545_s5,08,22.728505721830988,341424,27826,149996,122170
08_000550_000570_s5,08,23.809552389223914,344407,33061,164832,131771
08_000575_000595_s5,08,21.50504018660072,339824,25112,135453,110341
08_000600_000620_s5,08,24.37002383364506,331788,28503,164368,135865
08_000625_000645_s5,08,23.750335200722176,341904,29775,159520,129745
08_000650_000670_s5,08,22.704262462172156,341816,23621,139166,115545
08_000675_000695_s5,08,24.858381153207958,360177,41452,222151,180699
08_000700_000720_s5,08,21.538489060539515,321444,29029,166250,137221
08_000725_000745_s5,08,26.89738292528874,336610,38991,200842,161851
08_000750_000770_s5,08,27.465019985465123,351639,41133,233038,191905
08_000775_000795_s5,08,23.164181495313414,348911,35108,179515,144407
08_000800_000820_s5,08,21.626004509914146,323094,21097,119273,98176
08_000825_000845_s5,08,25.614180883090814,351899,34476,167598,133122
08_000850_000870_s5,08,22.01177651340111,347984,24489,132351,107862
08_000875_000895_s5,08,21.718402701364436,329777,26630,145083,118453
08_000900_000920_s5,08,25.071467282550696,339462,33109,170828,137719
08_000925_000945_s5,08,25.4234813389866,337490,30837,168692,137855
08_000950_000970_s5,08,25.026675988162125,328107,28567,179491,150924
08_000975_000995_s5,08,27.32982823021886,312331,40337,217091,176754
08_001000_001020_s5,08,25.570636967367857,295406,35878,243488,207610
08_001025_001045_s5,08,28.07845000000001,332738,47819,281948,234129
08_001050_001070_s5,08,26.359639557567725,328709,37777,216439,178662
08_001075_001095_s5,08,24.688657688878074,328100,32778,173272,140494
08_001100_001120_s5,08,25.671538194444448,324922,31990,194121,162131
08_001125_001145_s5,08,26.361572000542882,328232,34322,221048,186726
08_001150_001170_s5,08,27.718296834867292,345668,43761,221715,177954
08_001175_001195_s5,08,23.849876693532433,333813,27338,136659,109321
