clip_id,group,unit,B-R_btp,B-R_bfp,B-R_bfn,B-R_oracle_r0_btp,B-R_oracle_r0_bfp,B-R_oracle_r0_bfn,B-R_oracle_r0.4_btp,B-R_oracle_r0.4_bfp,B-R_oracle_r0.4_bfn,B-R_oracle_r0.8_btp,B-R_oracle_r0.8_bfp,B-R_oracle_r0.8_bfn,B-R_oracle_r1.2_btp,B-R_oracle_r1.2_bfp,B-R_oracle_r1.2_bfn,B-R_oracle_r2_btp,B-R_oracle_r2_bfp,B-R_oracle_r2_bfn,B-R_oracle_r4_btp,B-R_oracle_r4_bfp,B-R_oracle_r4_bfn,B-R_morph_r0_btp,B-R_morph_r0_bfp,B-R_morph_r0_bfn,B-R_morph_r0.4_btp,B-R_morph_r0.4_bfp,B-R_morph_r0.4_bfn,B-R_morph_r0.8_btp,B-R_morph_r0.8_bfp,B-R_morph_r0.8_bfn,B-R_morph_r1.2_btp,B-R_morph_r1.2_bfp,B-R_morph_r1.2_bfn,B-R_morph_r2_btp,B-R_morph_r2_bfp,B-R_morph_r2_bfn,B-R_morph_r4_btp,B-R_morph_r4_bfp,B-R_morph_r4_bfn,B-D_btp,B-D_bfp,B-D_bfn,B-D_oracle_r0_btp,B-D_oracle_r0_bfp,B-D_oracle_r0_bfn,B-D_oracle_r0.4_btp,B-D_oracle_r0.4_bfp,B-D_oracle_r0.4_bfn,B-D_oracle_r0.8_btp,B-D_oracle_r0.8_bfp,B-D_oracle_r0.8_bfn,B-D_oracle_r1.2_btp,B-D_oracle_r1.2_bfp,B-D_oracle_r1.2_bfn,B-D_oracle_r2_btp,B-D_oracle_r2_bfp,B-D_oracle_r2_bfn,B-D_oracle_r4_btp,B-D_oracle_r4_bfp,B-D_oracle_r4_bfn,B-D_morph_r0_btp,B-D_morph_r0_bfp,B-D_morph_r0_bfn,B-D_morph_r0.4_btp,B-D_morph_r0.4_bfp,B-D_morph_r0.4_bfn,B-D_morph_r0.8_btp,B-D_morph_r0.8_bfp,B-D_morph_r0.8_bfn,B-D_morph_r1.2_btp,B-D_morph_r1.2_bfp,B-D_morph_r1.2_bfn,B-D_morph_r2_btp,B-D_morph_r2_bfp,B-D_morph_r2_bfn,B-D_morph_r4_btp,B-D_morph_r4_bfp,B-D_morph_r4_bfn
2013_05_28_drive_0006_sync_000040,0,block000,3425,4884,54016,3425,4884,54016,9979,4884,47462,15580,4884,41861,20609,4884,36832,27670,4884,29771,36425,4884,21016,3425,4884,54016,9979,15167,47462,15580,27001,41861,20609,40342,36832,27670,60238,29771,36425,86641,21016,13128,21546,44313,13128,21546,44313,17875,21546,39566,22391,21546,35050,26308,21546,31133,30523,21546,26918,38148,21546,19293,13128,21546,44313,17875,32583,39566,22391,44660,35050,26308,55284,31133,30523,70688,26918,38148,91237,19293
2013_05_28_drive_0006_sync_000045,0,block000,2286,4433,61861,2286,4433,61861,7838,4433,56309,13495,4433,50652,18607,4433,45540,25028,4433,39119,34455,4433,29692,2286,4433,61861,7838,12751,56309,13495,21115,50652,18607,32493,45540,25028,53976,39119,34455,79545,29692,11083,17225,53064,11083,17225,53064,15909,17225,48238,20158,17225,43989,23526,17225,40621,28056,17225,36091,36791,17225,27356,11083,17225,53064,15909,25288,48238,20158,36708,43989,23526,48465,40621,28056,63527,36091,36791,85201,27356
2013_05_28_drive_0006_sync_000050,0,block000,2702,3942,75250,2702,3942,75250,9626,3942,68326,16165,3942,61787,21702,3942,56250,29208,3942,48744,38756,3942,39196,2702,3942,75250,9626,12755,68326,16165,23651,61787,21702,37407,56250,29208,58013,48744,38756,84110,39196,13435,17828,64517,13435,17828,64517,18754,17828,59198,23509,17828,54443,27455,17828,50497,33310,17828,44642,40225,17828,37727,13435,17828,64517,18754,29134,59198,23509,41785,54443,27455,53311,50497,33310,67601,44642,40225,89144,37727
2013_05_28_drive_0006_sync_000055,0,block000,3183,4640,74103,3183,4640,74103,9456,4640,67830,15367,4640,61919,20138,4640,57148,26299,4640,50987,34016,4640,43270,3183,4640,74103,9456,15064,67830,15367,26879,61919,20138,40273,57148,26299,60500,50987,34016,90436,43270,12731,21027,64555,12731,21027,64555,17723,21027,59563,21645,21027,55641,24931,21027,52355,29194,21027,48092,35497,21027,41789,12731,21027,64555,17723,32590,59563,21645,44469,55641,24931,55230,52355,29194,71514,48092,35497,97415,41789
2013_05_28_drive_0006_sync_000060,0,block000,2566,5561,71602,2566,5561,71602,8169,5561,65999,14366,5561,59802,19408,5561,54760,25866,5561,48302,34798,5561,39370,2566,5561,71602,8169,17942,65999,14366,30247,59802,19408,43524,54760,25866,65879,48302,34798,101001,39370,11125,24379,63043,11125,24379,63043,16613,24379,57555,20856,24379,53312,24118,24379,50050,29161,24379,45007,36702,24379,37466,11125,24379,63043,16613,35749,57555,20856,47975,53312,24118,59998,50050,29161,79119,45007,36702,108561,37466
2013_05_28_drive_0006_sync_000065,0,block000,3089,6076,69277,3089,6076,69277,10608,6076,61758,17521,6076,54845,22516,6076,49850,29563,6076,42803,39986,6076,32380,3089,6076,69277,10608,18733,61758,17521,33024,54845,22516,49286,49850,29563,77200,42803,39986,120300,32380,14137,25861,58229,14137,25861,58229,19658,25861,52708,24173,25861,48193,27992,25861,44374,32849,25861,39517,42345,25861,30021,14137,25861,58229,19658,39736,52708,24173,54964,48193,27992,69757,44374,32849,93545,39517,42345,129042,30021
2013_05_28_drive_0006_sync_000070,0,block000,3322,5434,68408,3322,5434,68408,10361,5434,61369,17529,5434,54201,22602,5434,49128,30668,5434,41062,44936,5434,26794,3322,5434,68408,10361,17774,61369,17529,30658,54201,22602,43889,49128,30668,65553,41062,44936,110440,26794,13624,24445,58106,13624,24445,58106,19728,24445,52002,24278,24445,47452,28622,24445,43108,35599,24445,36131,47397,24445,24333,13624,24445,58106,19728,36484,52002,24278,48252,47452,28622,59607,43108,35599,80236,36131,47397,120737,24333
2013_05_28_drive_0006_sync_000075,0,block000,2087,5514,70220,2087,5514,70220,7850,5514,64457,15155,5514,57152,19823,5514,52484,25741,5514,46566,40823,5514,31484,2087,5514,70220,7850,17008,64457,15155,28709,57152,19823,40567,52484,25741,60106,46566,40823,98304,31484,10971,23149,61336,10971,23149,61336,17192,23149,55115,20991,23149,51316,24045,23149,48262,30920,23149,41387,42790,23149,29517,10971,23149,61336,17192,33778,55115,20991,44492,51316,24045,54775,48262,30920,72362,41387,42790,106614,29517
2013_05_28_drive_0006_sync_000080,0,block000,2336,4402,66444,2336,4402,66444,6875,4402,61905,10503,4402,58277,13264,4402,55516,19129,4402,49651,33223,4402,35557,2336,4402,66444,6875,13801,61905,10503,24811,58277,13264,36890,55516,19129,55592,49651,33223,87710,35557,8426,18981,60354,8426,18981,60354,11719,18981,57061,14258,18981,54522,17247,18981,51533,23402,18981,45378,35940,18981,32840,8426,18981,60354,11719,29655,57061,14258,40658,54522,17247,50474,51533,23402,66440,45378,35940,92735,32840
2013_05_28_drive_0006_sync_000085,0,block000,1897,3684,66116,1897,3684,66116,6637,3684,61376,11058,3684,56955,15282,3684,52731,21991,3684,46022,34197,3684,33816,1897,3684,66116,6637,13160,61376,11058,24030,56955,15282,35178,52731,21991,52996,46022,34197,83965,33816,9102,18802,58911,9102,18802,58911,12975,18802,55038,16715,18802,51298,20279,18802,47734,26298,18802,41715,35962,18802,32051,9102,18802,58911,12975,28698,55038,16715,39009,51298,20279,48391,47734,26298,63586,41715,35962,88601,32051
