clip_id,group,unit,B-R_btp,B-R_bfp,B-R_bfn,B-R_oracle_r0_btp,B-R_oracle_r0_bfp,B-R_oracle_r0_bfn,B-R_oracle_r0.4_btp,B-R_oracle_r0.4_bfp,B-R_oracle_r0.4_bfn,B-R_oracle_r0.8_btp,B-R_oracle_r0.8_bfp,B-R_oracle_r0.8_bfn,B-R_oracle_r1.2_btp,B-R_oracle_r1.2_bfp,B-R_oracle_r1.2_bfn,B-R_oracle_r2_btp,B-R_oracle_r2_bfp,B-R_oracle_r2_bfn,B-R_oracle_r4_btp,B-R_oracle_r4_bfp,B-R_oracle_r4_bfn,B-R_morph_r0_btp,B-R_morph_r0_bfp,B-R_morph_r0_bfn,B-R_morph_r0.4_btp,B-R_morph_r0.4_bfp,B-R_morph_r0.4_bfn,B-R_morph_r0.8_btp,B-R_morph_r0.8_bfp,B-R_morph_r0.8_bfn,B-R_morph_r1.2_btp,B-R_morph_r1.2_bfp,B-R_morph_r1.2_bfn,B-R_morph_r2_btp,B-R_morph_r2_bfp,B-R_morph_r2_bfn,B-R_morph_r4_btp,B-R_morph_r4_bfp,B-R_morph_r4_bfn,B-D_btp,B-D_bfp,B-D_bfn,B-D_oracle_r0_btp,B-D_oracle_r0_bfp,B-D_oracle_r0_bfn,B-D_oracle_r0.4_btp,B-D_oracle_r0.4_bfp,B-D_oracle_r0.4_bfn,B-D_oracle_r0.8_btp,B-D_oracle_r0.8_bfp,B-D_oracle_r0.8_bfn,B-D_oracle_r1.2_btp,B-D_oracle_r1.2_bfp,B-D_oracle_r1.2_bfn,B-D_oracle_r2_btp,B-D_oracle_r2_bfp,B-D_oracle_r2_bfn,B-D_oracle_r4_btp,B-D_oracle_r4_bfp,B-D_oracle_r4_bfn,B-D_morph_r0_btp,B-D_morph_r0_bfp,B-D_morph_r0_bfn,B-D_morph_r0.4_btp,B-D_morph_r0.4_bfp,B-D_morph_r0.4_bfn,B-D_morph_r0.8_btp,B-D_morph_r0.8_bfp,B-D_morph_r0.8_bfn,B-D_morph_r1.2_btp,B-D_morph_r1.2_bfp,B-D_morph_r1.2_bfn,B-D_morph_r2_btp,B-D_morph_r2_bfp,B-D_morph_r2_bfn,B-D_morph_r4_btp,B-D_morph_r4_bfp,B-D_morph_r4_bfn
scene-0003_CAM_FRONT_1ac0914c_e617edf7,scene-0003,scene-0003,226,144,13407,226,144,13407,861,144,12772,1709,144,11924,2263,144,11370,2974,144,10659,4732,144,8901,226,144,13407,861,450,12772,1709,1073,11924,2263,2513,11370,2974,7165,10659,4732,22673,8901,1222,799,12411,1222,799,12411,2039,799,11594,2426,799,11207,2815,799,10818,3468,799,10165,5206,799,8427,1222,799,12411,2039,1708,11594,2426,3197,11207,2815,5625,10818,3468,11648,10165,5206,26228,8427
scene-0003_CAM_FRONT_3be45164_1b5a6659,scene-0003,scene-0003,417,292,12883,417,292,12883,1028,292,12272,2170,292,11130,3071,292,10229,4208,292,9092,6229,292,7071,417,292,12883,1028,809,12272,2170,1825,11130,3071,3776,10229,4208,9133,9092,6229,24831,7071,1595,1505,11705,1595,1505,11705,2724,1505,10576,3367,1505,9933,3982,1505,9318,4877,1505,8423,6801,1505,6499,1595,1505,11705,2724,2886,10576,3367,4682,9933,3982,7504,9318,4877,13966,8423,6801,27821,6499
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,scene-0003,scene-0003,169,154,12064,169,154,12064,692,154,11541,1571,154,10662,2034,154,10199,2565,154,9668,3807,154,8426,169,154,12064,692,504,11541,1571,1232,10662,2034,2810,10199,2565,6626,9668,3807,17868,8426,1011,997,11222,1011,997,11222,1840,997,10393,2135,997,10098,2435,997,9798,2944,997,9289,4155,997,8078,1011,997,11222,1840,2006,10393,2135,3458,10098,2435,5433,9798,2944,9905,9289,4155,20685,8078
scene-0003_CAM_FRONT_b214d0d4_20684b77,scene-0003,scene-0003,544,117,10459,544,117,10459,2112,117,8891,3448,117,7555,4252,117,6751,5154,117,5849,6253,117,4750,544,117,10459,2112,411,8891,3448,1031,7555,4252,2165,6751,5154,6116,5849,6253,15020,4750,2655,871,8348,2655,871,8348,3898,871,7105,4459,871,6544,4966,871,6037,5661,871,5342,6460,871,4543,2655,871,8348,3898,1612,7105,4459,2675,6544,4966,4766,6037,5661,9094,5342,6460,16454,4543
scene-0003_CAM_FRONT_c1ab33c3_57a79294,scene-0003,scene-0003,181,118,11154,181,118,11154,795,118,10540,1759,118,9576,2195,118,9140,2759,118,8576,3898,118,7437,181,118,11154,795,409,10540,1759,1022,9576,2195,2409,9140,2759,6853,8576,3898,19010,7437,1154,818,10181,1154,818,10181,2022,818,9313,2333,818,9002,2643,818,8692,3157,818,8178,4191,818,7144,1154,818,10181,2022,1714,9313,2333,3057,9002,2643,5396,8692,3157,10482,8178,4191,21961,7144
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,scene-0003,306,446,13199,306,446,13199,1510,446,11995,2446,446,11059,3093,446,10412,3886,446,9619,5326,446,8179,306,446,13199,1510,1122,11995,2446,2383,11059,3093,4864,10412,3886,11333,9619,5326,27966,8179,2057,1918,11448,2057,1918,11448,2836,1918,10669,3291,1918,10214,3730,1918,9775,4355,1918,9150,5773,1918,7732,2057,1918,11448,2836,3566,10669,3291,5876,10214,3730,9349,9775,4355,16802,9150,5773,31320,7732
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,scene-0003,323,481,11605,323,481,11605,1145,481,10783,2115,481,9813,2774,481,9154,3464,481,8464,5265,481,6663,323,481,11605,1145,1280,10783,2115,2578,9813,2774,4825,9154,3464,10524,8464,5265,27087,6663,1595,2120,10333,1595,2120,10333,2493,2120,9435,2920,2120,9008,3305,2120,8623,4019,2120,7909,5855,2120,6073,1595,2120,10333,2493,3693,9435,2920,5756,9008,3305,8876,8623,4019,15445,7909,5855,31258,6073
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,scene-0003,255,168,11741,255,168,11741,881,168,11115,1473,168,10523,1950,168,10046,2643,168,9353,4043,168,7953,255,168,11741,881,581,11115,1473,1382,10523,1950,2980,10046,2643,7254,9353,4043,20971,7953,1211,1069,10785,1211,1069,10785,1753,1069,10243,2085,1069,9911,2489,1069,9507,3107,1069,8889,4452,1069,7544,1211,1069,10785,1753,2147,10243,2085,3663,9911,2489,6026,9507,3107,11182,8889,4452,24870,7544
scene-0012_CAM_FRONT_114d8a1f_b76ef036,scene-0012,scene-0012,2042,525,10764,2042,525,10764,3368,525,9438,4551,525,8255,5670,525,7136,7270,525,5536,9840,525,2966,2042,525,10764,3368,1647,9438,4551,3799,8255,5670,7194,7136,7270,14669,5536,9840,28601,2966,4132,2805,8674,4132,2805,8674,5163,2805,7643,5982,2805,6824,6820,2805,5986,8287,2805,4519,10292,2805,2514,4132,2805,8674,5163,5361,7643,5982,8491,6824,6820,12425,5986,8287,20071,4519,10292,31013,2514
scene-0012_CAM_FRONT_2e8bed7f_45a4f3c2,scene-0012,scene-0012,2054,649,8977,2054,649,8977,3621,649,7410,4079,649,6952,4542,649,6489,5422,649,5609,6691,649,4340,2054,649,8977,3621,1457,7410,4079,2939,6952,4542,5885,6489,5422,11862,5609,6691,17770,4340,3943,2190,7088,3943,2190,7088,4331,2190,6700,4732,2190,6299,5207,2190,5824,5914,2190,5117,6892,2190,4139,3943,2190,7088,4331,3842,6700,4732,6601,6299,5207,9765,5824,5914,14853,5117,6892,18028,4139
