clip_id,group,unit,B-R_btp,B-R_bfp,B-R_bfn,B-R_oracle_r0_btp,B-R_oracle_r0_bfp,B-R_oracle_r0_bfn,B-R_oracle_r0.4_btp,B-R_oracle_r0.4_bfp,B-R_oracle_r0.4_bfn,B-R_oracle_r0.8_btp,B-R_oracle_r0.8_bfp,B-R_oracle_r0.8_bfn,B-R_oracle_r1.2_btp,B-R_oracle_r1.2_bfp,B-R_oracle_r1.2_bfn,B-R_oracle_r2_btp,B-R_oracle_r2_bfp,B-R_oracle_r2_bfn,B-R_oracle_r4_btp,B-R_oracle_r4_bfp,B-R_oracle_r4_bfn,B-R_morph_r0_btp,B-R_morph_r0_bfp,B-R_morph_r0_bfn,B-R_morph_r0.4_btp,B-R_morph_r0.4_bfp,B-R_morph_r0.4_bfn,B-R_morph_r0.8_btp,B-R_morph_r0.8_bfp,B-R_morph_r0.8_bfn,B-R_morph_r1.2_btp,B-R_morph_r1.2_bfp,B-R_morph_r1.2_bfn,B-R_morph_r2_btp,B-R_morph_r2_bfp,B-R_morph_r2_bfn,B-R_morph_r4_btp,B-R_morph_r4_bfp,B-R_morph_r4_bfn,B-D_btp,B-D_bfp,B-D_bfn,B-D_oracle_r0_btp,B-D_oracle_r0_bfp,B-D_oracle_r0_bfn,B-D_oracle_r0.4_btp,B-D_oracle_r0.4_bfp,B-D_oracle_r0.4_bfn,B-D_oracle_r0.8_btp,B-D_oracle_r0.8_bfp,B-D_oracle_r0.8_bfn,B-D_oracle_r1.2_btp,B-D_oracle_r1.2_bfp,B-D_oracle_r1.2_bfn,B-D_oracle_r2_btp,B-D_oracle_r2_bfp,B-D_oracle_r2_bfn,B-D_oracle_r4_btp,B-D_oracle_r4_bfp,B-D_oracle_r4_bfn,B-D_morph_r0_btp,B-D_morph_r0_bfp,B-D_morph_r0_bfn,B-D_morph_r0.4_btp,B-D_morph_r0.4_bfp,B-D_morph_r0.4_bfn,B-D_morph_r0.8_btp,B-D_morph_r0.8_bfp,B-D_morph_r0.8_bfn,B-D_morph_r1.2_btp,B-D_morph_r1.2_bfp,B-D_morph_r1.2_bfn,B-D_morph_r2_btp,B-D_morph_r2_bfp,B-D_morph_r2_bfn,B-D_morph_r4_btp,B-D_morph_r4_bfp,B-D_morph_r4_bfn
08_000000_000020_s5,08,block000,12281,27984,95436,12281,27984,95436,42797,27984,64920,58775,27984,48942,67574,27984,40143,76603,27984,31114,90612,27984,17105,12281,27984,95436,42797,126632,64920,58775,247196,48942,67574,373306,40143,76603,599532,31114,90612,1017797,17105,52392,184420,55325,52392,184420,55325,62910,184420,44807,69818,184420,37899,74590,184420,33127,81173,184420,26544,93946,184420,13771,52392,184420,55325,62910,296796,44807,69818,415565,37899,74590,534534,33127,81173,738052,26544,93946,1104036,13771
08_000025_000045_s5,08,block000,4470,18670,67046,4470,18670,67046,14413,18670,57103,19597,18670,51919,24077,18670,47439,30131,18670,41385,42374,18670,29142,4470,18670,67046,14413,71989,57103,19597,137505,51919,24077,210615,47439,30131,352100,41385,42374,676329,29142,17557,99660,53959,17557,99660,53959,21548,99660,49968,25560,99660,45956,28690,99660,42826,32871,99660,38645,44414,99660,27102,17557,99660,53959,21548,164606,49968,25560,235285,45956,28690,309864,42826,32871,448786,38645,44414,762336,27102
08_000050_000070_s5,08,block000,3029,22462,125514,3029,22462,125514,30954,22462,97589,43572,22462,84971,50126,22462,78417,59598,22462,68945,76188,22462,52355,3029,22462,125514,30954,88510,97589,43572,168531,84971,50126,253405,78417,59598,407807,68945,76188,784075,52355,39923,122565,88620,39923,122565,88620,46625,122565,81918,52235,122565,76308,57231,122565,71312,64657,122565,63886,79951,122565,48592,39923,122565,88620,46625,200038,81918,52235,280559,76308,57231,360286,71312,64657,513282,63886,79951,885504,48592
08_000075_000095_s5,08,block000,10962,22741,85851,10962,22741,85851,36846,22741,59967,49340,22741,47473,56860,22741,39953,66591,22741,30222,77893,22741,18920,10962,22741,85851,36846,108107,59967,49340,210438,47473,56860,316925,39953,66591,506907,30222,77893,879430,18920,44984,155685,51829,44984,155685,51829,52914,155685,43899,58977,155685,37836,63994,155685,32819,70818,155685,25995,79758,155685,17055,44984,155685,51829,52914,252381,43899,58977,352516,37836,63994,451386,32819,70818,623039,25995,79758,962779,17055
08_000100_000120_s5,08,block000,15541,19392,125249,15541,19392,125249,47386,19392,93404,63846,19392,76944,73745,19392,67045,84447,19392,56343,105496,19392,35294,15541,19392,125249,47386,104181,93404,63846,222071,76944,73745,356935,67045,84447,599374,56343,105496,1025798,35294,57968,160158,82822,57968,160158,82822,68703,160158,72087,76360,160158,64430,82011,160158,58779,90007,160158,50783,110133,160158,30657,57968,160158,82822,68703,277216,72087,76360,405192,64430,82011,532535,58779,90007,744416,50783,110133,1108651,30657
08_000125_000145_s5,08,block000,15951,25295,171555,15951,25295,171555,50270,25295,137236,66682,25295,120824,77716,25295,109790,93103,25295,94403,119008,25295,68498,15951,25295,171555,50270,119140,137236,66682,235509,120824,77716,355785,109790,93103,547493,94403,119008,855832,68498,60390,177383,127116,60390,177383,127116,71783,177383,115723,81109,177383,106397,88906,177383,98600,102577,177383,84929,124581,177383,62925,60390,177383,127116,71783,285970,115723,81109,396091,106397,88906,496856,98600,102577,650529,84929,124581,930156,62925
08_000150_000170_s5,08,block000,5530,14713,169026,5530,14713,169026,46218,14713,128338,84922,14713,89634,106707,14713,67849,134641,14713,39915,163159,14713,11397,5530,14713,169026,46218,68688,128338,84922,163508,89634,106707,289887,67849,134641,538424,39915,163159,1017778,11397,68874,108680,105682,68874,108680,105682,95056,108680,79500,112992,108680,61564,127081,108680,47475,148234,108680,26322,165749,108680,8807,68874,108680,105682,95056,212794,79500,112992,336243,61564,127081,464029,47475,148234,696335,26322,165749,1112731,8807
08_000175_000195_s5,08,block000,13684,19198,131325,13684,19198,131325,57501,19198,87508,85335,19198,59674,96678,19198,48331,107621,19198,37388,125389,19198,19620,13684,19198,131325,57501,93302,87508,85335,203466,59674,96678,331925,48331,107621,558305,37388,125389,978499,19620,75291,140761,69718,75291,140761,69718,91425,140761,53584,99305,140761,45704,104867,140761,40142,113789,140761,31220,128635,140761,16374,75291,140761,69718,91425,254306,53584,99305,373636,45704,104867,490588,40142,113789,692900,31220,128635,1069236,16374
08_000200_000220_s5,08,block000,14767,16199,135578,14767,16199,135578,47044,16199,103301,62566,16199,87779,72075,16199,78270,83535,16199,66810,107725,16199,42620,14767,16199,135578,47044,82132,103301,62566,176210,87779,72075,277876,78270,83535,457640,66810,107725,783768,42620,56434,126779,93911,56434,126779,93911,66929,126779,83416,74577,126779,75768,80492,126779,69853,91191,126779,59154,112859,126779,37486,56434,126779,93911,66929,217390,83416,74577,312567,75768,80492,405674,69853,91191,559672,59154,112859,865295,37486
08_000225_000245_s5,08,block000,16885,15445,138670,16885,15445,138670,46710,15445,108845,61280,15445,94275,72337,15445,83218,89034,15445,66521,116417,15445,39138,16885,15445,138670,46710,77405,108845,61280,172784,94275,72337,283818,83218,89034,490666,66521,116417,897573,39138,55304,119536,100251,55304,119536,100251,66271,119536,89284,75749,119536,79806,84618,119536,70937,98412,119536,57143,121115,119536,34440,55304,119536,100251,66271,215989,89284,75749,321876,79806,84618,430120,70937,98412,618767,57143,121115,991238,34440
