dataset,stage,count
semantickitti,official_evaluation_clips,163
semantickitti,official_prediction_files,163
semantickitti,voxels_per_clip,2097152
semantickitti,valid_voxels_after_official_mask,239805138
semantickitti,valid_gt_occupied_voxels,18762930
semantickitti,gate6_B_D_coverage_miss,13093177
semantickitti,gate7a_B_D_miss_population,13093177
semantickitti,gate7a_anchors,163
semantickitti,gate7b_recoverability_anchor_stride,4
semantickitti,gate7b_recoverability_anchors_reported,41
semantickitti,gate7b_anchors_reconstructed_here,41
semantickitti,gate7b_anchors_skipped_for_zero_misses,0
semantickitti,gate7b_miss_population_reported,3186640
semantickitti,gate7b_miss_population_reconstructed_from_gate6_counts,3186640
semantickitti,fraction_of_gate7a_population,0.2433817246952363
occ3d,official_evaluation_clips,1182
occ3d,official_prediction_files,1182
occ3d,voxels_per_clip,640000
occ3d,valid_voxels_after_official_mask,52095614
occ3d,valid_gt_occupied_voxels,11957590
occ3d,gate6_B_D_coverage_miss,8969696
occ3d,gate7a_B_D_miss_population,8969696
occ3d,gate7a_anchors,1182
occ3d,gate7b_recoverability_anchor_stride,4
occ3d,gate7b_recoverability_anchors_reported,300
occ3d,gate7b_anchors_reconstructed_here,300
occ3d,gate7b_anchors_skipped_for_zero_misses,0
occ3d,gate7b_miss_population_reported,2516764
occ3d,gate7b_miss_population_reconstructed_from_gate6_counts,2516764
occ3d,fraction_of_gate7a_population,0.28058520600921144
kitti360,official_evaluation_clips,1753
kitti360,official_prediction_files,1753
kitti360,voxels_per_clip,2097152
kitti360,valid_voxels_after_official_mask,549394259
kitti360,valid_gt_occupied_voxels,137841471
kitti360,gate6_B_D_coverage_miss,114007683
kitti360,gate7a_B_D_miss_population,114007683
kitti360,gate7a_anchors,1753
kitti360,gate7b_recoverability_anchor_stride,4
kitti360,gate7b_recoverability_anchors_reported,439
kitti360,gate7b_anchors_reconstructed_here,439
kitti360,gate7b_anchors_skipped_for_zero_misses,0
kitti360,gate7b_miss_population_reported,28557603
kitti360,gate7b_miss_population_reconstructed_from_gate6_counts,28557603
kitti360,fraction_of_gate7a_population,0.2504884078733536
