drive,partition,sscbench_index,native_frame,stream_index,frame_key,t_image_s,t_velodyne_s,dt_velo_minus_image_s,rgb_path,lidar_path,pose_row,pose_frame_matches_native,target_file,target_frame,target_anchored_at,trident_cache,causal_input_range,future_target_range,sample_file
2013_05_28_drive_0003_sync,train,0,4,0,0003_0000000004,0.418618,0.418627,9e-06,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000004.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000004.bin,1,True,preprocess/labels/2013_05_28_drive_0003_sync/000000_1_1.npy,velodyne_of_native_frame_4,t (last frame of the clip),True,,,
2013_05_28_drive_0003_sync,train,5,12,1,0003_0000000012,1.255266,1.255255,-1.1e-05,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000012.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000012.bin,6,True,preprocess/labels/2013_05_28_drive_0003_sync/000005_1_1.npy,velodyne_of_native_frame_12,t (last frame of the clip),True,,,
2013_05_28_drive_0003_sync,train,10,17,2,0003_0000000017,1.778272,1.778261,-1.1e-05,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000017.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000017.bin,11,True,preprocess/labels/2013_05_28_drive_0003_sync/000010_1_1.npy,velodyne_of_native_frame_17,t (last frame of the clip),True,,,
2013_05_28_drive_0003_sync,train,15,22,3,0003_0000000022,2.301607,2.301721,0.000114,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000022.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000022.bin,16,True,preprocess/labels/2013_05_28_drive_0003_sync/000015_1_1.npy,velodyne_of_native_frame_22,t (last frame of the clip),True,,,
2013_05_28_drive_0003_sync,train,20,27,4,0003_0000000027,2.825437,2.82544,3e-06,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000027.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000027.bin,21,True,preprocess/labels/2013_05_28_drive_0003_sync/000020_1_1.npy,velodyne_of_native_frame_27,t (last frame of the clip),True,"[0, 4]","[5, 24]",samples/k360_train/2013_05_28_drive_0003_sync_00004.npz
2013_05_28_drive_0003_sync,train,25,32,5,0003_0000000032,3.349184,3.349232,4.8e-05,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000032.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000032.bin,26,True,preprocess/labels/2013_05_28_drive_0003_sync/000025_1_1.npy,velodyne_of_native_frame_32,t (last frame of the clip),True,"[0, 5]","[6, 25]",samples/k360_train/2013_05_28_drive_0003_sync_00005.npz
2013_05_28_drive_0003_sync,train,30,37,6,0003_0000000037,3.873047,3.872986,-6.1e-05,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000037.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000037.bin,31,True,preprocess/labels/2013_05_28_drive_0003_sync/000030_1_1.npy,velodyne_of_native_frame_37,t (last frame of the clip),True,"[0, 6]","[7, 26]",samples/k360_train/2013_05_28_drive_0003_sync_00006.npz
2013_05_28_drive_0003_sync,train,35,42,7,0003_0000000042,4.397274,4.397159,-0.000115,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000042.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000042.bin,36,True,preprocess/labels/2013_05_28_drive_0003_sync/000035_1_1.npy,velodyne_of_native_frame_42,t (last frame of the clip),True,"[0, 7]","[8, 27]",samples/k360_train/2013_05_28_drive_0003_sync_00007.npz
2013_05_28_drive_0003_sync,train,40,47,8,0003_0000000047,4.921316,4.921073,-0.000243,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000047.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000047.bin,41,True,preprocess/labels/2013_05_28_drive_0003_sync/000040_1_1.npy,velodyne_of_native_frame_47,t (last frame of the clip),True,"[0, 8]","[9, 28]",samples/k360_train/2013_05_28_drive_0003_sync_00008.npz
2013_05_28_drive_0003_sync,train,45,52,9,0003_0000000052,5.444889,5.444549,-0.00034,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000052.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000052.bin,46,True,preprocess/labels/2013_05_28_drive_0003_sync/000045_1_1.npy,velodyne_of_native_frame_52,t (last frame of the clip),True,"[0, 9]","[10, 29]",samples/k360_train/2013_05_28_drive_0003_sync_00009.npz
2013_05_28_drive_0003_sync,train,50,57,10,0003_0000000057,5.967651,5.967322,-0.000329,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000057.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000057.bin,51,True,preprocess/labels/2013_05_28_drive_0003_sync/000050_1_1.npy,velodyne_of_native_frame_57,t (last frame of the clip),True,"[0, 10]","[11, 30]",samples/k360_train/2013_05_28_drive_0003_sync_00010.npz
2013_05_28_drive_0003_sync,train,55,62,11,0003_0000000062,6.489801,6.489609,-0.000192,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000062.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000062.bin,56,True,preprocess/labels/2013_05_28_drive_0003_sync/000055_1_1.npy,velodyne_of_native_frame_62,t (last frame of the clip),True,"[0, 11]","[12, 31]",samples/k360_train/2013_05_28_drive_0003_sync_00011.npz
2013_05_28_drive_0003_sync,train,60,67,12,0003_0000000067,7.011784,7.011565,-0.000219,data_2d_raw/2013_05_28_drive_0003_sync/image_00/data_rect/0000000067.png,data_3d_raw/2013_05_28_drive_0003_sync/velodyne_points/data/0000000067.bin,61,True,preprocess/labels/2013_05_28_drive_0003_sync/000060_1_1.npy,velodyne_of_native_frame_67,t (last frame of the clip),True,"[0, 12]","[13, 32]",samples/k360_train/2013_05_28_drive_0003_sync_00012.npz
