method,dimension,lo,hi,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
mapper,height,-inf,0,382252,3809,2030685,190165,2606911,2412937,386061,0.1581680491040432,0.9901336835370577,0.1584177290994336,0.019636652334849,0.9255923965183315,0.15999630326030062
mapper,height,0,1,638551,108210,4250269,3807443,8804473,4888820,746761,0.12778610494633813,0.8550942001523915,0.1306145450231344,0.02763523734100034,0.5552654883489335,0.1527487205501532
mapper,height,1,2,55410,162415,979995,9074903,10272723,1035405,217825,0.046259037251006,0.2543785148628486,0.05351529111796833,0.017582484439747553,0.1007916790903444,0.2103766159135797
mapper,height,2,3,66768,216017,1211861,14405725,15900371,1278629,282785,0.044671447285845614,0.23610870449281257,0.052218430834902074,0.014773684284676887,0.08041504188801632,0.22116266720057187
mapper,height,3,inf,118773,186498,2223026,11982839,14511136,2341799,305271,0.046977471396754414,0.38907397034110675,0.050718699598044065,0.015325239164631566,0.16137943990050124,0.13035747303675507
mapper,range,0,10,394845,114449,938502,5687889,7135685,1333347,509294,0.27272143313008185,0.7752791118685867,0.2961307146601747,0.019724635138456258,0.18685620231274222,0.38196658484250534
mapper,range,10,20,542063,298714,2831216,12707436,16379429,3373279,840777,0.1476209241139621,0.644716732260754,0.16069320088851233,0.02296713477854707,0.20594606808332575,0.2492462082146185
mapper,range,20,30,255100,188099,3192413,11168972,14804584,3447513,443199,0.07016700351962751,0.5755879413085319,0.07399536999570415,0.016562280890909286,0.2328679414430017,0.12855615047717006
mapper,range,30,40,66084,69666,2865898,8342181,11343829,2931982,135750,0.022015905929009663,0.48680662983425416,0.022539019680202676,0.008281891004436957,0.25846493278415955,0.04629973853864042
mapper,range,40,inf,3662,6021,867807,1554597,2432087,871469,9683,0.004173266931816887,0.3781885779200661,0.00420210013207584,0.003858086988616048,0.3583214745196204,0.011111123860974974
mapper,boundary,0,0.4,77130,10273,1061934,846347,1995684,1139064,87403,0.06710825458503468,0.8824639886502752,0.06771349107688418,0.011992482080735915,0.570763708082041,0.0767322995020473
mapper,boundary,0.4,1,340469,18303,1803440,1290424,3452636,2143909,358772,0.1574632829713275,0.9489843131571025,0.15880757998590425,0.01398534606529857,0.6209484579318526,0.1673447893543989
mapper,boundary,1,2,699417,212031,5382629,10880739,17174816,6082046,911448,0.1111230447291954,0.7673690654870053,0.1149969927882821,0.019114342044412713,0.3541258316828547,0.1498587810746581
mapper,boundary,2,inf,144738,436342,2447833,26443565,29472478,2592571,581080,0.047785459668204404,0.24908446341295518,0.05582797925302721,0.016233017472865513,0.08796583035875029,0.2241327238482572
mapper,gt_distance,0,0.4,1261754,0,10695836,0,11957590,11957590,1261754,0.10551908871269211,1.0,0.10551908871269211,0.0,1.0,0.10551908871269211
mapper,gt_distance,0.4,1,0,362838,0,8403014,8765852,0,362838,0.0,0.0,0.0,0.041392211504369454,0.0,0.0
mapper,gt_distance,1,2,0,228191,0,14175051,14403242,0,228191,0.0,0.0,0.0,0.015843030339974848,0.0,0.0
mapper,gt_distance,2,5,0,85549,0,16534939,16620488,0,85549,0.0,0.0,0.0,0.005147201454012662,0.0,0.0
mapper,gt_distance,5,inf,0,371,0,348071,348442,0,371,0.0,0.0,0.0,0.001064739612331464,0.0,0.0
dilation,height,-inf,0,779937,12873,1633000,181101,2606911,2412937,792810,0.3215161121439849,0.9837628183297386,0.32323139808457496,0.0663645643230536,0.9255923965183315,0.328566390253869
dilation,height,0,1,1731406,368582,3157414,3547071,8804473,4888820,2099988,0.3293272989206456,0.8244837589548131,0.35415621765579425,0.09413040430293491,0.5552654883489335,0.4295490527366522
dilation,height,1,2,149927,623230,885478,8614088,10272723,1035405,773157,0.09039179807492305,0.19391533672979744,0.14480034382681173,0.06746871765159541,0.1007916790903444,0.7467193996552074
dilation,height,2,3,158960,718944,1119669,13902798,15900371,1278629,877904,0.07957656616303885,0.1810676338187319,0.12432065908093748,0.04916951755816783,0.08041504188801632,0.686597910730947
dilation,height,3,inf,259198,548457,2082601,11620880,14511136,2341799,807655,0.08967994530588294,0.32092663327782284,0.11068328238247603,0.045068765866209476,0.16137943990050124,0.3448865594357159
dilation,range,0,10,781341,439753,552006,5362585,7135685,1333347,1221094,0.4406638091478202,0.6398696578641775,0.5859997435026291,0.07578893197879889,0.18685620231274222,0.9158111129360924
dilation,range,10,20,1307667,1012717,2065612,11993433,16379429,3373279,2320384,0.2981459627414161,0.5635562906829215,0.3876545640013767,0.07786447180756796,0.20594606808332575,0.6878719489256596
dilation,range,20,30,750921,601412,2696592,10755659,14804584,3447513,1352333,0.18546182011274598,0.5552781748282413,0.21781527727379127,0.05295485077094261,0.2328679414430017,0.3922633504210136
dilation,range,30,40,228125,202629,2703857,8209218,11343829,2931982,430754,0.07277617541698156,0.5295946178097011,0.07780573004882022,0.02408852657448477,0.25846493278415955,0.14691563590772386
dilation,range,40,inf,11374,15575,860095,1545043,2432087,871469,26949,0.012822362814020499,0.42205647704924115,0.013051525642334954,0.009980020735375345,0.3583214745196204,0.030923647312755816
dilation,boundary,0,0.4,143856,24556,995208,832064,1995684,1139064,168412,0.12362798851858854,0.8541909127615609,0.12629316702134383,0.028666153020008873,0.570763708082041,0.14785121819318317
dilation,boundary,0.4,1,710705,51697,1433204,1257030,3452636,2143909,762402,0.3236942329361461,0.932191940734678,0.33149961122417043,0.03950174482531498,0.6209484579318526,0.35561304141173905
dilation,boundary,1,2,1865880,678820,4216166,10413950,17174816,6082046,2544700,0.27598239633798394,0.7332416394859905,0.30678492073226676,0.06119481427993188,0.3541258316828547,0.41839538865704073
