method,dimension,lo,hi,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
mapper,height,-inf,0,42,0,5607,132,5781,5649,42,0.007434944237918215,1.0,0.007434944237918215,0.0,0.9771665801764401,0.007434944237918215
mapper,height,0,1,191,8,12157,9676,22032,12348,199,0.015458077047588217,0.9597989949748744,0.015468091998704244,0.0008261049153242462,0.5604575163398693,0.01611597019760285
mapper,height,1,2,29,151,1946,24864,26990,1975,180,0.013640639698965193,0.16111111111111112,0.014683544303797468,0.006036378173096143,0.0731752500926269,0.09113924050632911
mapper,height,2,3,10,125,2606,37761,40502,2616,135,0.0036483035388544327,0.07407407407407407,0.00382262996941896,0.0032993717996093546,0.06458940299244481,0.051605504587155966
mapper,height,3,inf,13,58,4365,30832,35268,4378,71,0.0029305680793507666,0.18309859154929578,0.0029693924166285975,0.001877630301068307,0.12413519337643189,0.016217450890817726
mapper,range,0,10,100,99,3735,14794,18728,3835,199,0.02541942043721403,0.5025125628140703,0.02607561929595828,0.00664741825018465,0.2047736010252029,0.05189048239895697
mapper,range,10,20,142,221,6867,28678,35908,7009,363,0.019640387275242047,0.39118457300275483,0.020259666143529746,0.007647323436797121,0.19519327169432996,0.05179055500071337
mapper,range,20,30,40,22,5824,29473,35359,5864,62,0.0067957866123003734,0.6451612903225806,0.0068212824010914054,0.0007458891337514833,0.16584179416838712,0.010572987721691678
mapper,range,30,40,3,0,8508,24859,33370,8511,3,0.00035248501938667606,1.0,0.00035248501938667606,0.0,0.2550494456098292,0.00035248501938667606
mapper,range,40,inf,0,0,1747,5461,7208,1747,0,0.0,0.0,0.0,0.0,0.24236958934517203,0.0
mapper,boundary,0,0.4,1,0,2227,2104,4332,2228,1,0.0004488330341113106,1.0,0.0004488330341113106,0.0,0.5143120960295475,0.0004488330341113106
mapper,boundary,0.4,1,44,1,4939,3451,8435,4983,45,0.00882825040128411,0.9777777777777777,0.008830022075055188,0.00028968713789107763,0.5907528156490812,0.009030704394942806
mapper,boundary,1,2,198,45,14346,28249,42838,14544,243,0.013571869216533004,0.8148148148148148,0.013613861386138614,0.0015904432035060436,0.33951164853634624,0.01670792079207921
mapper,boundary,2,inf,42,296,5169,69461,74968,5211,338,0.00762665698202288,0.1242603550295858,0.008059873344847437,0.004243301747494875,0.06950965745384698,0.06486279025139129
mapper,gt_distance,0,0.4,285,0,26681,0,26966,26966,285,0.01056886449603204,1.0,0.01056886449603204,0.0,1.0,0.01056886449603204
mapper,gt_distance,0.4,1,0,110,0,20813,20923,0,110,0.0,0.0,0.0,0.005257372269750992,0.0,0.0
mapper,gt_distance,1,2,0,183,0,34608,34791,0,183,0.0,0.0,0.0,0.005259981029576615,0.0,0.0
mapper,gt_distance,2,5,0,49,0,46267,46316,0,49,0.0,0.0,0.0,0.0010579497365921064,0.0,0.0
mapper,gt_distance,5,inf,0,0,0,1577,1577,0,0,0.0,0.0,0.0,0.0,0.0,0.0
dilation,height,-inf,0,250,0,5399,132,5781,5649,250,0.044255620463798905,1.0,0.044255620463798905,0.0,0.9771665801764401,0.044255620463798905
dilation,height,0,1,1297,61,11051,9623,22032,12348,1358,0.10452091224111532,0.9550810014727541,0.10503725299643667,0.006299049979347377,0.5604575163398693,0.10997732426303855
dilation,height,1,2,70,615,1905,24400,26990,1975,685,0.02702702702702703,0.10218978102189781,0.035443037974683546,0.024585248850689585,0.0731752500926269,0.3468354430379747
dilation,height,2,3,39,571,2577,37315,40502,2616,610,0.012237213680577345,0.06393442622950819,0.014908256880733946,0.01507153038061553,0.06458940299244481,0.23318042813455658
dilation,height,3,inf,28,331,4350,30559,35268,4378,359,0.005946060734763219,0.07799442896935933,0.006395614435815441,0.010715441890579476,0.12413519337643189,0.08200091365920512
dilation,range,0,10,514,372,3321,14521,18728,3835,886,0.12217732350843832,0.5801354401805869,0.13402868318122554,0.024978177667360504,0.2047736010252029,0.23102998696219035
dilation,range,10,20,873,1053,6136,27846,35908,7009,1926,0.10828578516497148,0.4532710280373832,0.12455414467113711,0.03643724696356275,0.19519327169432996,0.2747895562847767
dilation,range,20,30,278,133,5586,29362,35359,5864,411,0.046356511589127895,0.6763990267639902,0.04740791268758526,0.004509238854043058,0.16584179416838712,0.07008867667121418
dilation,range,30,40,19,20,8492,24839,33370,8511,39,0.0022271714922048997,0.48717948717948717,0.0022324051227822815,0.0008045375920189871,0.2550494456098292,0.004582305252026789
dilation,range,40,inf,0,0,1747,5461,7208,1747,0,0.0,0.0,0.0,0.0,0.24236958934517203,0.0
dilation,boundary,0,0.4,2,1,2226,2103,4332,2228,3,0.0008972633467922835,0.6666666666666666,0.0008976660682226212,0.0004752851711026616,0.5143120960295475,0.0013464991023339318
dilation,boundary,0.4,1,252,3,4731,3449,8435,4983,255,0.05054151624548736,0.9882352941176471,0.050571944611679714,0.0008690614136732329,0.5907528156490812,0.051173991571342566
dilation,boundary,1,2,1311,253,13233,28041,42838,14544,1564,0.08859904034601608,0.8382352941176471,0.09014026402640264,0.008941825121933979,0.33951164853634624,0.10753575357535754
dilation,boundary,2,inf,119,1321,5092,68436,74968,5211,1440,0.01821800367421923,0.08263888888888889,0.022836307810401076,0.01893716759608355,0.06950965745384698,0.2763385146804836
dilation,gt_distance,0,0.4,1684,0,25282,0,26966,26966,1684,0.06244900986427353,1.0,0.06244900986427353,0.0,1.0,0.06244900986427353
dilation,gt_distance,0.4,1,0,648,0,20275,20923,0,648,0.0,0.0,0.0,0.03097070209816948,0.0,0.0
dilation,gt_distance,1,2,0,674,0,34117,34791,0,674,0.0,0.0,0.0,0.019372826305653762,0.0,0.0
dilation,gt_distance,2,5,0,256,0,46060,46316,0,256,0.0,0.0,0.0,0.005527247603419985,0.0,0.0
dilation,gt_distance,5,inf,0,0,0,1577,1577,0,0,0.0,0.0,0.0,0.0,0.0,0.0
seed0,height,-inf,0,5480,132,169,0,5781,5649,5612,0.947932883584155,0.9764789736279401,0.9700832005664719,1.0,0.9771665801764401,0.9934501681713578
seed0,height,0,1,1363,122,10985,9562,22032,12348,1485,0.10930232558139535,0.9178451178451178,0.11038224813735018,0.012598099958694754,0.5604575163398693,0.12026239067055394
seed0,height,1,2,29,292,1946,24723,26990,1975,321,0.012792236435818262,0.09034267912772585,0.014683544303797468,0.011672996202278633,0.0731752500926269,0.16253164556962024
seed0,height,2,3,10,224,2606,37662,40502,2616,234,0.0035211267605633804,0.042735042735042736,0.00382262996941896,0.005912474264899963,0.06458940299244481,0.08944954128440367
seed0,height,3,inf,558,1495,3820,29395,35268,4378,2053,0.09501106759747999,0.2717973697028738,0.12745545911375056,0.04839753965684688,0.12413519337643189,0.46893558702603927
seed0,range,0,10,306,178,3529,14715,18728,3835,484,0.07625218041365561,0.6322314049586777,0.07979139504563233,0.01195192372255422,0.2047736010252029,0.12620599739243807
seed0,range,10,20,1621,1032,5388,27867,35908,7009,2653,0.20159184181072007,0.6110064078401809,0.2312740761877586,0.03571057822069968,0.19519327169432996,0.3785133399914396
seed0,range,20,30,2377,562,3487,28933,35359,5864,2939,0.3699035169623405,0.8087784960871045,0.40535470668485674,0.01905407696219698,0.16584179416838712,0.501193724420191
seed0,range,30,40,2532,168,5979,24691,33370,8511,2700,0.29173867957137917,0.9377777777777778,0.2974973563623546,0.006758115772959492,0.2550494456098292,0.31723651744800846
seed0,range,40,inf,604,325,1143,5136,7208,1747,929,0.2915057915057915,0.6501614639397201,0.3457355466514024,0.059512909723493865,0.24236958934517203,0.5317687464224384
seed0,boundary,0,0.4,2099,1256,129,848,4332,2228,3355,0.6024684270952928,0.6256333830104321,0.9421005385996409,0.596958174904943,0.5143120960295475,1.505834829443447
seed0,boundary,0.4,1,3928,170,1055,3282,8435,4983,4098,0.7622744032602368,0.9585163494387506,0.7882801525185631,0.0492468134414832,0.5907528156490812,0.8223961468994582
seed0,boundary,1,2,1370,276,13174,28018,42838,14544,1646,0.09244264507422402,0.8323207776427703,0.0941969196919692,0.009754718314837069,0.33951164853634624,0.11317381738173818
seed0,boundary,2,inf,43,563,5168,69194,74968,5211,606,0.00744717700034638,0.07095709570957096,0.008251775091153329,0.008070874607566265,0.06950965745384698,0.11629245826137018
seed0,gt_distance,0,0.4,7440,0,19526,0,26966,26966,7440,0.27590298894904697,1.0,0.27590298894904697,0.0,1.0,0.27590298894904697
seed0,gt_distance,0.4,1,0,385,0,20538,20923,0,385,0.0,0.0,0.0,0.01840080294412847,0.0,0.0
seed0,gt_distance,1,2,0,580,0,34211,34791,0,580,0.0,0.0,0.0,0.016670978126526976,0.0,0.0
seed0,gt_distance,2,5,0,782,0,45534,46316,0,782,0.0,0.0,0.0,0.016884014163571985,0.0,0.0
seed0,gt_distance,5,inf,0,518,0,1059,1577,0,518,0.0,0.0,0.0,0.3284717818642993,0.0,0.0
seed1,height,-inf,0,5603,132,46,0,5781,5649,5735,0.9692094793288358,0.9769834350479512,0.991856965834661,1.0,0.9771665801764401,1.0152239334395468
seed1,height,0,1,1105,73,11243,9611,22032,12348,1178,0.08896224136542952,0.9380305602716469,0.0894881762228701,0.007538207352333746,0.5604575163398693,0.09540006478781989
seed1,height,1,2,27,190,1948,24825,26990,1975,217,0.012471131639722863,0.12442396313364056,0.013670886075949367,0.007595442734359384,0.0731752500926269,0.10987341772151898
seed1,height,2,3,10,140,2606,37746,40502,2616,150,0.00362844702467344,0.06666666666666667,0.00382262996941896,0.003695296415562477,0.06458940299244481,0.05733944954128441
seed1,height,3,inf,1410,3849,2968,27041,35268,4378,5259,0.17138689680320895,0.26811180832857956,0.32206486980356325,0.12460343153123989,0.12413519337643189,1.2012334399269073
seed1,range,0,10,315,299,3520,14594,18728,3835,614,0.07619738751814223,0.5130293159609121,0.08213820078226858,0.02007654602833546,0.2047736010252029,0.16010430247718382
seed1,range,10,20,1714,1582,5295,27317,35908,7009,3296,0.19951111628448376,0.5200242718446602,0.24454273077471822,0.054742378629018304,0.19519327169432996,0.4702525324582679
seed1,range,20,30,2639,1326,3225,28169,35359,5864,3965,0.3670375521557719,0.6655737704918033,0.4500341064120055,0.044956772334293946,0.16584179416838712,0.6761596180081856
seed1,range,30,40,2836,623,5675,24236,33370,8511,3459,0.3104882855266039,0.8198901416594392,0.3332158383268711,0.025061345991391447,0.2550494456098292,0.4064152273528375
seed1,range,40,inf,651,554,1096,4907,7208,1747,1205,0.28292046936114734,0.5402489626556016,0.3726388093875215,0.10144662149789416,0.24236958934517203,0.6897538637664568
seed1,boundary,0,0.4,2092,1286,136,818,4332,2228,3378,0.5953329538986909,0.6193013617525163,0.9389587073608617,0.6112167300380228,0.5143120960295475,1.5161579892280073
seed1,boundary,0.4,1,4783,2538,200,914,8435,4983,7321,0.6359526658689004,0.65332604835405,0.9598635360224764,0.735225955967555,0.5907528156490812,1.4691952638972507
seed1,boundary,1,2,1240,207,13304,28087,42838,14544,1447,0.08406209748491628,0.856945404284727,0.08525852585258525,0.007316038736127801,0.33951164853634624,0.09949119911991199
seed1,boundary,2,inf,40,353,5171,69404,74968,5211,393,0.007189072609633357,0.10178117048346055,0.007676069852235655,0.0050604240434651716,0.06950965745384698,0.07541738629821532
seed1,gt_distance,0,0.4,8155,0,18811,0,26966,26966,8155,0.30241785952681155,1.0,0.30241785952681155,0.0,1.0,0.30241785952681155
seed1,gt_distance,0.4,1,0,575,0,20348,20923,0,575,0.0,0.0,0.0,0.027481718682789275,0.0,0.0
seed1,gt_distance,1,2,0,778,0,34013,34791,0,778,0.0,0.0,0.0,0.02236210514213446,0.0,0.0
seed1,gt_distance,2,5,0,1965,0,44351,46316,0,1965,0.0,0.0,0.0,0.04242594351843855,0.0,0.0
seed1,gt_distance,5,inf,0,1066,0,511,1577,0,1066,0.0,0.0,0.0,0.6759670259987318,0.0,0.0
seed2,height,-inf,0,5406,132,243,0,5781,5649,5538,0.9351323300467047,0.9761646803900325,0.9569835369091875,1.0,0.9771665801764401,0.9803505045140732
