method,dimension,lo,hi,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
mapper,height,-inf,0,1772585,1672255,10644371,33394497,47483708,12416956,3444840,0.12581151634395993,0.5145623599354396,0.14275519700641606,0.047687764181866626,0.26149929150436185,0.27743031383859296
mapper,height,0,1,179245,425723,3696334,29183118,33484420,3875579,604968,0.04167226574651117,0.29628839872522184,0.046249863568772566,0.014378239256308614,0.11574275439144534,0.15609745021324556
mapper,height,1,2,65374,551535,1920473,35728769,38266151,1985847,616909,0.025764350815131502,0.10597024844831247,0.03291995808337702,0.015202050126151093,0.05189565577159825,0.3106528347853586
mapper,height,2,3,14910,663658,426557,46444587,47549712,441467,678568,0.013491686460807601,0.0219727425991205,0.033773758854002675,0.01408793726023969,0.009284325423464183,1.5370752513777928
mapper,height,3,inf,818,755199,42263,72222867,73021147,43081,756017,0.0010247031116901338,0.0010819862516319076,0.01898748868410668,0.010348301090905862,0.0005899797766803087,17.54873378055291
mapper,range,0,10,585334,1036876,1089548,15774591,18486349,1674882,1622210,0.21585038192936096,0.36082504731200027,0.3494777542537325,0.06167671149698001,0.09060101591720464,0.9685518143964769
mapper,range,10,20,933599,1919617,3349585,39916816,46119617,4283184,2853216,0.1505124862138895,0.327209366553391,0.2179684552426419,0.045883859171263475,0.09287119622003799,0.6661436912353054
mapper,range,20,30,405215,914185,4251651,55030077,60601128,4656866,1319400,0.07273582668692137,0.30712066090647266,0.08701452865510839,0.01634099668702395,0.07684454322368389,0.28332359144540553
mapper,range,30,40,94986,177688,3850837,46007111,50130622,3945823,272674,0.023035224108775263,0.3483500443753346,0.024072544561679527,0.0038473264764019,0.07871083267229359,0.06910446819332748
mapper,range,40,inf,13798,20004,4188377,60245243,64467422,4202175,33802,0.003267980822224733,0.40820069818353943,0.003283537691790561,0.0003319325979033986,0.06518292293431557,0.008043929631678833
mapper,boundary,0,0.4,486851,287907,1700088,29671187,32146033,2186939,774758,0.19671971508530228,0.6283910588854842,0.22261754900342443,0.009610003560187768,0.06803138041947508,0.3542659397450043
mapper,boundary,0.4,1,929727,1209263,4363923,43578784,50081697,5293650,2138990,0.1429708501405447,0.43465701101921933,0.17563061403757332,0.026999681410533483,0.10570029206478367,0.4040671370415498
mapper,boundary,1,2,378409,1429126,5432828,72465924,79706287,5811237,1807535,0.05226381605452655,0.20935085627664193,0.06511677290050294,0.019339942255942717,0.07290813835049173,0.31104134971607594
mapper,boundary,2,inf,237945,1142074,5233159,71257943,77871121,5471104,1380019,0.035980431798448495,0.1724215391237367,0.04349122224691762,0.015774499058473977,0.07025844664545153,0.25223775676718996
