method,dimension,lo,hi,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
mapper,height,-inf,0,23386,61845,117594,602644,805469,140980,85231,0.1153013681745347,0.2743837336180498,0.16588168534543907,0.09307151811391912,0.17502846167884797,0.604560930628458
mapper,height,0,1,2269,9732,49516,526928,588445,51785,12001,0.03688411333452542,0.18906757770185817,0.04381577676933475,0.01813438676256848,0.0880031268852654,0.23174664478130733
mapper,height,1,2,1335,11586,20758,653199,686878,22093,12921,0.03963894414917307,0.10332017645693058,0.06042637939618884,0.01742819106929308,0.03216437271247587,0.5848458787851356
mapper,height,2,3,28,16162,4021,857937,878148,4049,16190,0.0013853841967245558,0.0017294626312538604,0.006915287725364288,0.018489896453376564,0.0046108400861813725,3.998518152630279
mapper,height,3,inf,0,24603,183,1331214,1356000,183,24603,0.0,0.0,0.0,0.01814625425112681,0.00013495575221238938,134.44262295081967
mapper,range,0,10,8485,20331,13398,301211,343425,21883,28816,0.20099966835646943,0.2944544697390339,0.3877439107983366,0.06322968694602882,0.06371988061439907,1.3168212767902023
mapper,range,10,20,10241,42297,43695,801721,897954,53936,52538,0.10641879604709403,0.1949255776771099,0.18987318303174133,0.05011386013094508,0.06006543765048098,0.9740803915752002
mapper,range,20,30,7075,47308,51261,1067684,1173328,58336,54383,0.06697020180985196,0.13009580199694756,0.12128017004936917,0.04242900397491641,0.049718407810944595,0.9322373834339002
mapper,range,30,40,1133,12539,39313,845306,898291,40446,13672,0.021383410399169578,0.08287009947337624,0.028012658853780348,0.014616859689104676,0.045025498418663885,0.33803095485338475
mapper,range,40,inf,84,1453,44405,956000,1001942,44489,1537,0.0018283923207522527,0.05465191932335719,0.0018881071725595092,0.0015175679641716096,0.044402769821007604,0.034547865764571015
mapper,boundary,0,0.4,5883,11426,26511,512240,556060,32394,17309,0.13425376540392514,0.3398809867698885,0.18160770513057975,0.021819251202102104,0.05825630327662482,0.5343273445699821
mapper,boundary,0.4,1,13042,52746,51273,796775,913836,64315,65788,0.11141199887238278,0.19824284063963032,0.20278317655290368,0.062089106684825916,0.07037914899391139,1.0229028997900955
mapper,boundary,1,2,4586,34012,48665,1327584,1414847,53251,38598,0.05255377422275191,0.11881444634437018,0.08612044844228277,0.024979509340509225,0.03763728516228256,0.7248314585641584
mapper,boundary,2,inf,3507,25744,65623,1335323,1430197,69130,29251,0.036964816493454476,0.1198933369799323,0.050730507739042384,0.018914572170216457,0.04833599846734401,0.42313033415304496
mapper,gt_distance,0,0.4,27018,25741,192072,147914,392745,219090,52759,0.11035367253329847,0.5121022005724142,0.12331918389702862,0.14823068728225505,0.5578428751479968,0.24080971290337305
mapper,gt_distance,0.4,1,0,45699,0,546015,591714,0,45699,0.0,0.0,0.0,0.07723156795343697,0.0,0.0
mapper,gt_distance,1,2,0,21798,0,1059835,1081633,0,21798,0.0,0.0,0.0,0.02015286146040293,0.0,0.0
mapper,gt_distance,2,5,0,29628,0,1823302,1852930,0,29628,0.0,0.0,0.0,0.015989810732191717,0.0,0.0
mapper,gt_distance,5,inf,0,1062,0,394856,395918,0,1062,0.0,0.0,0.0,0.0026823736228208874,0.0,0.0
dilation,height,-inf,0,75583,250651,65397,413838,805469,140980,326234,0.19299544724498316,0.23168339290202739,0.5361256915874593,0.3772086520619604,0.17502846167884797,2.314044545325578
dilation,height,0,1,7220,51096,44565,485564,588445,51785,58316,0.07017816700848553,0.12380821729885452,0.13942261272569276,0.09521112063503895,0.0880031268852654,1.1261176016220913
dilation,height,1,2,3729,44666,18364,620119,686878,22093,48395,0.055857637172516066,0.0770534146089472,0.1687864934594668,0.06718863993621998,0.03216437271247587,2.190512832118771
dilation,height,2,3,270,56459,3779,817640,878148,4049,56729,0.004462219871752496,0.004759470464841616,0.06668313163744134,0.0645910817882185,0.0046108400861813725,14.010619906149667
dilation,height,3,inf,0,77168,183,1278649,1356000,183,77168,0.0,0.0,0.0,0.05691623574567954,0.00013495575221238938,421.6830601092896
dilation,range,0,10,19078,62345,2805,259197,343425,21883,81423,0.22650425036804864,0.23430725961951782,0.8718183064479276,0.19389379925484074,0.06371988061439907,3.7208335237398895
dilation,range,10,20,27350,142918,26586,701100,897954,53936,170268,0.13893545470246985,0.1606291258486621,0.507082468110353,0.1693305119085138,0.06006543765048098,3.156852566004153
dilation,range,20,30,26348,191684,31988,923308,1173328,58336,218032,0.10538356931445485,0.1208446466573714,0.45165935271530444,0.1719151348171108,0.049718407810944595,3.7375205704882064
dilation,range,30,40,12261,71211,28185,786634,898291,40446,83472,0.10980950589752546,0.14688757906843014,0.30314493398605546,0.08301149974645769,0.045025498418663885,2.0637887553775403
dilation,range,40,inf,1765,11882,42724,945571,1001942,44489,13647,0.03131042557343315,0.12933245401919835,0.03967272809008968,0.012410008637499699,0.044402769821007604,0.3067499831419002
dilation,boundary,0,0.4,22445,35844,9949,487822,556060,32394,58289,0.32892230135701517,0.3850640772701539,0.6928752238068778,0.06844820935481777,0.05825630327662482,1.799376427733531
dilation,boundary,0.4,1,36103,150443,28212,699078,913836,64315,186546,0.16811015189189693,0.19353403450087378,0.5613464977066003,0.1770915610090863,0.07037914899391139,2.900505325351784
dilation,boundary,1,2,17413,183677,35838,1177919,1414847,53251,201090,0.07349490140464614,0.08659306778059575,0.3269985540177649,0.13489831051207554,0.03763728516228256,3.7762671123546974
dilation,boundary,2,inf,10841,110076,58289,1250991,1430197,69130,120917,0.06049462629599455,0.08965654126384213,0.15682048314769276,0.08087478426851874,0.04833599846734401,1.7491248372631274
dilation,gt_distance,0,0.4,86802,72215,132288,101440,392745,219090,159017,0.29797634781414667,0.5458661652527718,0.3961933452006025,0.41585327229276436,0.5578428751479968,0.7258067460860833
dilation,gt_distance,0.4,1,0,185626,0,406088,591714,0,185626,0.0,0.0,0.0,0.3137089877880192,0.0,0.0
dilation,gt_distance,1,2,0,115241,0,966392,1081633,0,115241,0.0,0.0,0.0,0.10654353186339544,0.0,0.0
dilation,gt_distance,2,5,0,103208,0,1749722,1852930,0,103208,0.0,0.0,0.0,0.05569989152315522,0.0,0.0
dilation,gt_distance,5,inf,0,3750,0,392168,395918,0,3750,0.0,0.0,0.0,0.009471658272672625,0.0,0.0
seed0,height,-inf,0,91469,216581,49511,447908,805469,140980,308050,0.25581369332785175,0.29692906995617596,0.6488083416087388,0.3259361705009413,0.17502846167884797,2.185061710880976
seed0,height,0,1,2870,13223,48915,523437,588445,51785,16093,0.044148412503076544,0.17833840800347978,0.05542145408902192,0.024639436514739314,0.0880031268852654,0.3107656657333205
seed0,height,1,2,1389,15053,20704,649732,686878,22093,16442,0.037392989823937975,0.08447877387179176,0.06287059249536052,0.022643411027625474,0.03216437271247587,0.7442176254922374
seed0,height,2,3,22,20816,4027,853283,878148,4049,20838,0.0008847778001206515,0.0010557635089739898,0.005433440355643368,0.023814236144876037,0.0046108400861813725,5.146455915040751
seed0,height,3,inf,0,580982,183,774835,1356000,183,580982,0.0,0.0,0.0,0.42851063233459974,0.00013495575221238938,3174.7650273224044
seed0,range,0,10,18574,62849,3309,258693,343425,21883,81423,0.21920879950904026,0.22811736241602495,0.8487867294246676,0.195461246120258,0.06371988061439907,3.7208335237398895
seed0,range,10,20,30858,171551,23078,672467,897954,53936,202409,0.13685046144567092,0.15245369524082428,0.5721225155740136,0.20325514384764307,0.06006543765048098,3.7527625333728865
seed0,range,20,30,24751,261976,33585,853016,1173328,58336,286727,0.0772715352531282,0.08632252979314818,0.4242834613274822,0.2349577396071003,0.049718407810944595,4.915095309928689
seed0,range,30,40,13356,164467,27090,693378,898291,40446,177823,0.06517888079331229,0.07510839430219937,0.3302180685358255,0.1917211151198643,0.045025498418663885,4.39655342926371
seed0,range,40,inf,8211,185812,36278,771641,1001942,44489,194023,0.03565334062813449,0.042319724981058945,0.18456247611769203,0.1940690561312148,0.044402769821007604,4.361145451684686
seed0,boundary,0,0.4,29797,408496,2597,115170,556060,32394,438293,0.0675837510490145,0.06798420234865718,0.9198308328702847,0.7800697391085157,0.05825630327662482,13.530067296412916
seed0,boundary,0.4,1,51386,324296,12929,525225,913836,64315,375682,0.13222991629161296,0.13678057506082272,0.798973800824069,0.38173982750279273,0.07037914899391139,5.841281194122677
seed0,boundary,1,2,10483,81692,42768,1279904,1414847,53251,92175,0.077684652038268,0.11372931922972607,0.19686015286097913,0.059997238534778306,0.03763728516228256,1.7309534093256465
seed0,boundary,2,inf,4084,32171,65046,1328896,1430197,69130,36255,0.04031549540478376,0.11264653151289478,0.05907710111384348,0.023636602753574952,0.04833599846734401,0.5244466946332996
seed0,gt_distance,0,0.4,95750,60281,123340,113374,392745,219090,156031,0.3427342136442222,0.613660106004576,0.43703500844401844,0.347130805332412,0.5578428751479968,0.7121776438906385
seed0,gt_distance,0.4,1,0,121313,0,470401,591714,0,121313,0.0,0.0,0.0,0.20501965476564693,0.0,0.0
seed0,gt_distance,1,2,0,83155,0,998478,1081633,0,83155,0.0,0.0,0.0,0.07687912628405383,0.0,0.0
seed0,gt_distance,2,5,0,418752,0,1434178,1852930,0,418752,0.0,0.0,0.0,0.2259945059986076,0.0,0.0
seed0,gt_distance,5,inf,0,163154,0,232764,395918,0,163154,0.0,0.0,0.0,0.41209038235190115,0.0,0.0
seed1,height,-inf,0,96595,236934,44385,427555,805469,140980,333529,0.2556004805326079,0.2896149959973496,0.6851681089516244,0.3565657219306866,0.17502846167884797,2.3657894736842104
seed1,height,0,1,3917,15477,47868,521183,588445,51785,19394,0.05823496179120454,0.2019696813447458,0.07563966399536545,0.028839488689300488,0.0880031268852654,0.3745099932412861
seed1,height,1,2,1433,15749,20660,649036,686878,22093,17182,0.037867977379631095,0.08340123384937725,0.06486217353913004,0.023690366058199266,0.03216437271247587,0.7777123975919975
seed1,height,2,3,40,27222,4009,846877,878148,4049,27262,0.0012791404176393463,0.0014672437825544713,0.009878982464806126,0.031142925458100285,0.0046108400861813725,6.733020498888615
seed1,height,3,inf,2,554058,181,801759,1356000,183,554060,3.608538523855146e-06,3.60971735913078e-06,0.01092896174863388,0.40865249513761814,0.00013495575221238938,3027.6502732240438
seed1,range,0,10,18329,57786,3554,263756,343425,21883,76115,0.23006439141949817,0.24080667411154175,0.8375908239272495,0.17971524715278253,0.06371988061439907,3.478270803820317
seed1,range,10,20,31926,164372,22010,679646,897954,53936,196298,0.1462429228429558,0.16264047519587566,0.5919237614951053,0.19474940107912392,0.06006543765048098,3.639461584099674
seed1,range,20,30,28254,265379,30082,849613,1173328,58336,293633,0.08728047819841528,0.09622215486678949,0.484332144816237,0.2380097794423637,0.049718407810944595,5.033478469555678
seed1,range,30,40,14960,171642,25486,686203,898291,40446,186602,0.0705367583267323,0.08017063053986559,0.3698758838945755,0.20008509695807516,0.045025498418663885,4.613608267813875
seed1,range,40,inf,8518,190261,35971,767192,1001942,44489,198779,0.036285410010649624,0.04285160907339306,0.19146305828407023,0.1987157594158669,0.044402769821007604,4.4680482815976985
seed1,boundary,0,0.4,29808,389843,2586,133823,556060,32394,419651,0.07059542389700571,0.07103045149421781,0.9201704019262826,0.7444497064923061,0.05825630327662482,12.95459035623881
seed1,boundary,0.4,1,52233,312406,12082,537115,913836,64315,364639,0.13865168121766505,0.14324578555777084,0.8121433569151831,0.36774370498198394,0.07037914899391139,5.669579413822592
seed1,boundary,1,2,14750,111906,38501,1249690,1414847,53251,126656,0.08930896056479593,0.11645717534108135,0.27699010347223524,0.08218737422847894,0.03763728516228256,2.378471765788436
seed1,boundary,2,inf,5196,35285,63934,1325782,1430197,69130,40481,0.04976296509122253,0.1283565129319928,0.07516273687255895,0.02592451363525822,0.04833599846734401,0.5855778967163315
seed1,gt_distance,0,0.4,101987,62596,117103,111059,392745,219090,164583,0.36205917226983236,0.6196691031272975,0.46550276142224656,0.3604618352480493,0.5578428751479968,0.7512118307544845
seed1,gt_distance,0.4,1,0,136605,0,455109,591714,0,136605,0.0,0.0,0.0,0.2308632210831584,0.0,0.0
seed1,gt_distance,1,2,0,112036,0,969597,1081633,0,112036,0.0,0.0,0.0,0.1035804196062805,0.0,0.0
seed1,gt_distance,2,5,0,396805,0,1456125,1852930,0,396805,0.0,0.0,0.0,0.2141500218572747,0.0,0.0
seed1,gt_distance,5,inf,0,141398,0,254520,395918,0,141398,0.0,0.0,0.0,0.35713960971716363,0.0,0.0
seed2,height,-inf,0,94472,239268,46508,425221,805469,140980,333740,0.2484483810565736,0.2830706538023611,0.6701092353525323,0.3600781954253569,0.17502846167884797,2.3672861398779967
seed2,height,0,1,3181,15387,48604,521273,588445,51785,18568,0.04735604120764604,0.17131624299870746,0.061427054166264365,0.02867178474266761,0.0880031268852654,0.35855942840590904
seed2,height,1,2,1457,15853,20636,648932,686878,22093,17310,0.038396668950614034,0.08417099942229925,0.06594849047209524,0.023846807614491903,0.03216437271247587,0.7835060879011452
seed2,height,2,3,33,26567,4016,847532,878148,4049,26600,0.0010778677815521296,0.0012406015037593986,0.008150160533465053,0.03039358242029793,0.0046108400861813725,6.569523339096073
seed2,height,3,inf,0,441970,183,913847,1356000,183,441970,0.0,0.0,0.0,0.32598057112427414,0.00013495575221238938,2415.136612021858
seed2,range,0,10,18223,55093,3660,266449,343425,21883,73316,0.23673612554562462,0.24855420372087947,0.8327468811406115,0.17133998046911444,0.06371988061439907,3.350363295708998
seed2,range,10,20,30661,150958,23275,693060,897954,53936,181619,0.14964323015803294,0.16882044279508202,0.5684700385642243,0.17885637510100497,0.06006543765048098,3.3673056956392764
seed2,range,20,30,27070,238920,31266,876072,1173328,58336,265990,0.09106628629867858,0.10177074326102485,0.46403592978606695,0.21427956433768133,0.049718407810944595,4.5596201316511245
seed2,range,30,40,14524,146632,25922,711213,898291,40446,161156,0.07763606623975026,0.09012385514656605,0.35909607872224697,0.17093064597916874,0.045025498418663885,3.9844731246600404
seed2,range,40,inf,8665,147442,35824,810011,1001942,44489,156107,0.04514643283263256,0.05550679982319819,0.19476724583604937,0.15399398195002784,0.044402769821007604,3.508889837937468
seed2,boundary,0,0.4,30039,368992,2355,154674,556060,32394,399031,0.07483818568659595,0.07527986547411103,0.9273013521022412,0.7046323419889777,0.05825630327662482,12.318052725813422
seed2,boundary,0.4,1,51737,227279,12578,622242,913836,64315,279016,0.17742820496992392,0.18542664219973048,0.8044313146233383,0.26753782425625733,0.07037914899391139,4.3382725647205165
seed2,boundary,1,2,12834,107119,40417,1254477,1414847,53251,119953,0.08002743655297126,0.10699190516285545,0.24100955850594355,0.07867164709649559,0.03763728516228256,2.2525961953766127
seed2,boundary,2,inf,4533,35655,64597,1325412,1430197,69130,40188,0.0432600085890156,0.11279486413854882,0.06557211051641834,0.026196359179966894,0.04833599846734401,0.5813395052799074
seed2,gt_distance,0,0.4,99143,59892,119947,113763,392745,219090,159035,0.3553741818468575,0.6234036532838684,0.45252179469624354,0.3448907316230457,0.5578428751479968,0.7258889041033365
seed2,gt_distance,0.4,1,0,134519,0,457195,591714,0,134519,0.0,0.0,0.0,0.2273378693084835,0.0,0.0
seed2,gt_distance,1,2,0,93692,0,987941,1081633,0,93692,0.0,0.0,0.0,0.0866208778763222,0.0,0.0
seed2,gt_distance,2,5,0,334236,0,1518694,1852930,0,334236,0.0,0.0,0.0,0.18038242135428753,0.0,0.0
seed2,gt_distance,5,inf,0,116706,0,279212,395918,0,116706,0.0,0.0,0.0,0.29477316009880833,0.0,0.0
