clip_id,method,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
scene-0003_CAM_FRONT_fd842039_f56a5440,mapper,237,231,11759,66171,78398,11996,468,0.01938333197022982,0.5064102564102564,0.019756585528509504,0.003478810879190386,0.1530141075027424,0.03901300433477826
scene-0003_CAM_FRONT_fd842039_f56a5440,dilation,1266,1236,10730,65166,78398,11996,2502,0.09567714631197098,0.5059952038369304,0.1055351783927976,0.018613897171771934,0.1530141075027424,0.20856952317439145
scene-0003_CAM_FRONT_fd842039_f56a5440,seed0,4701,1816,7295,64586,78398,11996,6517,0.3403562119895743,0.7213441767684518,0.3918806268756252,0.027348573838137404,0.1530141075027424,0.5432644214738246
scene-0003_CAM_FRONT_fd842039_f56a5440,seed1,4719,3548,7277,62854,78398,11996,8267,0.30358980957282555,0.5708237571065683,0.39338112704234746,0.0534321255383874,0.1530141075027424,0.6891463821273758
scene-0003_CAM_FRONT_fd842039_f56a5440,seed2,4551,1663,7445,64739,78398,11996,6214,0.33318690972984844,0.732378500160927,0.3793764588196065,0.025044426372699616,0.1530141075027424,0.5180060020006669
scene-0003_CAM_FRONT_f286cdae_21b99feb,mapper,441,565,11487,67719,80212,11928,1006,0.0352997678700072,0.4383697813121272,0.03697183098591549,0.008274266299572374,0.14870592928738843,0.08433936955063716
scene-0003_CAM_FRONT_f286cdae_21b99feb,dilation,1755,2092,10173,66192,80212,11928,3847,0.12517831669044222,0.45619963608006237,0.1471327967806841,0.030636752387089215,0.14870592928738843,0.3225184439973172
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed0,5448,2451,6480,65833,80212,11928,7899,0.3788858752347173,0.6897075579187238,0.4567404426559356,0.03589420654911839,0.14870592928738843,0.6622233400402414
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed1,5609,4480,6319,63804,80212,11928,10089,0.3418454412481716,0.5559520269600555,0.47023809523809523,0.0656083416320075,0.14870592928738843,0.8458249496981891
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed2,5272,2183,6656,66101,80212,11928,7455,0.3736092410176458,0.7071763916834339,0.44198524480214624,0.03196942182648937,0.14870592928738843,0.625
scene-0003_CAM_FRONT_cd908fdc_6180726f,mapper,475,349,13030,65704,79558,13505,824,0.034286126750396995,0.5764563106796117,0.03517215845982969,0.005283635868166473,0.16975037079866262,0.06101443909663088
scene-0003_CAM_FRONT_cd908fdc_6180726f,dilation,1775,1478,11730,64575,79558,13505,3253,0.11846759660949076,0.5456501690747003,0.1314328026656794,0.022375970811318185,0.16975037079866262,0.24087375046279155
scene-0003_CAM_FRONT_cd908fdc_6180726f,seed0,5276,2193,8229,63860,79558,13505,7469,0.3360937699069945,0.7063863971080466,0.3906701221769715,0.03320061163005465,0.16975037079866262,0.553054424287301
scene-0003_CAM_FRONT_cd908fdc_6180726f,seed1,5571,3813,7934,62240,79558,13505,9384,0.32168841667629056,0.5936700767263428,0.41251388374676046,0.05772637124733169,0.16975037079866262,0.6948537578674565
