clip_id,method,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
08_000000_000020_s5,mapper,16244,45283,91473,1390038,1543038,107717,61527,0.10616993464052288,0.26401417263965415,0.1508025659830853,0.031549040249533034,0.06980839097935372,0.5711911768801582
08_000000_000020_s5,dilation,53236,199307,54481,1236014,1543038,107717,252543,0.1733936109229246,0.21079974499392182,0.49422096790664427,0.13885883366856613,0.06980839097935372,2.344504581449539
08_000000_000020_s5,seed0,59489,260707,48228,1174614,1543038,107717,320196,0.161468851106334,0.18578932903596548,0.5522712292395815,0.18163672098436517,0.06980839097935372,2.972567004279733
08_000000_000020_s5,seed1,63269,313734,44448,1121587,1543038,107717,377003,0.15012184097320921,0.16782094572191733,0.5873631831558621,0.21858107001848368,0.06980839097935372,3.499939656693001
08_000000_000020_s5,seed2,63323,240940,44394,1194381,1543038,107717,304263,0.18161975810036798,0.20811929153396896,0.5878644967832376,0.16786488876007527,0.06980839097935372,2.8246516334469027
08_000025_000045_s5,mapper,11953,26100,59563,1481880,1579496,71516,38053,0.12244918865759712,0.3141145244790161,0.16713742379327703,0.01730792185572753,0.045277734163302726,0.532090720957548
08_000025_000045_s5,dilation,26069,118415,45447,1389565,1579496,71516,144484,0.13725510843411554,0.18042828271642536,0.36451982773085745,0.0785255772622979,0.045277734163302726,2.0203031489456906
08_000025_000045_s5,seed0,34316,306733,37200,1201247,1579496,71516,341049,0.0907233066049084,0.1006189726402951,0.47983667990379775,0.20340654385336676,0.045277734163302726,4.768848928911013
08_000025_000045_s5,seed1,35803,347275,35713,1160705,1579496,71516,383078,0.0854913309980396,0.09346138384349924,0.500629229822697,0.23029151580259685,0.045277734163302726,5.3565356004250795
08_000025_000045_s5,seed2,36210,267421,35306,1240559,1579496,71516,303631,0.10683401340072049,0.11925659764648537,0.5063202639968678,0.17733723258929163,0.045277734163302726,4.245637339895968
08_000050_000070_s5,mapper,18119,22723,110424,1684801,1836067,128543,40842,0.11978237012944085,0.4436364526712698,0.14095672265311998,0.013307572836457936,0.07000997240296787,0.31773025368942687
08_000050_000070_s5,dilation,48083,129610,80460,1577914,1836067,128543,177693,0.18625776186989887,0.2705959154271693,0.37406159806446093,0.07590522885769102,0.07000997240296787,1.3823623223357164
08_000050_000070_s5,seed0,52727,226548,75816,1480976,1836067,128543,279275,0.14848869726351838,0.18879957031599678,0.4101895863640961,0.13267631963006082,0.07000997240296787,2.1726192791517236
08_000050_000070_s5,seed1,64480,314514,64063,1393010,1836067,128543,378994,0.14553432176898232,0.17013461954542816,0.5016220253144862,0.18419301866328086,0.07000997240296787,2.948383031359156
08_000050_000070_s5,seed2,65372,217282,63171,1490242,1836067,128543,282654,0.1890320248680691,0.23127923185237073,0.5085613374512808,0.12724974875902184,0.07000997240296787,2.1989062025936845
08_000075_000095_s5,mapper,16385,20890,80428,1640325,1758028,96813,37275,0.1392063074008309,0.43957075788061706,0.1692437999029056,0.012575133260896392,0.055069088774467756,0.3850206067366986
08_000075_000095_s5,dilation,41336,112134,55477,1549081,1758028,96813,153470,0.19783007174068065,0.26934254251645273,0.4269674527181267,0.06750119641346845,0.055069088774467756,1.5852209930484542
08_000075_000095_s5,seed0,63099,258257,33714,1402958,1758028,96813,321356,0.17770862083532823,0.1963523319931789,0.651761643580924,0.15546271855238486,0.055069088774467756,3.319347608275748
08_000075_000095_s5,seed1,64367,316733,32446,1344482,1758028,96813,381100,0.15564653025298275,0.16889792705326687,0.6648590581843348,0.19066346017824304,0.055069088774467756,3.9364548149525374
08_000075_000095_s5,seed2,65004,222811,31809,1438404,1758028,96813,287815,0.20337646734913523,0.22585341278251655,0.671438753060023,0.13412532393459003,0.055069088774467756,2.972896201956349
