clip_id,method,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
scene-0003_CAM_FRONT_fd842039_f56a5440,mapper,237,231,11759,66171,78398,11996,468,0.01938333197022982,0.5064102564102564,0.019756585528509504,0.003478810879190386,0.1530141075027424,0.03901300433477826
scene-0003_CAM_FRONT_fd842039_f56a5440,dilation,1266,1236,10730,65166,78398,11996,2502,0.09567714631197098,0.5059952038369304,0.1055351783927976,0.018613897171771934,0.1530141075027424,0.20856952317439145
scene-0003_CAM_FRONT_fd842039_f56a5440,seed0,4701,1816,7295,64586,78398,11996,6517,0.3403562119895743,0.7213441767684518,0.3918806268756252,0.027348573838137404,0.1530141075027424,0.5432644214738246
scene-0003_CAM_FRONT_fd842039_f56a5440,seed1,4719,3548,7277,62854,78398,11996,8267,0.30358980957282555,0.5708237571065683,0.39338112704234746,0.0534321255383874,0.1530141075027424,0.6891463821273758
scene-0003_CAM_FRONT_fd842039_f56a5440,seed2,4551,1663,7445,64739,78398,11996,6214,0.33318690972984844,0.732378500160927,0.3793764588196065,0.025044426372699616,0.1530141075027424,0.5180060020006669
scene-0633_CAM_FRONT_9fde5c65_22a2197b,mapper,40,111,8165,26266,34582,8205,151,0.00481000481000481,0.26490066225165565,0.004875076173065204,0.004208211699586761,0.23726215950494478,0.018403412553321147
scene-0633_CAM_FRONT_9fde5c65_22a2197b,dilation,194,342,8011,26035,34582,8205,536,0.022698022698022697,0.3619402985074627,0.02364411943936624,0.012965841452780832,0.23726215950494478,0.06532602071907373
scene-0633_CAM_FRONT_9fde5c65_22a2197b,seed0,2220,222,5985,26155,34582,8205,2442,0.26343894624421504,0.9090909090909091,0.27056672760511885,0.008416423399173522,0.23726215950494478,0.29762340036563073
scene-0633_CAM_FRONT_9fde5c65_22a2197b,seed1,2584,205,5621,26172,34582,8205,2789,0.30725326991676577,0.9264969523126568,0.3149299207800122,0.00777192250824582,0.23726215950494478,0.33991468616697135
scene-0633_CAM_FRONT_9fde5c65_22a2197b,seed2,2269,199,5936,26178,34582,8205,2468,0.26999048072346504,0.9193679092382496,0.2765386959171237,0.007544451605565455,0.23726215950494478,0.3007921998781231
scene-1073_CAM_FRONT_f9b33fd3_f0ee73d4,mapper,8,0,6757,10828,17593,6765,8,0.0011825572801182557,1.0,0.0011825572801182557,0.0,0.384527937247769,0.0011825572801182557
scene-1073_CAM_FRONT_f9b33fd3_f0ee73d4,dilation,224,0,6541,10828,17593,6765,224,0.03311160384331116,1.0,0.03311160384331116,0.0,0.384527937247769,0.03311160384331116
scene-1073_CAM_FRONT_f9b33fd3_f0ee73d4,seed0,519,227,6246,10601,17593,6765,746,0.07422768878718536,0.6957104557640751,0.07671840354767184,0.020964166974510527,0.384527937247769,0.11027346637102735
scene-1073_CAM_FRONT_f9b33fd3_f0ee73d4,seed1,852,631,5913,10197,17593,6765,1483,0.11519740400216333,0.5745111260957518,0.12594235033259424,0.05827484299963059,0.384527937247769,0.21921655580192165
scene-1073_CAM_FRONT_f9b33fd3_f0ee73d4,seed2,863,629,5902,10199,17593,6765,1492,0.11671625642412767,0.5784182305630027,0.12756836659275683,0.05809013668267455,0.384527937247769,0.2205469327420547
