clip_id,method,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
08_000000_000020_s5,mapper,16244,45778,91473,1393587,1547082,107717,62022,0.10582755138603864,0.26190706523491664,0.1508025659830853,0.0318043025917679,0.06962591510986489,0.5757865517977664
08_000000_000020_s5,dilation,53236,201030,54481,1238335,1547082,107717,254266,0.172425966891986,0.20937128833583726,0.49422096790664427,0.13966575538518722,0.06962591510986489,2.3605001995970922
08_000000_000020_s5,seed0,59489,262480,48228,1176885,1547082,107717,321969,0.16069552157364864,0.18476623525867397,0.5522712292395815,0.1823581926752422,0.06962591510986489,2.9890268017118933
08_000000_000020_s5,seed1,63269,315756,44448,1123609,1547082,107717,379025,0.1494050388100304,0.1669256645340017,0.5873631831558621,0.21937173684228808,0.06962591510986489,3.5187110669625037
08_000000_000020_s5,seed2,63323,243245,44394,1196120,1547082,107717,306568,0.1804269408084066,0.20655450014352444,0.5878644967832376,0.1689946608400232,0.06962591510986489,2.84605029846728
08_000025_000045_s5,mapper,11953,26903,59563,1485190,1583609,71516,38856,0.12145012649996444,0.30762301832406835,0.16713742379327703,0.017791895075236774,0.04516013738239679,0.5433189775714525
08_000025_000045_s5,dilation,26069,119984,45447,1392109,1583609,71516,146053,0.13613054830287205,0.1784900002054049,0.36451982773085745,0.07934961672331,0.04516013738239679,2.0422422954303934
08_000025_000045_s5,seed0,34316,309341,37200,1202752,1583609,71516,343657,0.09010205930309802,0.09985537905527896,0.47983667990379775,0.2045780252934178,0.04516013738239679,4.805316292857542
08_000025_000045_s5,seed1,35803,349841,35713,1162252,1583609,71516,385644,0.08497070180393348,0.09283951001441744,0.500629229822697,0.23136209214644868,0.04516013738239679,5.392415683203758
08_000025_000045_s5,seed2,36210,270049,35306,1242044,1583609,71516,306259,0.10601203284879891,0.11823326008378529,0.5063202639968678,0.1785928511010897,0.04516013738239679,4.282384361541474
08_000050_000070_s5,mapper,18119,23010,110424,1686787,1838340,128543,41129,0.11955553502735017,0.4405407376790099,0.14095672265311998,0.013457737965384195,0.0699234091626141,0.3199629695899427
08_000050_000070_s5,dilation,48083,130857,80460,1578940,1838340,128543,178940,0.18536237471087125,0.2687101821839723,0.37406159806446093,0.07653364697680484,0.0699234091626141,1.3920633562309888
08_000050_000070_s5,seed0,52727,227303,75816,1482494,1838340,128543,280030,0.14817364815116651,0.18829054029925366,0.4101895863640961,0.13294151293984022,0.0699234091626141,2.1784928000746833
08_000050_000070_s5,seed1,64480,315286,64063,1394511,1838340,128543,379766,0.14528117811138974,0.16978876466034348,0.5016220253144862,0.18439966849865802,0.0699234091626141,2.9543888037466064
08_000050_000070_s5,seed2,65372,218136,63171,1491661,1838340,128543,283508,0.1885663683118966,0.23058255851686724,0.5085613374512808,0.1275800577495457,0.0699234091626141,2.2055498938098537
08_000075_000095_s5,mapper,16385,20991,80428,1640675,1758479,96813,37376,0.1390869579980306,0.4383829195205479,0.1692437999029056,0.012632502560683073,0.05505496511473836,0.3860638550607873
08_000075_000095_s5,dilation,41336,112398,55477,1549268,1758479,96813,153734,0.19758043315122054,0.2688800135298633,0.4269674527181267,0.06764175231364185,0.05505496511473836,1.5879478995589436
08_000075_000095_s5,seed0,63099,258485,33714,1403181,1758479,96813,321584,0.1775945825757533,0.19621312005572417,0.651761643580924,0.1555577354293823,0.05505496511473836,3.3217026638984435
08_000075_000095_s5,seed1,64367,316951,32446,1344715,1758479,96813,381318,0.15556452470490426,0.1688013678871703,0.6648590581843348,0.1907429050121986,0.05505496511473836,3.9387065786619564
08_000075_000095_s5,seed2,65004,222976,31809,1438690,1758479,96813,287980,0.2032715321665223,0.22572400861170916,0.671438753060023,0.13418821833027816,0.05505496511473836,2.9746005185254045
08_000100_000120_s5,mapper,18048,18895,122742,1513639,1673324,140790,36943,0.1130225130726117,0.48853639390412257,0.12819092265075643,0.012329253380349146,0.08413791949437169,0.26239789757795295
08_000100_000120_s5,dilation,43663,105938,97127,1426596,1673324,140790,149601,0.1769681592685062,0.29186302230600064,0.3101285602670644,0.06912603570295993,0.08413791949437169,1.062582569784786
08_000100_000120_s5,seed0,47171,230911,93619,1301623,1673324,140790,278082,0.12690576565572867,0.16962982141958127,0.3350451026351303,0.15067267675627424,0.08413791949437169,1.9751544854037928
08_000100_000120_s5,seed1,47898,230929,92892,1301605,1673324,140790,278827,0.1288553988362177,0.17178393771047998,0.34020882164926486,0.15068442200956064,0.08413791949437169,1.9804460544072733
08_000100_000120_s5,seed2,50726,230014,90064,1302520,1673324,140790,280740,0.13680003451958447,0.1806867564294365,0.3602954755309326,0.1500873716341693,0.08413791949437169,1.994033667163861
08_000125_000145_s5,mapper,16024,13662,171482,1413170,1614338,187506,29686,0.07965481587528832,0.5397830627231691,0.08545859865817627,0.009575058591340816,0.11615039725261996,0.1583202670847866
08_000125_000145_s5,dilation,40960,95151,146546,1331681,1614338,187506,136111,0.14491061604701105,0.30093085790274116,0.21844634305035573,0.06668689796696457,0.11615039725261996,0.7259021044659905
08_000125_000145_s5,seed0,47514,221733,139992,1205099,1614338,187506,269247,0.11610330393730803,0.17646993281262185,0.2533998912034815,0.15540231786222905,0.11615039725261996,1.4359380499824006
08_000125_000145_s5,seed1,51596,230467,135910,1196365,1614338,187506,282063,0.12344338031403942,0.1829236730801275,0.27516986123110726,0.16152357110017157,0.11615039725261996,1.5042878627883907
08_000125_000145_s5,seed2,56743,184810,130763,1242022,1614338,187506,241553,0.15240548351400424,0.23490910897401399,0.30261964950454917,0.12952470928602666,0.11615039725261996,1.2882414429404925
08_000150_000170_s5,mapper,14696,12929,159860,1407575,1595060,174556,27625,0.0783849374616636,0.5319819004524887,0.08419074680904695,0.009101699115243604,0.10943538174112573,0.1582586677054928
08_000150_000170_s5,dilation,56815,77368,117741,1343136,1595060,174556,134183,0.2255243644908782,0.4234142924215437,0.3254829395724008,0.05446517574044142,0.10943538174112573,0.7687103279176883
08_000150_000170_s5,seed0,56622,279324,117934,1141180,1595060,174556,335946,0.12475103551599542,0.1685449447232591,0.32437727720616877,0.19663724987750827,0.10943538174112573,1.9245743486331035
08_000150_000170_s5,seed1,54266,278282,120290,1142222,1595060,174556,332548,0.11983534950688768,0.16318245787074348,0.3108801759893673,0.19590370741652258,0.10943538174112573,1.905107816402759
08_000150_000170_s5,seed2,56895,255946,117661,1164558,1595060,174556,312841,0.1321596647634622,0.18186554831368013,0.32594124521643486,0.1801797108631866,0.10943538174112573,1.792209949815532
08_000175_000195_s5,mapper,20524,22783,124485,1472407,1640199,145009,43307,0.12231810813388004,0.47391876601935023,0.1415360425904599,0.015237528340879755,0.08840939422594453,0.29865042859408725
08_000175_000195_s5,dilation,60065,110019,84944,1385171,1640199,145009,170084,0.235523158241448,0.35314903224289174,0.41421566937224585,0.07358195279529692,0.08840939422594453,1.1729203014985277
08_000175_000195_s5,seed0,56691,297852,88318,1197338,1640199,145009,354543,0.12801082055091778,0.15989879929937975,0.3909481480459834,0.19920678977253728,0.08840939422594453,2.444972381024626
08_000175_000195_s5,seed1,57329,239497,87680,1255693,1640199,145009,296826,0.1490978034152913,0.19314008880623665,0.39534787495948526,0.1601783050983487,0.08840939422594453,2.0469488100738573
08_000175_000195_s5,seed2,58535,292619,86474,1202571,1640199,145009,351154,0.1337551527781586,0.16669324569846847,0.4036646001282679,0.19570690012640535,0.08840939422594453,2.4216014178430303
08_000200_000220_s5,mapper,15319,11579,135026,1508235,1670159,150345,26898,0.09460611150910303,0.5695218975388505,0.10189231434367621,0.007618695445626899,0.09001837549598571,0.17890851042602016
08_000200_000220_s5,dilation,53168,77798,97177,1442016,1670159,150345,130966,0.23304681712785402,0.4059679611502222,0.3536399614220626,0.051189158673363974,0.09001837549598571,0.8711031294688882
08_000200_000220_s5,seed0,40269,225099,110076,1294715,1670159,150345,265368,0.10725700770287978,0.15174776159898706,0.26784395889454254,0.14810957130280417,0.09001837549598571,1.7650603611693105
08_000200_000220_s5,seed1,43653,252884,106692,1266930,1670159,150345,296537,0.10825858259202586,0.14720928585640242,0.29035218996308493,0.16639141368614843,0.09001837549598571,1.9723768665402908
08_000200_000220_s5,seed2,44394,183372,105951,1336442,1670159,150345,227766,0.13302888375479824,0.19491056610732066,0.29528085403571785,0.12065423795280211,0.09001837549598571,1.5149556021151351
08_000225_000245_s5,mapper,21412,14322,134143,1508056,1677933,155555,35734,0.12604413781736198,0.5992052387082331,0.13764906303236799,0.009407650399572249,0.09270632379242795,0.22971939185497092
08_000225_000245_s5,dilation,44311,91792,111244,1430586,1677933,155555,136103,0.17914508767035783,0.32556960537240176,0.2848574459194497,0.060295143518889524,0.09270632379242795,0.8749509819677928
08_000225_000245_s5,seed0,48349,191339,107206,1331039,1677933,155555,239688,0.13937687016783226,0.20171639798404592,0.3108161100575359,0.12568429128639536,0.09270632379242795,1.5408569316318987
08_000225_000245_s5,seed1,55951,252718,99604,1269660,1677933,155555,308669,0.1370431059609624,0.18126536840434251,0.35968628459387353,0.1660021361317623,0.09270632379242795,1.9843078010992896
08_000225_000245_s5,seed2,59994,210102,95561,1312276,1677933,155555,270096,0.16407179405836617,0.22212102363604053,0.38567709170389897,0.13800908841299597,0.09270632379242795,1.7363376297772493
08_000250_000270_s5,mapper,14377,16548,139018,1376607,1546550,153395,30925,0.08459895376685124,0.46489894907033147,0.09372534958766583,0.011878075303896552,0.0991852833726682,0.20160370285863294
08_000250_000270_s5,dilation,34657,83069,118738,1310086,1546550,153395,117726,0.14656353609851816,0.2943869663455821,0.22593304866521072,0.05962653114692909,0.0991852833726682,0.767469604615535
08_000250_000270_s5,seed0,42688,182340,110707,1210815,1546550,153395,225028,0.12714789938493157,0.18970083722914483,0.2782880797939959,0.13088278045156498,0.0991852833726682,1.4669839303758272
08_000250_000270_s5,seed1,48458,229897,104937,1163258,1546550,153395,278355,0.1264258059129854,0.17408704711609277,0.31590338668144335,0.16501896773869382,0.0991852833726682,1.8146288992470418
08_000250_000270_s5,seed2,51558,182528,101837,1210627,1546550,153395,234086,0.15348160143842488,0.2202523858752766,0.336112650347143,0.13101772595296288,0.0991852833726682,1.5260340949835391
08_000275_000295_s5,mapper,11417,10975,116947,1581203,1720542,128364,22392,0.08193685902726444,0.5098695962843873,0.08894238259948273,0.00689307351313735,0.07460672276526815,0.17444143217724595
08_000275_000295_s5,dilation,36559,76492,91805,1515686,1720542,128364,113051,0.1784619439996876,0.3233850209197619,0.2848072668349381,0.04804236712226899,0.07460672276526815,0.8807064285936868
08_000275_000295_s5,seed0,60737,298372,67627,1293806,1720542,128364,359109,0.14232921525252146,0.169132491806109,0.47316225733071576,0.1873986451263615,0.07460672276526815,2.797583434607834
08_000275_000295_s5,seed1,58835,308218,69529,1283960,1720542,128364,367053,0.13476277079678045,0.16029020332213603,0.4583450188526378,0.19358262706807908,0.07460672276526815,2.859469944844349
08_000275_000295_s5,seed2,60440,247863,67924,1344315,1720542,128364,308303,0.16064769407830912,0.1960409078082276,0.4708485245084292,0.15567543327442032,0.07460672276526815,2.401787105418965
08_000300_000320_s5,mapper,13136,22202,115902,1554956,1706196,129038,35338,0.0868553292779688,0.3717244892184051,0.1017994699235884,0.014077219910750857,0.07562906020175876,0.27385731334955593
08_000300_000320_s5,dilation,42351,112287,86687,1464871,1706196,129038,154638,0.17549362892365067,0.2738718814262988,0.3282056448488042,0.0711957838085975,0.07562906020175876,1.1983911715928641
08_000300_000320_s5,seed0,43036,305376,86002,1271782,1706196,129038,348412,0.09906678882356462,0.12352042983594136,0.33351415861994144,0.19362422788331923,0.07562906020175876,2.700072846758319
08_000300_000320_s5,seed1,43440,266216,85598,1310942,1706196,129038,309656,0.10990401109160186,0.14028470302529258,0.3366450192966413,0.1687947561373052,0.07562906020175876,2.3997272121390596
08_000300_000320_s5,seed2,41527,302685,87511,1274473,1706196,129038,344212,0.09618899155245378,0.12064367308519168,0.3218199290131589,0.19191799426563477,0.07562906020175876,2.667524295168865
08_000325_000345_s5,mapper,15405,22980,133430,1503150,1674965,148835,38385,0.08966039053633268,0.4013286440015631,0.10350388013572076,0.01505769495390301,0.08885857316421537,0.25790304699835387
08_000325_000345_s5,dilation,41777,117477,107058,1408653,1674965,148835,159254,0.15687239027907116,0.26232936064400264,0.2806933852924379,0.0769770596213953,0.08885857316421537,1.070003695367353
08_000325_000345_s5,seed0,57135,230667,91700,1295463,1674965,148835,287802,0.15055256625788532,0.19852190047324203,0.38388147949071116,0.1511450531737139,0.08885857316421537,1.933698390835489
08_000325_000345_s5,seed1,58792,239566,90043,1286564,1674965,148835,298358,0.15136933221078216,0.19705186386823884,0.39501461349816913,0.15697614226835196,0.08885857316421537,2.004622568616253
08_000325_000345_s5,seed2,60493,227950,88342,1298180,1674965,148835,288443,0.16055044654113088,0.20972254483554809,0.4064433768938758,0.14936473301750178,0.08885857316421537,1.9380051735142942
08_000350_000370_s5,mapper,14034,17825,134595,1372464,1538918,148629,31859,0.08431158157809365,0.4405034684076713,0.09442302646186142,0.01282107533038095,0.0965801946562455,0.21435251532338911
08_000350_000370_s5,dilation,37539,108820,111090,1281469,1538918,148629,146359,0.1458114034235907,0.2564857644558927,0.25256847586944675,0.07827149607024152,0.0965801946562455,0.9847270721057129
08_000350_000370_s5,seed0,43452,189735,105177,1200554,1538918,148629,233187,0.12841791679965953,0.18633971876648356,0.29235209817734087,0.1364716256835809,0.0965801946562455,1.5689199281432291
08_000350_000370_s5,seed1,47031,208358,101598,1181931,1538918,148629,255389,0.13174429320955666,0.18415436843403593,0.316432190218598,0.14986668239481143,0.0965801946562455,1.7182985823762522
08_000350_000370_s5,seed2,47610,152680,101019,1237609,1538918,148629,200290,0.15801054731189576,0.2377053272754506,0.3203277960559514,0.10981889376956877,0.0965801946562455,1.3475835805932894
08_000375_000395_s5,mapper,12616,21754,85067,1613250,1732687,97683,34370,0.10562890896455872,0.36706430026185627,0.12915246255745627,0.013305166225893025,0.05637659888947052,0.35185242058495336
08_000375_000395_s5,dilation,30482,131366,67201,1503638,1732687,97683,161848,0.13308069452387916,0.18833720527902723,0.31205020320833715,0.08034598080493993,0.05637659888947052,1.6568696702599224
08_000375_000395_s5,seed0,33099,340487,64584,1294517,1732687,97683,373586,0.07553917429308259,0.0885980738036222,0.33884094468843096,0.20824842018735124,0.05637659888947052,3.8244730403447886
08_000375_000395_s5,seed1,35443,363105,62240,1271899,1732687,97683,398548,0.07691823571794404,0.08893031705089474,0.3628369317076666,0.22208202548739941,0.05637659888947052,4.080013922586325
08_000375_000395_s5,seed2,36738,306543,60945,1328461,1732687,97683,343281,0.0908848020661709,0.10702019628234595,0.3760941003040447,0.1874876147091995,0.05637659888947052,3.514234820797887
08_000400_000420_s5,mapper,9592,19513,136448,1466479,1632032,146040,29105,0.05793914939626585,0.3295653667754681,0.06568063544234456,0.013131295457849032,0.08948353953844042,0.19929471377704738
08_000400_000420_s5,dilation,28487,100706,117553,1385286,1632032,146040,129193,0.1154507063944299,0.22049956266980408,0.1950629964393317,0.067770216797937,0.08948353953844042,0.8846411941933717
08_000400_000420_s5,seed0,52931,197119,93109,1288873,1632032,146040,250050,0.1542462823355937,0.21168166366726654,0.36244179676800875,0.1326514543819886,0.08948353953844042,1.712202136400986
08_000400_000420_s5,seed1,48906,270417,97134,1215575,1632032,146040,319323,0.11743349253344283,0.153155269116224,0.3348808545603944,0.1819774265271953,0.08948353953844042,2.186544782251438
08_000400_000420_s5,seed2,57035,188531,89005,1297461,1632032,146040,245566,0.17047203732541075,0.2322593518646718,0.3905436866611887,0.12687215005195182,0.08948353953844042,1.681498219665845
08_000425_000445_s5,mapper,10768,15630,147233,1404708,1578339,158001,26398,0.06201657538112434,0.40790969012804,0.06815146739577597,0.011004422890889352,0.10010587079201616,0.16707489193106373
08_000425_000445_s5,dilation,27462,81970,130539,1338368,1578339,158001,109432,0.11443882802505302,0.2509503618685576,0.17380902652514857,0.05771161512259758,0.10010587079201616,0.6926032113720799
08_000425_000445_s5,seed0,48855,137197,109146,1283141,1578339,158001,186052,0.16549908874721372,0.2625878786575796,0.3092069037537737,0.09659461339483982,0.10010587079201616,1.1775368510325883
08_000425_000445_s5,seed1,53388,193480,104613,1226858,1578339,158001,246868,0.15189441250024896,0.21626132184001168,0.33789659559116714,0.13622109666853946,0.10010587079201616,1.5624458073050171
08_000425_000445_s5,seed2,54575,147657,103426,1272681,1578339,158001,202232,0.17854922822239236,0.2698633252897662,0.34540920627084637,0.10395905763276066,0.10010587079201616,1.2799412661945178
08_000450_000470_s5,mapper,13265,17946,97526,1435424,1564161,110791,31211,0.10303953020499157,0.4250104129954183,0.11972994196279481,0.012347853609197932,0.0708309438734248,0.28171060826240396
08_000450_000470_s5,dilation,36359,90144,74432,1363226,1564161,110791,126503,0.18094906312986786,0.2874161087088844,0.32817647642859077,0.06202412324459704,0.0708309438734248,1.141816573548393
08_000450_000470_s5,seed0,46415,261832,64376,1191538,1564161,110791,308247,0.1245628960101765,0.15057729677823303,0.4189419718208158,0.18015508783035292,0.0708309438734248,2.782238629491565
08_000450_000470_s5,seed1,50017,270230,60774,1183140,1564161,110791,320247,0.13127097981476088,0.15618257157756357,0.45145363793087884,0.18593338241466384,0.0708309438734248,2.8905506764989934
08_000450_000470_s5,seed2,49448,211132,61343,1242238,1564161,110791,260580,0.15360194829198287,0.1897613017115665,0.4463178417019433,0.14527064684147878,0.0708309438734248,2.351996100766308
08_000475_000495_s5,mapper,19696,49306,78276,1347736,1495014,97972,69002,0.1337334836160187,0.28544100171009534,0.2010370309884457,0.03529314079319018,0.06553249668564977,0.7043032703221328
08_000475_000495_s5,dilation,40745,201790,57227,1195252,1495014,97972,242535,0.13592450010341536,0.1679963716576989,0.41588413015963743,0.14444089726722603,0.06553249668564977,2.475554239986935
08_000475_000495_s5,seed0,45668,304781,52304,1092261,1495014,97972,350449,0.11338959610480866,0.1303128272587452,0.4661331809088311,0.21816165870460588,0.06553249668564977,3.5770322132854284
08_000475_000495_s5,seed1,50695,268753,47277,1128289,1495014,97972,319448,0.13823709864339764,0.158695624953044,0.517443759441473,0.19237288499558353,0.06553249668564977,3.2606050708365655
08_000475_000495_s5,seed2,48425,278112,49547,1118930,1495014,97972,326537,0.12876112783314367,0.14829866140743622,0.4942738741681297,0.199072039351716,0.06553249668564977,3.3329624790756545
08_000500_000520_s5,mapper,13234,23011,91520,1063409,1191174,104754,36245,0.10358079286189488,0.3651262243068009,0.12633407793497145,0.021180574731687562,0.08794181202746199,0.3460011073562823
