dataset,seed,lo,hi,unmasked_pred_occupied,scored_pred_occupied,valid,all_voxels,added_tp,added_fp
semantickitti,0,-inf,0,47668258,16210348,47483708,106823680,4705572,8156002
semantickitti,0,0,1,1599254,1080898,33484420,53411840,196871,333908
semantickitti,0,1,2,1238455,925345,38266151,53411840,45255,331281
semantickitti,0,2,3,1218002,1101787,47549712,53411840,8196,476767
semantickitti,0,3,inf,25567547,25252545,73021147,74776576,3776,24519893
semantickitti,1,-inf,0,49286576,17136762,47483708,106823680,5041298,8720579
semantickitti,1,0,1,1919176,1273858,33484420,53411840,233720,476843
semantickitti,1,1,2,1333393,985339,38266151,53411840,45731,366046
semantickitti,1,2,3,1415731,1272517,47549712,53411840,10176,623858
semantickitti,1,3,inf,25974872,25575847,73021147,74776576,4823,24837410
semantickitti,2,-inf,0,50083162,17328741,47483708,106823680,5115419,8827304
semantickitti,2,0,1,1773331,1222371,33484420,53411840,216384,431338
semantickitti,2,1,2,1287844,969060,38266151,53411840,46363,343958
semantickitti,2,2,3,1358031,1229548,47549712,53411840,9722,578848
semantickitti,2,3,inf,20054428,19772567,73021147,74776576,4173,19039715
occ3d,0,-inf,0,94041223,2515822,2606911,94560000,1940292,189536
occ3d,0,0,1,6853731,1520486,8804473,141840000,609251,177651
occ3d,0,1,2,1388340,402072,10272723,94560000,40579,163688
occ3d,0,2,3,1410669,452109,15900371,141840000,38217,157304
occ3d,0,3,inf,58164889,1589916,14511136,283680000,476883,822297
occ3d,1,-inf,0,94174995,2544415,2606911,94560000,1968442,189994
occ3d,1,0,1,6854147,1586742,8804473,141840000,650333,206041
occ3d,1,1,2,1479596,440927,10272723,94560000,42435,201040
occ3d,1,2,3,1488268,485006,15900371,141840000,35773,191565
occ3d,1,3,inf,106152769,2691162,14511136,283680000,756013,1648355
occ3d,2,-inf,0,94028468,2509875,2606911,94560000,1934658,189207
occ3d,2,0,1,7008763,1462578,8804473,141840000,572234,151332
occ3d,2,1,2,1170198,353321,10272723,94560000,34513,114167
occ3d,2,2,3,1201218,407912,15900371,141840000,32318,113740
occ3d,2,3,inf,59489292,1472311,14511136,283680000,442899,740307
