clip_id,method,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
scene-0003_CAM_FRONT_fd842039_f56a5440,occany_raw,3236,5031,8760,61371,78398,11996,8267,0.19005109531919892,0.39143582920043546,0.2697565855285095,0.07576579018704256,0.1530141075027424,0.6891463821273758
scene-0003_CAM_FRONT_fd842039_f56a5440,occany_pool_then_mask,4206,10663,7790,55739,78398,11996,14869,0.1856216073083543,0.28287040150649,0.3506168722907636,0.16058251257492245,0.1530141075027424,1.2394964988329442
scene-0003_CAM_FRONT_fd842039_f56a5440,seed0_raw,4699,2292,7297,64110,78398,11996,6991,0.32887737961926095,0.6721499070233157,0.3917139046348783,0.03451703261949941,0.1530141075027424,0.5827775925308436
scene-0003_CAM_FRONT_fd842039_f56a5440,seed0_pool_then_mask,7950,7788,4046,58614,78398,11996,15738,0.4018398706025071,0.5051467784979031,0.6627209069689897,0.11728562392699016,0.1530141075027424,1.3119373124374791
scene-0003_CAM_FRONT_fd842039_f56a5440,seed1_raw,4999,4190,6997,62212,78398,11996,9189,0.3088471518596318,0.5440200239416694,0.41672224074691566,0.06310050902081263,0.1530141075027424,0.7660053351117039
scene-0003_CAM_FRONT_fd842039_f56a5440,seed1_pool_then_mask,8051,11194,3945,55208,78398,11996,19245,0.3471755066839155,0.4183424266043128,0.671140380126709,0.16857925966085358,0.1530141075027424,1.6042847615871958
scene-0003_CAM_FRONT_fd842039_f56a5440,seed2_raw,4626,2113,7370,64289,78398,11996,6739,0.3278758239421646,0.6864519958450809,0.3856285428476159,0.03182133068281076,0.1530141075027424,0.5617705901967323
scene-0003_CAM_FRONT_fd842039_f56a5440,seed2_pool_then_mask,7861,7541,4135,58861,78398,11996,15402,0.40236474381941956,0.5103882612647708,0.655301767255752,0.11356585645010693,0.1530141075027424,1.2839279759919973
scene-0003_CAM_FRONT_f286cdae_21b99feb,occany_raw,2411,4750,9517,63534,80212,11928,7161,0.14456169804532917,0.3366848205557883,0.2021294433266264,0.0695624157928651,0.14870592928738843,0.6003521126760564
scene-0003_CAM_FRONT_f286cdae_21b99feb,occany_pool_then_mask,3932,9712,7996,58572,80212,11928,13644,0.18170055452865064,0.288185282908238,0.32964453386988596,0.1422295120379591,0.14870592928738843,1.1438631790744467
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed0_raw,5431,2074,6497,66210,80212,11928,7505,0.3878731609770033,0.7236508994003997,0.4553152246814219,0.03037314744303204,0.14870592928738843,0.6291918175720993
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed0_pool_then_mask,8393,7207,3535,61077,80212,11928,15600,0.43862032923961325,0.5380128205128205,0.7036384976525821,0.10554449065666921,0.14870592928738843,1.3078470824949697
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed1_raw,5500,3894,6428,64390,80212,11928,9394,0.34761724181519404,0.585480093676815,0.46109993293091883,0.05702653623103509,0.14870592928738843,0.7875586854460094
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed1_pool_then_mask,8417,9981,3511,58303,80212,11928,18398,0.3841800173444703,0.45749537993260136,0.7056505700871898,0.1461689414797024,0.14870592928738843,1.5424211938296446
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed2_raw,5313,1908,6615,66376,80212,11928,7221,0.38399826539462273,0.7357706688824263,0.4454225352112676,0.027942124070060335,0.14870592928738843,0.6053822937625755
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed2_pool_then_mask,8226,6660,3702,61624,80212,11928,14886,0.44254357650096837,0.5525997581620314,0.6896378269617707,0.09753382930115401,0.14870592928738843,1.2479879275653925
scene-0003_CAM_FRONT_cd908fdc_6180726f,occany_raw,3044,2896,10461,63157,79558,13505,5940,0.1855984391195659,0.5124579124579125,0.22539800074046648,0.04384358015532981,0.16975037079866262,0.43983709737134397
scene-0003_CAM_FRONT_cd908fdc_6180726f,occany_pool_then_mask,3841,6799,9664,59254,79558,13505,10640,0.18917454688731283,0.36099624060150376,0.28441318030359125,0.10293249360362133,0.16975037079866262,0.7878563495001851
scene-0003_CAM_FRONT_cd908fdc_6180726f,seed0_raw,5229,1631,8276,64422,79558,13505,6860,0.3454677589852008,0.7622448979591837,0.3871899296556831,0.024692292552949902,0.16975037079866262,0.5079600148093298
scene-0003_CAM_FRONT_cd908fdc_6180726f,seed0_pool_then_mask,8966,5809,4539,60244,79558,13505,14775,0.4642228435331884,0.6068358714043993,0.6639022584228064,0.08794452939306314,0.16975037079866262,1.0940392447241762
scene-0003_CAM_FRONT_cd908fdc_6180726f,seed1_raw,5423,3333,8082,62720,79558,13505,8756,0.32206912935027915,0.6193467336683417,0.4015549796371714,0.05045947950887923,0.16975037079866262,0.6483524620510922
scene-0003_CAM_FRONT_cd908fdc_6180726f,seed1_pool_then_mask,9168,8442,4337,57611,79558,13505,17610,0.417733631020185,0.5206132879045997,0.6788596815994076,0.12780645845003255,0.16975037079866262,1.3039614957423176
scene-0003_CAM_FRONT_cd908fdc_6180726f,seed2_raw,5405,1399,8100,64654,79558,13505,6804,0.3626543209876543,0.7943856554967667,0.40022213994816735,0.021179961546031217,0.16975037079866262,0.5038134024435394
scene-0003_CAM_FRONT_cd908fdc_6180726f,seed2_pool_then_mask,8942,5223,4563,60830,79558,13505,14165,0.4774668944895344,0.6312742675608896,0.6621251388374676,0.07907286572903577,0.16975037079866262,1.048870788596816
scene-0003_CAM_FRONT_1ac0914c_e617edf7,occany_raw,2781,1890,10852,62886,78409,13633,4671,0.17915351414030792,0.5953757225433526,0.20399031761167755,0.029177473138199333,0.17387034651634378,0.3426245140467982
scene-0003_CAM_FRONT_1ac0914c_e617edf7,occany_pool_then_mask,3397,5016,10236,59760,78409,13633,8413,0.18215453911737894,0.40377986449542375,0.24917479644979096,0.07743608743979252,0.17387034651634378,0.617105552703
scene-0003_CAM_FRONT_1ac0914c_e617edf7,seed0_raw,5086,1404,8547,63372,78409,13633,6490,0.33823236017822705,0.7836671802773497,0.3730653561211766,0.02167469433123379,0.17387034651634378,0.4760507591872662
scene-0003_CAM_FRONT_1ac0914c_e617edf7,seed0_pool_then_mask,8812,4970,4821,59806,78409,13633,13782,0.47368703972477555,0.6393847046872733,0.6463727719504144,0.07672594788193159,0.17387034651634378,1.010929362576102
scene-0003_CAM_FRONT_1ac0914c_e617edf7,seed1_raw,4983,3308,8650,61468,78409,13633,8291,0.294138480609173,0.6010131467856712,0.3655101591725959,0.05106829690008645,0.17387034651634378,0.6081566786473996
