clip_id,method,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
08_000000_000020_s5,occany_raw,49721,76460,57996,1358861,1543038,107717,126181,0.26996313329025884,0.39404506225184455,0.46158916419878016,0.05327031374863184,0.06980839097935372,1.171412126219631
08_000000_000020_s5,occany_pool_then_mask,58324,129647,49393,1305674,1543038,107717,187971,0.24571544126320757,0.3102819051875023,0.5414558519082411,0.09032613610474591,0.06980839097935372,1.7450448861368215
08_000000_000020_s5,seed0_raw,58436,271023,49281,1164298,1543038,107717,329459,0.15429054232454983,0.17736956647109353,0.5424956135057605,0.18882396342002938,0.06980839097935372,3.058560858546005
08_000000_000020_s5,seed0_pool_then_mask,73398,427416,34319,1007905,1543038,107717,500814,0.13715842603614428,0.1465574045454001,0.6813966226315252,0.29778425871285935,0.06980839097935372,4.6493496848222655
08_000000_000020_s5,seed1_raw,62436,291591,45281,1143730,1543038,107717,354027,0.15636050367135143,0.17635943021294986,0.5796299562743114,0.2031538589625596,0.06980839097935372,3.2866399918304445
08_000000_000020_s5,seed1_pool_then_mask,75648,443171,32069,992150,1543038,107717,518819,0.1373201086246206,0.145808075648733,0.7022846904388351,0.3087608973881104,0.06980839097935372,4.816500645209206
08_000000_000020_s5,seed2_raw,62959,235305,44758,1200016,1543038,107717,298264,0.1835421634763951,0.21108481077166538,0.5844852715912994,0.16393893770104387,0.06980839097935372,2.7689594028797684
08_000000_000020_s5,seed2_pool_then_mask,75678,387266,32039,1048055,1543038,107717,462944,0.15289009925593405,0.16347117577935993,0.7025631980095992,0.2698114219745966,0.06980839097935372,4.29778029466101
08_000025_000045_s5,occany_raw,13330,74490,58186,1433490,1579496,71516,87820,0.09129761790611345,0.1517877476656798,0.1863918563678058,0.04939720685950742,0.045277734163302726,1.2279769562056044
08_000025_000045_s5,occany_pool_then_mask,18279,127939,53237,1380041,1579496,71516,146218,0.09164473189441227,0.12501196843069937,0.25559315397952903,0.0848413108927174,0.045277734163302726,2.044549471446949
08_000025_000045_s5,seed0_raw,31024,334338,40492,1173642,1579496,71516,365362,0.07644128184026769,0.08491304514426788,0.4338050226522736,0.22171248955556438,0.045277734163302726,5.1088148106717375
08_000025_000045_s5,seed0_pool_then_mask,39973,482954,31543,1025026,1579496,71516,522927,0.07209226829224304,0.07644087989336944,0.5589378600592875,0.32026552076287484,0.045277734163302726,7.312028077632977
08_000025_000045_s5,seed1_raw,30569,373952,40947,1134028,1579496,71516,404521,0.06862221304336114,0.07556838829133716,0.42744281000055934,0.24798206872770195,0.045277734163302726,5.656370602382683
08_000025_000045_s5,seed1_pool_then_mask,39791,519770,31725,988210,1579496,71516,559561,0.0672956910868852,0.07111110316837664,0.5563929749986017,0.3446796376609769,0.045277734163302726,7.824277084848146
08_000025_000045_s5,seed2_raw,31376,284718,40140,1223262,1579496,71516,316094,0.0880769381923118,0.09926161205211108,0.4387269981542592,0.18880754386662954,0.045277734163302726,4.419906035013144
08_000025_000045_s5,seed2_pool_then_mask,40095,433789,31421,1074191,1579496,71516,473884,0.07934811648410366,0.08460931367170024,0.5606437720230438,0.28766230321357045,0.045277734163302726,6.6262654510878685
08_000050_000070_s5,occany_raw,44845,59097,83698,1648427,1836067,128543,103942,0.238994883820081,0.4314425352600489,0.3488715838279797,0.03460976243964946,0.07000997240296787,0.8086165718864504
08_000050_000070_s5,occany_pool_then_mask,56132,109309,72411,1598215,1836067,128543,165441,0.23599549299564435,0.33928711746181417,0.43667877675174843,0.06401608410774899,0.07000997240296787,1.2870479139276352
08_000050_000070_s5,seed0_raw,59110,256735,69433,1450789,1836067,128543,315845,0.15342168512087376,0.18714875967642355,0.4598461215313164,0.15035513410060414,0.07000997240296787,2.4571155177644837
