clip_id,historical_valid,corrected_valid,excluded_falsely_free
scene-0003_CAM_FRONT_fd842039_f56a5440,78398,78398,0
scene-0003_CAM_FRONT_f286cdae_21b99feb,80212,80212,0
scene-0003_CAM_FRONT_cd908fdc_6180726f,79558,79558,0
scene-0003_CAM_FRONT_1ac0914c_e617edf7,78409,78409,0
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,71898,71898,0
scene-0003_CAM_FRONT_c1ab33c3_57a79294,71826,71826,0
scene-0012_CAM_FRONT_88a090c5_20a871df,65672,65672,0
scene-0012_CAM_FRONT_c51b9abd_745713b3,55579,55579,0
scene-0012_CAM_FRONT_d34f2eec_5254163f,40300,40300,0
scene-0012_CAM_FRONT_62697033_a2d86049,48418,48418,0
scene-0012_CAM_FRONT_114d8a1f_b76ef036,52786,52786,0
scene-0012_CAM_FRONT_5e8e7172_56a8812e,52653,52653,0
scene-0013_CAM_FRONT_b9c60cfa_31815eed,68679,68679,0
scene-0013_CAM_FRONT_b2329c1f_e30a3a96,71726,71726,0
scene-0013_CAM_FRONT_61361625_a32eb5c0,76228,76228,0
scene-0013_CAM_FRONT_4635c393_6b506fcb,67618,67618,0
scene-0013_CAM_FRONT_da5566fe_9a7dc9c8,57923,57923,0
scene-0013_CAM_FRONT_7184209f_867689f9,54536,54536,0
scene-0014_CAM_FRONT_43cfc03b_3fa89fab,77638,77638,0
scene-0014_CAM_FRONT_96237b21_2da9ed79,78271,78271,0
scene-0014_CAM_FRONT_d703cae6_6a53a53e,78889,78889,0
scene-0014_CAM_FRONT_65e61ba2_907c55da,74465,74465,0
scene-0014_CAM_FRONT_23e22334_ce60545b,64453,64453,0
scene-0014_CAM_FRONT_e8953eb6_303119a4,56115,56115,0
scene-0015_CAM_FRONT_234b0f37_f405bf53,54862,54862,0
scene-0015_CAM_FRONT_061805d6_dca60e24,53879,53879,0
scene-0015_CAM_FRONT_e18b1aef_c99f5e4f,58289,58289,0
scene-0015_CAM_FRONT_54f30ff0_07ccc904,58039,58039,0
scene-0015_CAM_FRONT_985f2f38_2c63d07c,49768,49768,0
scene-0015_CAM_FRONT_d6b547f2_c9b7e76f,36812,36812,0
scene-0016_CAM_FRONT_fbd3aa20_581b3ac0,69668,69668,0
scene-0016_CAM_FRONT_9234bbf8_30b94629,55561,55561,0
scene-0016_CAM_FRONT_7ac3bb7f_1fe2834e,61967,61967,0
scene-0016_CAM_FRONT_4d53a5c4_48de6a86,78075,78075,0
scene-0016_CAM_FRONT_381fe530_49ae81f8,72883,72883,0
scene-0016_CAM_FRONT_52c853ea_856952a1,48471,48471,0
scene-0017_CAM_FRONT_134c7f63_4b4c3bc5,59102,59102,0
scene-0017_CAM_FRONT_0966ed2d_3adeaa8b,62221,62221,0
scene-0017_CAM_FRONT_6413a3e2_ef661945,70875,70875,0
scene-0017_CAM_FRONT_f274b48b_b4bff2b0,66996,66996,0
scene-0017_CAM_FRONT_3425c661_2a271f85,46392,46392,0
scene-0017_CAM_FRONT_9a476217_ce130b56,26902,26902,0
scene-0018_CAM_FRONT_f0e47975_248f5231,82860,82860,0
scene-0018_CAM_FRONT_06cc9133_1cc4743f,79852,79852,0
scene-0018_CAM_FRONT_72f030bd_b66b4277,81954,81954,0
scene-0018_CAM_FRONT_6611e3ee_81f15cce,67386,67386,0
scene-0018_CAM_FRONT_dbffcc96_b1736070,48302,48302,0
scene-0018_CAM_FRONT_3c23cd7c_bb99cbc0,34110,34110,0
scene-0035_CAM_FRONT_d62b0f9d_020154f4,67413,67413,0
scene-0035_CAM_FRONT_a3d2c3ca_40ead2f4,79101,79101,0
scene-0035_CAM_FRONT_cc71e504_57267f4d,65558,65558,0
scene-0035_CAM_FRONT_af571c22_5dda1ef8,64062,64062,0
scene-0035_CAM_FRONT_7b86bda4_50a05815,62313,62313,0
scene-0035_CAM_FRONT_25a5a54c_c0e4b101,51158,51158,0
scene-0036_CAM_FRONT_e1b5c775_856ccc62,50125,50125,0
scene-0036_CAM_FRONT_e63b5804_7bd9965f,49431,49431,0
scene-0036_CAM_FRONT_978a0782_96d66c41,49257,49257,0
scene-0036_CAM_FRONT_6f8d7a92_ca08ecf4,69138,69138,0
scene-0036_CAM_FRONT_f8d77275_07a6e4ff,73094,73094,0
scene-0036_CAM_FRONT_139bce92_50082a94,63384,63384,0
scene-0038_CAM_FRONT_0f39f34f_e15862d8,40819,40819,0
scene-0038_CAM_FRONT_86958f43_aa7d1414,36768,36768,0
scene-0038_CAM_FRONT_70b93dd3_d65e5cdd,32374,32374,0
scene-0038_CAM_FRONT_abe76951_b3537c46,33707,33707,0
scene-0038_CAM_FRONT_398ab542_ead06ddf,52104,52104,0
scene-0038_CAM_FRONT_378dd188_740e48ba,50225,50225,0
scene-0039_CAM_FRONT_15c59626_7c8ce823,54039,54039,0
scene-0039_CAM_FRONT_d7f3a1ff_17dd14b1,56940,56940,0
scene-0039_CAM_FRONT_9397c89e_3357eff7,42821,42821,0
scene-0039_CAM_FRONT_23cd0004_b024c299,47922,47922,0
scene-0039_CAM_FRONT_edc5f9bd_3c693de8,55333,55333,0
scene-0039_CAM_FRONT_02b68afc_4b247d4d,55397,55397,0
scene-0092_CAM_FRONT_8e46878c_774f588f,58391,58391,0
scene-0092_CAM_FRONT_8d966583_1259283e,58686,58686,0
scene-0092_CAM_FRONT_38bde806_9c2cb01f,47350,47350,0
scene-0092_CAM_FRONT_1ecb668f_75023dda,45683,45683,0
scene-0092_CAM_FRONT_38c0c7b3_c3ab884d,54080,54080,0
