clip_id,historical_valid,corrected_valid,excluded_falsely_free
08_000000_000020_s5,1547082,1543038,4044
08_000025_000045_s5,1583609,1579496,4113
08_000050_000070_s5,1838340,1836067,2273
08_000075_000095_s5,1758479,1758028,451
08_000100_000120_s5,1673324,1672932,392
08_000125_000145_s5,1614338,1613473,865
08_000150_000170_s5,1595060,1593729,1331
08_000175_000195_s5,1640199,1638793,1406
08_000200_000220_s5,1670159,1669126,1033
08_000225_000245_s5,1677933,1677335,598
08_000250_000270_s5,1546550,1546012,538
08_000275_000295_s5,1720542,1720129,413
08_000300_000320_s5,1706196,1705567,629
08_000325_000345_s5,1674965,1674665,300
08_000350_000370_s5,1538918,1538895,23
08_000375_000395_s5,1732687,1732016,671
08_000400_000420_s5,1632032,1632032,0
08_000425_000445_s5,1578339,1577483,856
08_000450_000470_s5,1564161,1562380,1781
08_000475_000495_s5,1495014,1493133,1881
08_000500_000520_s5,1191174,1188842,2332
08_000525_000545_s5,1408152,1406514,1638
08_000550_000570_s5,1411732,1410235,1497
08_000575_000595_s5,1243503,1239978,3525
08_000600_000620_s5,1327689,1324007,3682
08_000625_000645_s5,1324938,1323610,1328
08_000650_000670_s5,1352280,1351494,786
08_000675_000695_s5,1451224,1450377,847
08_000700_000720_s5,1441317,1440751,566
08_000725_000745_s5,1524794,1523401,1393
08_000750_000770_s5,1447534,1446232,1302
08_000775_000795_s5,1641078,1639069,2009
08_000800_000820_s5,1376513,1374959,1554
08_000825_000845_s5,1368599,1366244,2355
08_000850_000870_s5,1380635,1377999,2636
08_000875_000895_s5,1334418,1331079,3339
08_000900_000920_s5,1233756,1230891,2865
08_000925_000945_s5,1331447,1330198,1249
08_000950_000970_s5,1546149,1542663,3486
08_000975_000995_s5,1559381,1555501,3880
08_001000_001020_s5,1693825,1690126,3699
08_001025_001045_s5,1639557,1639140,417
08_001050_001070_s5,1401836,1401021,815
08_001075_001095_s5,1577511,1576092,1419
08_001100_001120_s5,1378061,1376718,1343
08_001125_001145_s5,1300236,1298629,1607
08_001150_001170_s5,1219840,1217535,2305
08_001175_001195_s5,1198804,1197318,1486
08_001200_001220_s5,1277838,1276781,1057
08_001225_001245_s5,1383619,1382830,789
08_001250_001270_s5,1564174,1562723,1451
08_001275_001295_s5,1537113,1535572,1541
08_001300_001320_s5,1475963,1474499,1464
08_001325_001345_s5,1520800,1520392,408
08_001350_001370_s5,1414923,1414080,843
08_001375_001395_s5,1530436,1529120,1316
08_001400_001420_s5,1432701,1431696,1005
08_001425_001445_s5,1599602,1598684,918
08_001450_001470_s5,1379305,1378465,840
08_001475_001495_s5,1489245,1488087,1158
08_001500_001520_s5,1395479,1394318,1161
08_001525_001545_s5,1568936,1567819,1117
08_001550_001570_s5,1597412,1596901,511
08_001575_001595_s5,1914007,1913497,510
08_001600_001620_s5,1876412,1875410,1002
08_001625_001645_s5,1642656,1640365,2291
08_001650_001670_s5,1681494,1679600,1894
08_001675_001695_s5,1684696,1683692,1004
08_001700_001720_s5,1763403,1763110,293
08_001725_001745_s5,1633474,1632136,1338
08_001750_001770_s5,1853970,1851543,2427
08_001775_001795_s5,1711230,1706178,5052
08_001800_001820_s5,1743340,1740408,2932
08_001825_001845_s5,1399794,1396507,3287
08_001850_001870_s5,1625896,1624141,1755
08_001875_001895_s5,1548721,1548032,689
08_001900_001920_s5,1246050,1245596,454
08_001925_001945_s5,1140040,1138990,1050
08_001950_001970_s5,1190563,1189105,1458
08_001975_001995_s5,1114589,1113173,1416
08_002000_002020_s5,1074958,1073543,1415
08_002025_002045_s5,1180092,1178345,1747
08_002050_002070_s5,1279322,1277730,1592
08_002075_002095_s5,1149858,1148356,1502
08_002100_002120_s5,1069013,1068651,362
08_002125_002145_s5,1201610,1201392,218
08_002150_002170_s5,881597,880911,686
08_002175_002195_s5,1287684,1287241,443
08_002200_002220_s5,1240874,1239992,882
08_002225_002245_s5,1239532,1238991,541
08_002250_002270_s5,1297600,1296909,691
08_002275_002295_s5,1117610,1117030,580
08_002300_002320_s5,1311818,1309136,2682
08_002325_002345_s5,1241067,1236988,4079
08_002350_002370_s5,1312404,1307792,4612
08_002375_002395_s5,1184620,1181214,3406
08_002400_002420_s5,1496651,1493924,2727
08_002425_002445_s5,1203923,1201187,2736
08_002450_002470_s5,1299579,1296588,2991
08_002475_002495_s5,1038872,1035851,3021
08_002500_002520_s5,1085008,1080483,4525
08_002525_002545_s5,1355372,1351442,3930
08_002550_002570_s5,1256735,1252636,4099
08_002575_002595_s5,1230004,1225627,4377
08_002600_002620_s5,1520064,1516489,3575
08_002625_002645_s5,1535285,1531913,3372
08_002650_002670_s5,1761610,1758831,2779
08_002675_002695_s5,1712921,1710420,2501
08_002700_002720_s5,1680757,1678821,1936
08_002725_002745_s5,1760968,1759319,1649
08_002750_002770_s5,1597865,1595526,2339
08_002775_002795_s5,1645973,1644448,1525
08_002800_002820_s5,1582418,1581143,1275
08_002825_002845_s5,1613906,1611907,1999
08_002850_002870_s5,1786593,1781413,5180
08_002875_002895_s5,1819785,1810701,9084
08_002900_002920_s5,1737372,1725529,11843
08_002925_002945_s5,1854348,1844611,9737
08_002950_002970_s5,1696472,1688267,8205
08_002975_002995_s5,1665633,1658124,7509
08_003000_003020_s5,1728264,1725570,2694
08_003025_003045_s5,1635085,1633489,1596
08_003050_003070_s5,1357653,1355437,2216
08_003075_003095_s5,1322353,1320988,1365
08_003100_003120_s5,1365548,1365234,314
08_003125_003145_s5,1470685,1470601,84
08_003150_003170_s5,1447454,1447130,324
08_003175_003195_s5,1426258,1425960,298
08_003200_003220_s5,1348837,1348107,730
08_003225_003245_s5,1470189,1469735,454
08_003250_003270_s5,1393594,1393403,191
08_003275_003295_s5,1446682,1445609,1073
08_003300_003320_s5,1292679,1291150,1529
08_003325_003345_s5,1283089,1282241,848
08_003350_003370_s5,1197154,1196849,305
08_003375_003395_s5,916761,916480,281
08_003400_003420_s5,1621707,1621323,384
08_003425_003445_s5,1374259,1373036,1223
08_003450_003470_s5,1453792,1452991,801
08_003475_003495_s5,1446434,1445344,1090
08_003500_003520_s5,1314798,1312854,1944
08_003525_003545_s5,1476773,1472851,3922
08_003550_003570_s5,1534554,1529402,5152
08_003575_003595_s5,1263521,1259160,4361
08_003600_003620_s5,1445637,1444121,1516
08_003625_003645_s5,1391092,1389627,1465
08_003650_003670_s5,1417713,1415895,1818
08_003675_003695_s5,1468662,1466783,1879
08_003700_003720_s5,1384738,1383176,1562
08_003725_003745_s5,1856744,1855390,1354
08_003750_003770_s5,1609527,1605632,3895
08_003775_003795_s5,1581943,1577975,3968
08_003800_003820_s5,1350941,1348205,2736
08_003825_003845_s5,1590932,1587122,3810
08_003850_003870_s5,1553344,1550202,3142
08_003875_003895_s5,1355349,1350928,4421
08_003900_003920_s5,1330077,1327468,2609
08_003925_003945_s5,1508730,1507044,1686
08_003950_003970_s5,1540750,1539190,1560
08_003975_003995_s5,1730668,1729275,1393
08_004000_004020_s5,1736765,1735263,1502
