dataset,seed,z_m,predicted,total
semantickitti,0,-1.9,63915,65536
semantickitti,0,-1.7,65536,65536
semantickitti,0,-1.5,65536,65536
semantickitti,0,-1.2999999999999998,65291,65536
semantickitti,0,-1.1,62784,65536
semantickitti,0,-0.8999999999999999,0,65536
semantickitti,0,-0.7,0,65536
semantickitti,0,-0.5,0,65536
semantickitti,0,-0.2999999999999998,0,65536
semantickitti,0,-0.09999999999999987,0,65536
semantickitti,0,0.10000000000000009,0,65536
semantickitti,0,0.30000000000000027,0,65536
semantickitti,0,0.5,0,65536
semantickitti,0,0.7000000000000002,0,65536
semantickitti,0,0.9000000000000004,0,65536
semantickitti,0,1.1,0,65536
semantickitti,0,1.3000000000000003,0,65536
semantickitti,0,1.5,0,65536
semantickitti,0,1.7000000000000002,0,65536
semantickitti,0,1.9000000000000004,0,65536
semantickitti,0,2.1000000000000005,0,65536
semantickitti,0,2.3,0,65536
semantickitti,0,2.5,0,65536
semantickitti,0,2.7,0,65536
semantickitti,0,2.9000000000000004,0,65536
semantickitti,0,3.1000000000000005,0,65536
semantickitti,0,3.3000000000000007,0,65536
semantickitti,0,3.5,0,65536
semantickitti,0,3.7,3,65536
semantickitti,0,3.9000000000000004,2710,65536
semantickitti,0,4.1000000000000005,65011,65536
semantickitti,0,4.300000000000001,64989,65536
semantickitti,1,-1.9,64758,65536
semantickitti,1,-1.7,65521,65536
semantickitti,1,-1.5,65534,65536
semantickitti,1,-1.2999999999999998,65025,65536
semantickitti,1,-1.1,8717,65536
semantickitti,1,-0.8999999999999999,0,65536
semantickitti,1,-0.7,0,65536
semantickitti,1,-0.5,0,65536
semantickitti,1,-0.2999999999999998,0,65536
semantickitti,1,-0.09999999999999987,0,65536
semantickitti,1,0.10000000000000009,0,65536
semantickitti,1,0.30000000000000027,0,65536
semantickitti,1,0.5,0,65536
semantickitti,1,0.7000000000000002,0,65536
semantickitti,1,0.9000000000000004,0,65536
semantickitti,1,1.1,0,65536
semantickitti,1,1.3000000000000003,0,65536
semantickitti,1,1.5,0,65536
semantickitti,1,1.7000000000000002,0,65536
semantickitti,1,1.9000000000000004,0,65536
semantickitti,1,2.1000000000000005,0,65536
semantickitti,1,2.3,0,65536
semantickitti,1,2.5,0,65536
semantickitti,1,2.7,0,65536
semantickitti,1,2.9000000000000004,0,65536
semantickitti,1,3.1000000000000005,0,65536
semantickitti,1,3.3000000000000007,363,65536
semantickitti,1,3.5,734,65536
semantickitti,1,3.7,1479,65536
semantickitti,1,3.9000000000000004,7130,65536
semantickitti,1,4.1000000000000005,63880,65536
semantickitti,1,4.300000000000001,62234,65536
semantickitti,2,-1.9,65536,65536
semantickitti,2,-1.7,65536,65536
semantickitti,2,-1.5,65536,65536
semantickitti,2,-1.2999999999999998,65534,65536
semantickitti,2,-1.1,5187,65536
semantickitti,2,-0.8999999999999999,7,65536
semantickitti,2,-0.7,0,65536
semantickitti,2,-0.5,0,65536
semantickitti,2,-0.2999999999999998,0,65536
semantickitti,2,-0.09999999999999987,0,65536
semantickitti,2,0.10000000000000009,0,65536
semantickitti,2,0.30000000000000027,0,65536
semantickitti,2,0.5,0,65536
semantickitti,2,0.7000000000000002,0,65536
semantickitti,2,0.9000000000000004,0,65536
semantickitti,2,1.1,0,65536
semantickitti,2,1.3000000000000003,0,65536
semantickitti,2,1.5,0,65536
semantickitti,2,1.7000000000000002,0,65536
semantickitti,2,1.9000000000000004,0,65536
semantickitti,2,2.1000000000000005,0,65536
semantickitti,2,2.3,0,65536
semantickitti,2,2.5,0,65536
semantickitti,2,2.7,0,65536
semantickitti,2,2.9000000000000004,0,65536
semantickitti,2,3.1000000000000005,0,65536
semantickitti,2,3.3000000000000007,28,65536
semantickitti,2,3.5,1221,65536
semantickitti,2,3.7,41400,65536
semantickitti,2,3.9000000000000004,64265,65536
semantickitti,2,4.1000000000000005,65533,65536
semantickitti,2,4.300000000000001,65533,65536
occ3d,0,-0.8,40000,40000
occ3d,0,-0.3999999999999999,40000,40000
occ3d,0,0.0,39213,40000
occ3d,0,0.40000000000000013,0,40000
occ3d,0,0.8,0,40000
occ3d,0,1.2000000000000002,0,40000
occ3d,0,1.6,0,40000
occ3d,0,2.0,0,40000
occ3d,0,2.4000000000000004,0,40000
occ3d,0,2.8000000000000003,0,40000
occ3d,0,3.2,0,40000
occ3d,0,3.6000000000000005,0,40000
occ3d,0,4.0,0,40000
occ3d,0,4.4,0,40000
occ3d,0,4.800000000000001,1563,40000
occ3d,0,5.2,39805,40000
occ3d,1,-0.8,40000,40000
occ3d,1,-0.3999999999999999,40000,40000
occ3d,1,0.0,3068,40000
occ3d,1,0.40000000000000013,0,40000
occ3d,1,0.8,0,40000
occ3d,1,1.2000000000000002,0,40000
occ3d,1,1.6,0,40000
occ3d,1,2.0,0,40000
occ3d,1,2.4000000000000004,0,40000
occ3d,1,2.8000000000000003,0,40000
occ3d,1,3.2,0,40000
occ3d,1,3.6000000000000005,0,40000
occ3d,1,4.0,0,40000
occ3d,1,4.4,389,40000
occ3d,1,4.800000000000001,3958,40000
occ3d,1,5.2,39792,40000
occ3d,2,-0.8,40000,40000
occ3d,2,-0.3999999999999999,40000,40000
occ3d,2,0.0,2742,40000
occ3d,2,0.40000000000000013,0,40000
occ3d,2,0.8,0,40000
occ3d,2,1.2000000000000002,0,40000
occ3d,2,1.6,0,40000
occ3d,2,2.0,0,40000
occ3d,2,2.4000000000000004,0,40000
occ3d,2,2.8000000000000003,0,40000
occ3d,2,3.2,0,40000
occ3d,2,3.6000000000000005,0,40000
occ3d,2,4.0,0,40000
occ3d,2,4.4,772,40000
occ3d,2,4.800000000000001,39799,40000
occ3d,2,5.2,40000,40000
