case_id,condition,region,tp,fp,fn,tn,valid,occupied,free,iou,fpr
00004,A,all,10037,51833,9338,178464,249672,19375,230297,0.1409532636782384,0.22507023539168985
00004,A,boundary,4242,12998,681,5121,23042,4923,18119,0.23670554098543609,0.7173685081958165
00004,A,interior,609,2417,2930,64346,70302,3539,66763,0.10224983210208194,0.036202687117115766
00004,B,all,7142,24839,12233,205458,249672,19375,230297,0.16153254625231828,0.10785637676565478
00004,B,boundary,3733,9731,1190,8388,23042,4923,18119,0.25474273235976524,0.5370605441801424
00004,B,interior,759,2874,2780,63889,70302,3539,66763,0.1183533447684391,0.04304779593487411
00889,A,all,8363,21409,27597,310439,367808,35960,331848,0.14577559309034496,0.0645144765073166
00889,A,boundary,1827,2818,577,5547,10769,2404,8365,0.34986595174262736,0.33687985654512853
00889,A,interior,637,3682,11730,190577,206626,12367,194259,0.039690946476415974,0.01895407677379169
00889,B,all,4876,17965,31084,313883,367808,35960,331848,0.09042188224385721,0.05413623104553892
00889,B,boundary,964,2067,1440,6298,10769,2404,8365,0.21561171997316037,0.24710101613867305
00889,B,interior,1080,5538,11287,188721,206626,12367,194259,0.06031834683049427,0.028508331660309173
01771,A,all,5077,20904,11342,223007,260330,16419,243911,0.1360287222356188,0.08570339181094744
01771,A,boundary,2134,2814,133,4222,9303,2267,7036,0.419996063766975,0.3999431495167709
01771,A,interior,1,1033,4768,107053,112855,4769,108086,0.0001723543605653223,0.009557204448309679
01771,B,all,1025,8327,15394,235584,260330,16419,243911,0.041420835690616664,0.034139501703490206
01771,B,boundary,286,743,1981,6293,9303,2267,7036,0.09501661129568106,0.10559977259806709
01771,B,interior,29,2029,4740,106057,112855,4769,108086,0.004265960576640188,0.018772088892178452
pooled,A,all,23477,94146,48277,711910,877810,71754,806056,0.14151295961422544,0.11679833659199856
pooled,A,boundary,8203,18630,1391,14890,43114,9594,33520,0.2906391723356009,0.5557875894988067
pooled,A,interior,1247,7132,19428,361976,389783,20675,369108,0.04484482324594526,0.01932225798411305
pooled,B,all,13043,51131,58711,754925,877810,71754,806056,0.10613988688611303,0.0634335579661959
pooled,B,boundary,4983,12541,4611,20979,43114,9594,33520,0.22511859046758528,0.3741348448687351
pooled,B,interior,1868,10441,18807,358667,389783,20675,369108,0.060033423319192696,0.028287113798671392
