case_id,condition,z_index,z_m,unmasked_occupied,all_voxels,unmasked_fraction,scored_occupied,valid,scored_fraction
00004,A,0,-1.9,64641,65536,0.9863433837890625,6475,6666,0.9713471347134713
00004,A,1,-1.7,64269,65536,0.9806671142578125,9794,10401,0.9416402269012595
00004,A,2,-1.5,63712,65536,0.97216796875,14699,16134,0.9110573943225486
00004,A,3,-1.2999999999999998,61614,65536,0.940155029296875,16080,19447,0.8268627551807477
00004,A,4,-1.1,10503,65536,0.1602630615234375,4553,20158,0.22586566127592023
00004,A,5,-0.8999999999999999,4377,65536,0.0667877197265625,2040,19995,0.10202550637659415
00004,A,6,-0.7,3346,65536,0.051055908203125,1496,19468,0.07684405177727553
00004,A,7,-0.5,2773,65536,0.0423126220703125,1202,18956,0.06341000211014983
00004,A,8,-0.2999999999999998,2423,65536,0.0369720458984375,1003,18877,0.05313344281400646
00004,A,9,-0.09999999999999987,2163,65536,0.0330047607421875,1027,18193,0.05645028307590832
00004,A,10,0.10000000000000009,2074,65536,0.031646728515625,932,18486,0.05041653142918966
00004,A,11,0.30000000000000027,1869,65536,0.0285186767578125,875,18167,0.04816425386690153
00004,A,12,0.5,1829,65536,0.0279083251953125,846,17367,0.04871307652444291
00004,A,13,0.7000000000000002,1691,65536,0.0258026123046875,618,13070,0.04728385615914307
00004,A,14,0.9000000000000004,1698,65536,0.025909423828125,218,7164,0.030429927414852037
00004,A,15,1.1,1563,65536,0.0238494873046875,12,3715,0.003230148048452221
00004,A,16,1.3000000000000003,1519,65536,0.0231781005859375,0,1828,0.0
00004,A,17,1.5,1354,65536,0.020660400390625,0,1019,0.0
00004,A,18,1.7000000000000002,1252,65536,0.01910400390625,0,395,0.0
00004,A,19,1.9000000000000004,1051,65536,0.0160369873046875,0,143,0.0
00004,A,20,2.1000000000000005,1052,65536,0.01605224609375,0,23,0.0
00004,A,21,2.3,1021,65536,0.0155792236328125,0,0,
00004,A,22,2.5,1118,65536,0.017059326171875,0,0,
00004,A,23,2.7,1140,65536,0.01739501953125,0,0,
00004,A,24,2.9000000000000004,1341,65536,0.0204620361328125,0,0,
00004,A,25,3.1000000000000005,1421,65536,0.0216827392578125,0,0,
00004,A,26,3.3000000000000007,2310,65536,0.035247802734375,0,0,
00004,A,27,3.5,3275,65536,0.0499725341796875,0,0,
00004,A,28,3.7,6906,65536,0.105377197265625,0,0,
00004,A,29,3.9000000000000004,58383,65536,0.8908538818359375,0,0,
00004,A,30,4.1000000000000005,63630,65536,0.970916748046875,0,0,
00004,A,31,4.300000000000001,64783,65536,0.9885101318359375,0,0,
00004,B,0,-1.9,59819,65536,0.9127655029296875,5478,6666,0.8217821782178217
00004,B,1,-1.7,55896,65536,0.8529052734375,7201,10401,0.6923372752619941
00004,B,2,-1.5,7872,65536,0.1201171875,2882,16134,0.17862898227345977
00004,B,3,-1.2999999999999998,5679,65536,0.0866546630859375,2365,19447,0.12161258805985499
00004,B,4,-1.1,4688,65536,0.071533203125,2035,20158,0.10095247544399245
00004,B,5,-0.8999999999999999,4208,65536,0.064208984375,1836,19995,0.09182295573893473
00004,B,6,-0.7,3966,65536,0.060516357421875,1686,19468,0.08660365728374769
00004,B,7,-0.5,3603,65536,0.0549774169921875,1489,18956,0.0785503270732222
00004,B,8,-0.2999999999999998,3445,65536,0.0525665283203125,1400,18877,0.07416432695873285
00004,B,9,-0.09999999999999987,3171,65536,0.0483856201171875,1344,18193,0.07387456714120816
00004,B,10,0.10000000000000009,3041,65536,0.0464019775390625,1218,18486,0.0658876987990912
00004,B,11,0.30000000000000027,2754,65536,0.042022705078125,1082,18167,0.05955854021027137
00004,B,12,0.5,2641,65536,0.0402984619140625,1001,17367,0.05763804917372027
00004,B,13,0.7000000000000002,2521,65536,0.0384674072265625,719,13070,0.0550114766641163
00004,B,14,0.9000000000000004,2526,65536,0.038543701171875,232,7164,0.03238414293690676
00004,B,15,1.1,2423,65536,0.0369720458984375,13,3715,0.0034993270524899056
00004,B,16,1.3000000000000003,2459,65536,0.0375213623046875,0,1828,0.0
00004,B,17,1.5,2361,65536,0.0360260009765625,0,1019,0.0
00004,B,18,1.7000000000000002,2402,65536,0.036651611328125,0,395,0.0
00004,B,19,1.9000000000000004,2145,65536,0.0327301025390625,0,143,0.0
00004,B,20,2.1000000000000005,2096,65536,0.031982421875,0,23,0.0
00004,B,21,2.3,2062,65536,0.031463623046875,0,0,
00004,B,22,2.5,2113,65536,0.0322418212890625,0,0,
00004,B,23,2.7,1789,65536,0.0272979736328125,0,0,
00004,B,24,2.9000000000000004,1667,65536,0.0254364013671875,0,0,
00004,B,25,3.1000000000000005,1512,65536,0.0230712890625,0,0,
00004,B,26,3.3000000000000007,1435,65536,0.0218963623046875,0,0,
00004,B,27,3.5,1045,65536,0.0159454345703125,0,0,
00004,B,28,3.7,699,65536,0.0106658935546875,0,0,
00004,B,29,3.9000000000000004,431,65536,0.0065765380859375,0,0,
00004,B,30,4.1000000000000005,300,65536,0.00457763671875,0,0,
00004,B,31,4.300000000000001,282,65536,0.004302978515625,0,0,
00889,A,0,-1.9,65534,65536,0.999969482421875,1246,1246,1.0
00889,A,1,-1.7,65496,65536,0.9993896484375,2947,2966,0.9935940660822656
00889,A,2,-1.5,64739,65536,0.9878387451171875,5702,6368,0.8954145728643216
00889,A,3,-1.2999999999999998,57946,65536,0.884185791015625,6719,9808,0.6850530179445351
00889,A,4,-1.1,4346,65536,0.066314697265625,2050,14653,0.13990309151709548
00889,A,5,-0.8999999999999999,3023,65536,0.0461273193359375,1544,17323,0.08913005830398892
00889,A,6,-0.7,2447,65536,0.0373382568359375,1363,18576,0.07337424633936261
00889,A,7,-0.5,2068,65536,0.03155517578125,1400,20826,0.06722366272928071
00889,A,8,-0.2999999999999998,1713,65536,0.0261383056640625,1187,22504,0.05274617845716317
00889,A,9,-0.09999999999999987,1534,65536,0.023406982421875,995,23971,0.04150848942472154
00889,A,10,0.10000000000000009,1417,65536,0.0216217041015625,908,25749,0.03526350537884967
00889,A,11,0.30000000000000027,1273,65536,0.0194244384765625,804,26327,0.03053899039009382
00889,A,12,0.5,1251,65536,0.0190887451171875,655,25762,0.025425044639391353
00889,A,13,0.7000000000000002,1155,65536,0.0176239013671875,481,25499,0.018863484842542844
00889,A,14,0.9000000000000004,1003,65536,0.0153045654296875,424,25706,0.016494203687854977
00889,A,15,1.1,782,65536,0.011932373046875,373,24460,0.015249386753883891
00889,A,16,1.3000000000000003,664,65536,0.0101318359375,312,21413,0.014570587960584691
00889,A,17,1.5,582,65536,0.008880615234375,144,17967,0.008014693604942395
00889,A,18,1.7000000000000002,471,65536,0.0071868896484375,147,13581,0.010823945217583389
00889,A,19,1.9000000000000004,337,65536,0.0051422119140625,119,9436,0.012611275964391691
00889,A,20,2.1000000000000005,311,65536,0.0047454833984375,101,5927,0.017040661380124854
00889,A,21,2.3,274,65536,0.004180908203125,79,3770,0.020954907161803715
00889,A,22,2.5,270,65536,0.004119873046875,52,2104,0.024714828897338403
00889,A,23,2.7,257,65536,0.0039215087890625,19,973,0.019527235354573486
00889,A,24,2.9000000000000004,428,65536,0.00653076171875,1,510,0.00196078431372549
00889,A,25,3.1000000000000005,524,65536,0.00799560546875,0,235,0.0
00889,A,26,3.3000000000000007,850,65536,0.012969970703125,0,86,0.0
00889,A,27,3.5,1343,65536,0.0204925537109375,0,46,0.0
00889,A,28,3.7,2333,65536,0.0355987548828125,0,4,0.0
00889,A,29,3.9000000000000004,5642,65536,0.086090087890625,0,12,0.0
00889,A,30,4.1000000000000005,59697,65536,0.9109039306640625,0,0,
00889,A,31,4.300000000000001,64442,65536,0.983306884765625,0,0,
00889,B,0,-1.9,59779,65536,0.9121551513671875,992,1246,0.7961476725521669
00889,B,1,-1.7,26681,65536,0.4071197509765625,1273,2966,0.4291975724881996
00889,B,2,-1.5,6072,65536,0.0926513671875,1753,6368,0.2752826633165829
00889,B,3,-1.2999999999999998,4422,65536,0.067474365234375,2099,9808,0.2140089722675367
00889,B,4,-1.1,3121,65536,0.0476226806640625,1533,14653,0.10462021429058896
00889,B,5,-0.8999999999999999,2797,65536,0.0426788330078125,1554,17323,0.08970732552098366
00889,B,6,-0.7,2490,65536,0.037994384765625,1490,18576,0.08021102497846684
00889,B,7,-0.5,2336,65536,0.03564453125,1667,20826,0.08004417554979353
00889,B,8,-0.2999999999999998,2282,65536,0.034820556640625,1605,22504,0.07132065410593673
00889,B,9,-0.09999999999999987,2286,65536,0.034881591796875,1451,23971,0.06053147553293563
00889,B,10,0.10000000000000009,2395,65536,0.0365447998046875,1478,25749,0.057400287389801546
