condition,z_index,z_m,fp
mapper,0,-1.9,73493
mapper,1,-1.7,91071
mapper,2,-1.5,311624
mapper,3,-1.2999999999999998,409573
mapper,4,-1.1,408765
mapper,5,-0.8999999999999999,394227
mapper,6,-0.7,384327
mapper,7,-0.5,383652
mapper,8,-0.2999999999999998,377109
mapper,9,-0.09999999999999987,361096
mapper,10,0.10000000000000009,351632
mapper,11,0.30000000000000027,343292
mapper,12,0.5,339792
mapper,13,0.7000000000000002,316978
mapper,14,0.9000000000000004,283884
mapper,15,1.1,243009
mapper,16,1.3000000000000003,199103
mapper,17,1.5,159434
mapper,18,1.7000000000000002,127248
mapper,19,1.9000000000000004,98235
mapper,20,2.1000000000000005,72976
mapper,21,2.3,54156
mapper,22,2.5,39225
mapper,23,2.7,29016
mapper,24,2.9000000000000004,20186
mapper,25,3.1000000000000005,14110
mapper,26,3.3000000000000007,10543
mapper,27,3.5,8444
mapper,28,3.7,5735
mapper,29,3.9000000000000004,4179
mapper,30,4.1000000000000005,2846
mapper,31,4.300000000000001,2084
mapper_dilate,0,-1.9,192972
mapper_dilate,1,-1.7,295520
mapper_dilate,2,-1.5,1099232
mapper_dilate,3,-1.2999999999999998,1548252
mapper_dilate,4,-1.1,1650876
mapper_dilate,5,-0.8999999999999999,1669030
mapper_dilate,6,-0.7,1661678
mapper_dilate,7,-0.5,1634941
mapper_dilate,8,-0.2999999999999998,1603266
mapper_dilate,9,-0.09999999999999987,1574868
mapper_dilate,10,0.10000000000000009,1533189
mapper_dilate,11,0.30000000000000027,1477172
mapper_dilate,12,0.5,1426968
mapper_dilate,13,0.7000000000000002,1321414
mapper_dilate,14,0.9000000000000004,1174031
mapper_dilate,15,1.1,1009494
mapper_dilate,16,1.3000000000000003,843053
mapper_dilate,17,1.5,686232
mapper_dilate,18,1.7000000000000002,545638
mapper_dilate,19,1.9000000000000004,421702
mapper_dilate,20,2.1000000000000005,320966
mapper_dilate,21,2.3,243101
mapper_dilate,22,2.5,183645
mapper_dilate,23,2.7,136997
mapper_dilate,24,2.9000000000000004,99030
mapper_dilate,25,3.1000000000000005,72060
mapper_dilate,26,3.3000000000000007,51560
mapper_dilate,27,3.5,37356
mapper_dilate,28,3.7,25727
mapper_dilate,29,3.9000000000000004,18614
mapper_dilate,30,4.1000000000000005,11567
mapper_dilate,31,4.300000000000001,7549
completion,0,-1.9,2184168
completion,1,-1.7,2876342
completion,2,-1.5,4343447
completion,3,-1.2999999999999998,5423919
completion,4,-1.1,1679332
completion,5,-0.8999999999999999,1068059
completion,6,-0.7,920721
completion,7,-0.5,785228
completion,8,-0.2999999999999998,714928
completion,9,-0.09999999999999987,654311
completion,10,0.10000000000000009,631650
completion,11,0.30000000000000027,575541
completion,12,0.5,564814
completion,13,0.7000000000000002,502507
completion,14,0.9000000000000004,443184
completion,15,1.1,356602
completion,16,1.3000000000000003,297843
completion,17,1.5,237000
completion,18,1.7000000000000002,191068
completion,19,1.9000000000000004,142147
completion,20,2.1000000000000005,112289
completion,21,2.3,87200
completion,22,2.5,74792
completion,23,2.7,56029
completion,24,2.9000000000000004,46298
completion,25,3.1000000000000005,42042
completion,26,3.3000000000000007,48978
completion,27,3.5,51232
completion,28,3.7,149036
completion,29,3.9000000000000004,292739
completion,30,4.1000000000000005,459592
completion,31,4.300000000000001,552426
