sample_id,native_frame,mapper_all_tp,mapper_all_fp,mapper_all_fn,mapper_all_tn,mapper_boundary_tp,mapper_boundary_fp,mapper_boundary_fn,mapper_boundary_tn,mapper_interior_tp,mapper_interior_fp,mapper_interior_fn,mapper_interior_tn,mapper_dilate_all_tp,mapper_dilate_all_fp,mapper_dilate_all_fn,mapper_dilate_all_tn,mapper_dilate_boundary_tp,mapper_dilate_boundary_fp,mapper_dilate_boundary_fn,mapper_dilate_boundary_tn,mapper_dilate_interior_tp,mapper_dilate_interior_fp,mapper_dilate_interior_fn,mapper_dilate_interior_tn,completion_all_tp,completion_all_fp,completion_all_fn,completion_all_tn,completion_boundary_tp,completion_boundary_fp,completion_boundary_fn,completion_boundary_tn,completion_interior_tp,completion_interior_fp,completion_interior_fn,completion_interior_tn
00004,137,1554,8170,17821,222127,534,641,4389,17478,265,1986,3274,64777,4695,30807,14680,199490,1313,2333,3610,15786,847,7197,2692,59566,10037,51833,9338,178464,4242,12998,681,5121,609,2417,2930,64346
00007,152,1319,4108,32096,284583,212,459,1822,10453,154,1089,13887,152659,3677,18176,29738,270515,653,1063,1381,9849,366,5742,13675,148006,5883,18647,27532,270044,1530,7812,504,3100,295,1861,13746,151887
00010,167,1519,5852,31721,292131,536,295,1484,6963,241,1844,16225,170757,3008,24978,30232,273005,838,791,1182,6467,528,7177,15938,165424,5423,21092,27817,276891,1617,2984,403,4274,253,2565,16213,170036
00013,182,1089,6517,30823,237240,409,548,1271,6178,280,2225,16384,147504,3488,25982,28424,217775,859,1361,821,5365,865,9830,15799,139899,5084,17793,26828,225964,1287,2349,393,4377,662,3662,16002,146067
00016,197,1014,4028,27386,210963,181,390,1946,8613,209,829,8850,95736,2911,15878,25489,199113,621,1046,1506,7957,520,3950,8539,92615,8798,21119,19602,193872,1858,5535,269,3468,424,932,8635,95633
00019,212,838,1165,26631,251677,156,195,1635,10661,161,286,9265,139111,2199,6923,25270,245919,462,531,1329,10325,426,1880,9000,137517,6137,18619,21332,234223,1342,6326,449,4530,509,1059,8917,138338
00022,227,1391,3726,24967,278214,346,184,1998,12363,233,761,9082,156889,2971,12731,23387,269209,814,493,1530,12054,570,2526,8745,155124,5793,21284,20565,260656,1851,6950,493,5597,279,777,9036,156873
00025,242,1222,2877,26310,309676,301,456,2254,12396,275,333,10301,177566,2392,9552,25140,303001,606,1049,1949,11803,497,1764,10079,176135,6443,19452,21089,293101,2072,6793,483,6059,348,315,10228,177584
00028,257,816,5280,28161,399024,259,195,2949,20900,48,2193,10484,198879,2627,18525,26350,385779,554,483,2654,20612,453,7492,10079,193580,8483,37798,20494,366506,2753,13541,455,7554,861,2981,9671,198091
00031,272,1216,5051,30135,444950,356,322,3233,16753,209,1694,11811,242094,3063,22296,28288,427705,865,1053,2724,16022,557,7698,11463,236090,7635,31342,23716,418659,2919,9837,670,7238,332,1926,11688,241862
00034,287,557,5239,40759,609397,302,279,3849,34214,21,1718,16024,301545,1900,23730,39416,590906,762,1082,3389,33411,203,7705,15842,295558,9478,54096,31838,560540,3670,21964,481,12529,655,7037,15390,296226
00037,302,1034,8728,37563,716749,334,437,3291,47480,215,2549,13799,325678,3250,33882,35347,691595,886,1206,2739,46711,686,11088,13328,317139,9869,83612,28728,641865,2977,35694,648,12223,1076,4770,12938,323457
00040,317,691,4156,35127,670349,176,289,4956,48140,185,1547,11165,292618,2739,17148,33079,657357,654,1115,4478,47314,758,4689,10592,289476,10223,81717,25595,592788,4545,36940,587,11489,651,2310,10699,291855
00043,332,1282,3930,29066,601392,230,487,3983,55460,232,1125,8199,240340,3709,19060,26639,586262,705,1395,3508,54552,955,6772,7476,234693,11095,86974,19253,518348,3314,31087,899,24860,1556,9548,6875,231917
00046,347,1177,4077,17581,512076,202,763,3055,60589,156,475,4220,189197,3932,16272,14826,499881,541,2025,2716,59327,1118,3104,3258,186568,8818,99919,9940,416234,2549,45051,708,16301,1356,2795,3020,186877
00049,362,869,4264,16522,490056,151,896,3091,61196,230,1328,4020,172171,2410,17677,14981,476643,310,1748,2932,60344,723,6385,3527,167114,8122,115605,9269,378715,3058,50982,184,11110,826,4000,3424,169499
00052,377,981,9465,18542,453813,241,670,3507,67645,184,2448,4223,128635,2698,32132,16825,431146,581,2040,3167,66275,550,7865,3857,123218,8871,137715,10652,325563,3607,60394,141,7921,311,4910,4096,126173
00055,392,917,6333,25698,469266,576,656,3978,50852,85,2166,9780,175263,2634,25100,23981,450499,1170,1625,3384,49883,458,7798,9407,169631,7921,106896,18694,368703,4222,42962,332,8546,178,3389,9687,174040
00058,407,786,5212,27414,500408,414,350,3569,43248,96,1360,12252,221643,2655,23266,25545,482354,849,1373,3134,42225,565,7042,11783,215961,7303,86804,20897,418816,3642,33489,341,10109,339,3521,12009,219482
00061,422,1094,7213,28111,555053,522,661,3097,37328,119,2742,12326,304931,2276,25069,26929,537197,864,1444,2755,36545,421,9541,12024,298132,7610,73813,21595,488453,2920,27450,699,10539,1143,7416,11302,300257
00064,437,476,7236,25917,496115,310,1107,2514,31006,35,1754,10109,265823,1669,30879,24724,472472,649,2922,2175,29191,276,9539,9868,258038,6546,58680,19847,444671,2577,21409,247,10704,559,4692,9585,262885
00067,452,1195,4030,22777,452066,491,395,3790,29013,174,1348,6987,206635,3281,18833,20691,437263,995,1184,3286,28224,539,4975,6622,203008,8850,61915,15122,394181,4038,19923,243,9485,307,2298,6854,205685
00070,467,521,7164,20529,437739,308,456,4014,28403,35,1932,6963,191145,1887,21867,19163,423036,888,1529,3434,27330,313,5657,6685,187420,7763,70945,13287,373958,4145,21665,177,7194,252,2853,6746,190224
00073,482,1038,3557,19684,434594,423,351,2624,23057,175,885,6933,216088,3380,16376,17342,421775,978,969,2069,22439,708,4026,6400,212947,7068,51779,13654,386372,2886,17241,161,6167,311,2900,6797,214073
00076,497,675,2663,14800,361145,206,388,3005,16676,98,983,3778,169169,2362,13300,13113,350508,618,1153,2593,15911,437,4398,3439,165754,4656,35271,10819,328537,2251,10114,960,6950,101,1087,3775,169065
00079,512,1109,4220,8241,145270,326,64,1017,7351,221,1982,2638,68556,3028,15106,6322,134384,886,432,457,6983,383,5791,2476,64747,2317,7745,7033,141745,741,829,602,6586,228,2058,2631,68480
