clip_id,sequence,config,support,depth_source,pose_source,scale_used,iou,precision,recall,n_pred_occupied,n_gt_occupied,n_points,in_grid_fraction,out_of_grid_fraction,sparse_absrel,pose_rot_err_deg,pose_trans_err_m
08_000000_000020_s5,08,A_gtdepth_gtpose,sparse_common_support,lidar,gt,1.0,0.1536032418224299,0.9009153685562872,0.156242747198678,18681,107717,92665,0.8257162898613284,0.1742837101386716,nan,0.0,0.0
08_000000_000020_s5,08,B_gtdepth_predpose,sparse_common_support,lidar,pred,29.560553168507,0.15114280026782967,0.8563957959497565,0.15507301540146867,19505,107717,92665,0.8389791183294664,0.16102088167053363,nan,0.23131464164372295,0.26159604682306775
08_000000_000020_s5,08,C_preddepth_common,sparse_common_support,pred,gt,29.560553168507,0.12108155364056451,0.7559875236716053,0.12600610859938544,17954,107717,81529,0.8746580971188166,0.1253419028811834,0.06699906612385528,0.0,0.0
08_000000_000020_s5,08,D_preddepth_full,full_predicted_depth,pred,gt,29.560553168507,0.15209201482324358,0.4695354964278085,0.1836478921618686,42131,107717,313342,0.7975790031339559,0.2024209968660441,0.06699906612385528,0.0,0.0
08_000000_000020_s5,08,E_preddepth_predpose,full_predicted_depth,pred,pred,29.560553168507,0.14912680099705974,0.4691657764397397,0.1793960099148695,41188,107717,313342,0.8026533308653165,0.19734666913468346,0.06699906612385528,0.23131464164372295,0.26159604682306775
08_000000_000020_s5,08,F_deployable,full_predicted_depth,pred,pred,27.3498,0.09149579584009442,0.30806099135790205,0.11516288051096855,40268,107717,313346,0.8265016946123455,0.17349830538765454,0.08685953318600924,0.23131464164372295,0.26159604682306775
08_000025_000045_s5,08,A_gtdepth_gtpose,sparse_common_support,lidar,gt,1.0,0.1408583725730939,0.800552104899931,0.14598131886570836,13041,71516,87172,0.771715688523838,0.22828431147616202,nan,0.0,0.0
08_000025_000045_s5,08,B_gtdepth_predpose,sparse_common_support,lidar,pred,22.062611171272522,0.15628536020259712,0.8100823907275521,0.16222943117624028,14322,71516,87172,0.7820859909145138,0.2179140090854862,nan,0.31625405524625333,0.09045279488383746
08_000025_000045_s5,08,C_preddepth_common,sparse_common_support,pred,gt,22.062611171272522,0.07603383336157124,0.5281071784194804,0.08157615079143128,11047,71516,68568,0.9133269163458173,0.08667308365418269,0.10462215645932285,0.0,0.0
08_000025_000045_s5,08,D_preddepth_full,full_predicted_depth,pred,gt,22.062611171272522,0.09601513539080052,0.3834891848493435,0.11354102578443985,21174,71516,272024,0.9408213981119313,0.05917860188806867,0.10462215645932285,0.0,0.0
08_000025_000045_s5,08,E_preddepth_predpose,full_predicted_depth,pred,pred,22.062611171272522,0.093728455075546,0.36323702563173627,0.11215672017450641,22082,71516,272024,0.9499455930359086,0.05005440696409136,0.10462215645932285,0.31625405524625333,0.09045279488383746
08_000025_000045_s5,08,F_deployable,full_predicted_depth,pred,pred,27.3498,0.03388901074797104,0.20867412020709838,0.038886403042675766,13327,71516,272024,0.5431285474811046,0.4568714525188954,0.24761257084796745,0.31625405524625333,0.09045279488383746
08_000050_000070_s5,08,A_gtdepth_gtpose,sparse_common_support,lidar,gt,1.0,0.1254455506391347,0.9090909090909091,0.12703920088997456,17963,128543,93231,0.7567118233205693,0.2432881766794307,nan,0.0,0.0
08_000050_000070_s5,08,B_gtdepth_predpose,sparse_common_support,lidar,pred,28.674226241614992,0.11990857455274428,0.8337381203801478,0.12284605151583516,18940,128543,93231,0.7518100202722271,0.2481899797277729,nan,0.656273029841051,0.23707824489444454
08_000050_000070_s5,08,C_preddepth_common,sparse_common_support,pred,gt,28.674226241614992,0.07904534532920847,0.8565843107894517,0.08010548999167594,12021,128543,75573,0.7993992563481667,0.20060074365183334,0.12111419495953042,0.0,0.0
08_000050_000070_s5,08,D_preddepth_full,full_predicted_depth,pred,gt,28.674226241614992,0.1104542333682651,0.6087631945827524,0.11889406657694312,25105,128543,268474,0.7403621952218837,0.25963780477811627,0.12111419495953042,0.0,0.0
08_000050_000070_s5,08,E_preddepth_predpose,full_predicted_depth,pred,pred,28.674226241614992,0.11232983894922155,0.6203737046372985,0.12062111511323059,24993,128543,268474,0.7389616871652376,0.2610383128347624,0.12111419495953042,0.656273029841051,0.23707824489444454
08_000050_000070_s5,08,F_deployable,full_predicted_depth,pred,pred,27.3498,0.11945522769667331,0.6168092227593901,0.129030752355243,26890,128543,268474,0.7624313713804689,0.2375686286195311,0.08969305878258672,0.656273029841051,0.23707824489444454
08_000075_000095_s5,08,A_gtdepth_gtpose,sparse_common_support,lidar,gt,1.0,0.15361872747154834,0.8860596858027214,0.1567144908225135,17123,96813,86635,0.640641772955503,0.35935822704449705,nan,0.0,0.0
08_000075_000095_s5,08,B_gtdepth_predpose,sparse_common_support,lidar,pred,33.186537970329574,0.16920977040764357,0.9242753018416514,0.1715885263342733,17973,96813,86635,0.6543083049575806,0.34569169504241937,nan,0.813539532216907,0.3771973615174977
